family	father	mother	Gender	Height
76	70	64	0	66
76	70	64	0	65
76	70	64	1	67
77	70	64	0	70
77	70	64	0	68
77	70	64	0	66.7
77	70	64	1	65.5
78	70	64.2	0	72
78	70	64.2	0	70
78	70	64.2	1	62.5
78	70	64.2	1	61.2
78	70	64.2	1	60.1
79	70.5	64	0	74
79	70.5	64	0	69.5
79	70.5	64	0	69
79	70.5	64	0	68
79	70.5	64	0	68
79	70.5	64	0	68
79	70.5	64	1	65.5
79	70.5	64	1	65
80	70.5	64.5	1	60
81	70	64	0	68
81	70	64	1	65
81	70	64	1	64
81	70	64	1	62
82	70	64	0	71
82	70	64	0	70
82	70	64	0	70
82	70	64	0	70
82	70	64	0	69.5
82	70	64	0	68.5
82	70	64	1	69
82	70	64	1	65
82	70	64	1	64
83	70	63.7	0	70
83	70	63.7	0	67
83	70	63.7	0	65.5
83	70	63.7	1	63.7
83	70	63.7	1	63.2
83	70	63.7	1	62.5
83	70	63.7	1	62.2
83	70	63.7	1	61
85	70.5	63	0	72.5
85	70.5	63	0	69
85	70.5	63	0	67
85	70.5	63	1	64.5
85	70.5	63	1	64
86	70	63.5	0	71
86	70	63.5	0	67.5
86	70	63.5	1	67.5
86	70	63.5	1	63.5
87	70	63	0	68
87	70	63	0	67
87	70	63	1	63.7
87	70	63	1	62
88	70	63	0	70
88	70	63	0	66.5
88	70	63	1	62
88	70	63	1	61
89	70.5	62	0	72
89	70.5	62	0	70
89	70.5	62	0	69.5
89	70.5	62	0	69.5
89	70.5	62	0	68
89	70.5	62	1	65
89	70.5	62	1	64
89	70.5	62	1	63
90	70.3	62.7	0	70.7
90	70.3	62.7	0	69.7
90	70.3	62.7	0	69.2
90	70.3	62.7	0	65.2
90	70.3	62.7	1	64
90	70.3	62.7	1	63.5
90	70.3	62.7	1	63.2
91	70.5	62	0	72
91	70.5	62	0	72
91	70.5	62	1	60
92	70	61	0	71.2
92	70	61	0	67
93	70	60	0	67
93	70	60	0	64.5
93	70	60	1	65
93	70	60	1	63
94	70	60	1	65
94	70	60	1	65
95	70	58.5	0	71.5
95	70	58.5	0	64.5
95	70	58.5	1	63
96	70	58	0	72
96	70	58	0	66
96	70	58	1	66
96	70	58	1	65
96	70	58	1	63
97	69	68.5	0	75
97	69	68.5	0	71
97	69	68.5	0	70
97	69	68.5	1	66
97	69	68.5	1	66
97	69	68.5	1	65.5
97	69	68.5	1	65
97	69	68.5	1	65
97	69	68.5	1	64
97	69	68.5	1	64
98	69	67	1	64
99	69	66	0	73
99	69	66	0	72
99	69	66	0	71.7
99	69	66	0	71.5
99	69	66	1	65.5
99	69	66	1	65
99	69	66	1	62.7
99	69	66	1	62.5
100	69	66	0	71.2
100	69	66	0	71
100	69	66	0	70
101	69	66.7	0	75
101	69	66.7	0	74
101	69	66.7	0	72
101	69	66.7	0	68.5
101	69	66.7	0	67
101	69	66.7	0	66
102	69	66	0	70
102	69	66	0	68.5
102	69	66	0	68
102	69	66	1	65
102	69	66	1	63
102	69	66	1	62.5
103	69	66.5	0	73
103	69	66.5	0	71
103	69	66.5	0	70.5
103	69	66.5	0	70.5
103	69	66.5	1	61
104	69.5	66.5	0	70.5
104	69.5	66.5	0	67.5
104	69.5	66.5	1	64.5
104	69.5	66.5	1	64
105	69	66.5	0	71
105	69	66.5	1	68.5
105	69	66.5	1	67.5
105	69	66.5	1	66
105	69	66.5	1	63
105	69	66.5	1	63
106	69.5	66	0	71
106	69.5	66	0	71
106	69.5	66	0	70.5
106	69.5	66	0	70.5
106	69.5	66	1	66.5
106	69.5	66	1	65.5
106	69.5	66	1	64.5
107	69	66	0	73
107	69	66	0	72
107	69	66	0	69
107	69	66	0	69
107	69	66	1	66.5
107	69	66	1	65.5
107	69	66	1	65.5
107	69	66	1	65
107	69	66	1	64
108	69	65	0	70
108	69	65	0	68.5
108	69	65	0	67
108	69	65	1	65
108	69	65	1	64
108	69	65	1	63.5
108	69	65	1	61
109	69.5	64.5	0	69.7
109	69.5	64.5	0	68
109	69.5	64.5	0	60
109	69.5	64.5	1	65.2
109	69.5	64.5	1	64.5
109	69.5	64.5	1	63.7
109	69.5	64.5	1	60
110	69.2	64	0	71.7
110	69.2	64	0	66.5
110	69.2	64	1	65
110	69.2	64	1	63.5
112	69	63	0	69
112	69	63	1	67.5
112	69	63	1	63.5
113	69	63	0	72
114	69	63	0	73
114	69	63	0	70
114	69	63	0	70
114	69	63	0	64
114	69	63	1	66
114	69	63	1	62
115	69	63.5	0	70.5
115	69	63.5	0	67
115	69	63.5	0	66
115	69	63.5	1	65
115	69	63.5	1	63
115	69	63.5	1	62
115	69	63.5	1	61
116	69	63.5	0	70.5
116	69	63.5	1	63.7
116	69	63.5	1	63
117	69.7	62	1	62.5
118	69.5	62	0	73
118	69.5	62	0	72
118	69.5	62	0	69
119	69	62	0	73
119	69	62	0	71
119	69	62	0	71
119	69	62	0	69
119	69	62	1	63
121	69	62.5	0	71
121	69	62.5	0	70
121	69	62.5	0	70
121	69	62.5	0	69
121	69	62.5	1	63.5
121	69	62.5	1	62.5
121	69	62.5	1	62.5
121	69	62.5	1	62
122	69	62	0	72
122	69	62	0	68
122	69	62	1	66
122	69	62	1	66
123	69.5	61	0	70
123	69.5	61	0	69.5
123	69.5	61	0	69
123	69.5	61	1	63
123	69.5	61	1	62
124	69	61	0	68
124	69	61	0	68
124	69	61	0	67.5
124	69	61	0	64
124	69	61	0	63
124	69	61	0	63
124	69	61	1	63.5
124	69	61	1	62
124	69	61	1	62
125	69	60	0	70.5
125	69	60	1	68
125	69	60	1	62.5
126	69	60	0	69
126	69	60	0	66
126	69	60	1	61.7
126	69	60	1	60.5
127	69	60.5	0	69.5
128	68.7	70.5	0	71
128	68.7	70.5	1	61.7
129	68.5	67	0	73
129	68.5	67	0	71
129	68.5	67	1	67
130	68.5	66.5	0	70
130	68.5	66.5	0	69
130	68.5	66.5	0	69
130	68.5	66.5	0	68.7
130	68.5	66.5	0	68.5
130	68.5	66.5	0	68.5
130	68.5	66.5	0	68
130	68.5	66.5	0	68
130	68.5	66.5	0	68
130	68.5	66.5	1	63.2
131	68	65	0	67.5
131	68	65	0	66
132	68	65.5	0	66
132	68	65.5	1	64
133	68	65.5	0	71.7
133	68	65.5	0	71.5
133	68	65.5	0	70.7
133	68	65.5	0	65.5
133	68	65.5	1	66.5
133	68	65.5	1	65.2
133	68	65.5	1	61.5
134	68	65	0	72
134	68	65	0	72
134	68	65	1	68
134	68	65	1	66
135	68.5	65	0	69.2
135	68.5	65	0	68
135	68.5	65	0	66
135	68.5	65	0	66
135	68.5	65	1	62
135	68.5	65	1	61.5
135	68.5	65	1	61
135	68.5	65	1	60
136	68	64	0	71
136	68	64	0	68
136	68	64	0	68
136	68	64	0	67
136	68	64	1	65
136	68	64	1	64
136	68	64	1	63
136	68	64	1	63
136	68	64	1	62
136	68	64	1	61
137	68	64	0	66
137	68	64	0	63
137	68	64	1	65.5
137	68	64	1	62
138	68	64	0	71.2
138	68	64	0	71.2
138	68	64	0	69
138	68	64	0	68.5
138	68	64	1	62.5
139	68	64.5	1	62
140	68	64	0	69
140	68	64	0	67
140	68	64	0	66
140	68	64	1	66
140	68	64	1	66
140	68	64	1	65
140	68	64	1	65
140	68	64	1	65
140	68	64	1	64
140	68	64	1	63
141	68	63	0	70.5
141	68	63	0	70
141	68	63	0	68
141	68	63	0	66
141	68	63	0	66
141	68	63	1	66
141	68	63	1	62
141	68	63	1	61.5
142	68.5	63.5	0	73.5
142	68.5	63.5	0	70
142	68.5	63.5	0	69.5
142	68.5	63.5	1	65.5
143	68	63	0	67
144	68	63	0	70
144	68	63	0	68
144	68	63	1	64.5
144	68	63	1	64
145	68	63	0	71
145	68	63	0	68
145	68	63	0	66
145	68	63	0	65.5
145	68	63	0	65
145	68	63	1	63
145	68	63	1	62
145	68	63	1	62
146	68	63	0	67
146	68	63	0	67
146	68	63	0	66
146	68	63	1	64
146	68	63	1	63.5
146	68	63	1	61
147	68.5	63.5	0	68.2
148	68	63	0	70
149	68.2	63.5	0	70
149	68.2	63.5	0	69
149	68.2	63.5	0	67
149	68.2	63.5	0	65.5
149	68.2	63.5	1	64.5
150	68	62.5	0	68.5
151	68.7	62	0	67.7
151	68.7	62	1	61.7
152	68	62.5	0	66.5
153	68	61	0	68.5
153	68	61	0	68
153	68	61	0	64
153	68	61	1	63.5
153	68	61	1	63
154	68	60.2	0	66.7
155	68	60	0	64
155	68	60	1	61
155	68	60	1	61
155	68	60	1	60
155	68	60	1	60
155	68	60	1	60
155	68	60	1	56
156	68	60	0	67.5
156	68	60	0	67
156	68	60	0	66.5
156	68	60	1	60
157	68.5	59	0	69
158	68	59	0	68
158	68	59	0	65
158	68	59	0	64.7
158	68	59	0	64
158	68	59	0	64
158	68	59	0	63
158	68	59	1	65
158	68	59	1	65
158	68	59	1	62
158	68	59	1	61
159	67	66.2	0	72.7
159	67	66.2	0	72.7
159	67	66.2	0	71.5
159	67	66.2	1	65.5
159	67	66.2	1	63.5
160	67	66.5	0	71
162	67	65	0	69.7
162	67	65	0	67.5
162	67	65	1	65.5
162	67	65	1	65
162	67	65	1	64.5
162	67	65	1	63.5
163	67	65.5	0	70
163	67	65.5	0	69
163	67	65.5	1	65.5
163	67	65.5	1	65.5
163	67	65.5	1	63
164	67	65.5	0	70
164	67	65.5	0	67.7
164	67	65.5	1	63
164	67	65.5	1	60
165	67	65	0	65
165	67	65	1	62
165	67	65	1	62
166	67.5	65	0	71
166	67.5	65	0	69
166	67.5	65	1	64
166	67.5	65	1	64
166	67.5	65	1	63
166	67.5	65	1	63
166	67.5	65	1	63
166	67.5	65	1	63
166	67.5	65	1	63
166	67.5	65	1	62.5
166	67.5	65	1	62
167	67	64	0	71.5
167	67	64	0	70
167	67	64	0	67
167	67	64	0	67
168	67	63.5	0	71
168	67	63.5	0	70.2
168	67	63.5	0	69.2
168	67	63.5	0	68.5
168	67	63.5	0	68
168	67	63.5	0	67
168	67	63.5	0	65.5
168	67	63.5	1	63.5
169	67	63	0	69
169	67	63	0	68
169	67	63	1	63
170	67.5	62	0	70
170	67.5	62	0	69.5
170	67.5	62	0	69
170	67.5	62	0	68.5
170	67.5	62	1	66
171	67	61	0	67
172	66	67	0	70.5
172	66	67	0	70.5
172	66	67	0	67
172	66	67	0	66
172	66	67	0	66
172	66	67	1	62
172	66	67	1	62
172	66	67	1	61.5
173	66	67	0	72
173	66	67	0	65
173	66	67	0	65
173	66	67	1	67
173	66	67	1	64
173	66	67	1	64
173	66	67	1	62
173	66	67	1	60
173	66	67	1	60
174	66	66	0	66
174	66	66	0	65
174	66	66	1	67
174	66	66	1	66.5
174	66	66	1	65.5
175	66	66	0	72
175	66	66	0	68
175	66	66	1	66
175	66	66	1	65
175	66	66	1	62
175	66	66	1	61
176	66.5	65	0	68.7
176	66.5	65	0	68.5
176	66.5	65	0	66.5
176	66.5	65	0	64.5
176	66.5	65	1	62.5
176	66.5	65	1	60.5
176	66.5	65	1	60.5
176	66.5	65	1	57.5
177	66	65.5	0	72
177	66	65.5	0	71
177	66	65.5	0	67
177	66	65.5	1	66
177	66	65.5	1	65
178	66	63	0	70
179	66	63.5	1	64.5
179	66	63.5	1	62
180	66.5	63	0	67.2
180	66.5	63	0	67
180	66.5	63	0	65
180	66.5	63	1	65
180	66.5	63	1	65
180	66.5	63	1	63
181	66.5	62.5	0	70
181	66.5	62.5	0	68
181	66.5	62.5	1	63.5
181	66.5	62.5	1	62.5
181	66.5	62.5	1	62.5
181	66.5	62.5	1	62.5
181	66.5	62.5	1	62.5
182	66	61.5	0	70
183	66	60	0	68
183	66	60	0	67
183	66	60	0	65
183	66	60	1	60
184	66	60	0	65
185	66	59	0	68
185	66	59	0	67
185	66	59	0	66.5
185	66	59	0	66
185	66	59	0	65.7
185	66	59	0	65.5
185	66	59	0	65
185	66	59	1	65
185	66	59	1	64
185	66	59	1	63
185	66	59	1	62
185	66	59	1	61
185	66	59	1	60
185	66	59	1	58
185	66	59	1	57
186	65	67	0	66.5
186	65	67	0	66
186	65	67	0	66
186	65	67	1	65
187	65	67	1	63
188	65	66	0	63
188	65	66	1	63
188	65	66	1	63
188	65	66	1	60
190	65	65	0	69
190	65	65	0	68
190	65	65	0	68
190	65	65	1	65
190	65	65	1	65
190	65	65	1	62
190	65	65	1	62
190	65	65	1	61
190	65	65	1	59
191	65	65.5	0	70.7
191	65	65.5	1	65.5
192	65	65	0	69.2
192	65	65	0	69
192	65	65	0	68
192	65	65	0	67.7
192	65	65	1	64.5
192	65	65	1	60.5
193	65	64	0	67
193	65	64	0	67
193	65	64	1	64
193	65	64	1	64
193	65	64	1	62.5
193	65	64	1	60.5
194	65	63	0	70
194	65	63	1	63
195	65	63	0	66
195	65	63	0	66
195	65	63	1	63
196	65.5	63	0	71
196	65.5	63	0	71
196	65.5	63	0	69
196	65.5	63	1	63.5
197	65.5	60	0	68
197	65.5	60	0	68
197	65.5	60	0	67
197	65.5	60	0	67
197	65.5	60	1	62
198	64	64	0	71.5
198	64	64	0	68
198	64	64	1	65.5
198	64	64	1	64
198	64	64	1	62
198	64	64	1	62
198	64	64	1	61
199	64	64	0	70.5
199	64	64	0	68
199	64	64	1	67
199	64	64	1	65
199	64	64	1	64
199	64	64	1	64
199	64	64	1	60
200	64	63	0	64.5
201	64	60	0	66
201	64	60	1	60
203	62	66	0	64
203	62	66	1	62
203	62	66	1	61
204	62.5	63	0	66.5
204	62.5	63	1	57
136A	68.5	65	0	72
136A	68.5	65	0	70.5
136A	68.5	65	0	68.7
136A	68.5	65	0	68.5
136A	68.5	65	0	67.7
136A	68.5	65	1	64
136A	68.5	65	1	63.5
136A	68.5	65	1	63
