ip_mean	ip_sd	ip_kurt	ip_skew	snr_mean	snr_sd	snr_kurt	snr_skew	pulsar
102.3281	48.9804	0.3157	-0.2022	1.8988	13.839	11.6199	172.1304	0
147.8359	53.6226	-0.1311	-0.2889	2.6923	17.0809	8.8492	92.2017	0
108.0391	34.9102	0.3212	1.8216	3.8997	23.7221	7.5062	60.8869	0
107.875	37.3307	0.496	1.4818	1.1739	12.0169	14.5343	252.6947	0
118.8438	45.9319	-0.1092	0.1377	2.3328	14.716	9.6342	118.6697	0
138.4609	48.9172	-0.0396	-0.1762	2.4431	18.3133	8.6729	83.0692	0
116.2031	47.3459	0.2119	-0.0222	3.6062	18.945	7.0356	59.2312	0
120.5547	45.5499	0.2829	0.4199	1.3587	13.079	13.3121	212.597	1
121.8828	53.0427	0.2005	-0.2822	2.1162	16.5809	8.9476	91.0118	0
125.2109	51.1752	0.1399	-0.3857	1.148	12.414	14.0688	228.1316	0
107.9062	48.0841	0.4608	0.2965	1.9933	13.8411	9.9694	128.7447	0
106.2812	43.0218	0.4089	1.032	1.6104	17.2512	12.1102	152.015	0
106.3359	45.05	0.4186	0.604	1.2007	12.3886	13.3065	209.412	0
125.7344	52.6577	0.0265	-0.4296	4.8503	29.9362	6.3618	40.255	0
113.5469	49.5003	0.13	-0.2028	2.4072	14.4221	9.3103	113.6875	0
134.0391	51.8005	-0.1958	-0.3968	1.1079	13.2386	13.7758	208.4203	0
105.1172	45.092	0.4648	0.8781	4.2834	23.9673	6.5625	46.6673	0
95.3281	44.6679	0.3865	0.7551	2.6948	17.9986	9.0942	97.8024	0
119.3359	47.507	0.2203	0.6457	0.7926	9.5409	18.7665	441.5133	0
136.1875	51.9529	-0.0704	-0.4822	0.8495	9.6775	18.7366	431.3904	0
112.8594	55.1063	0.1748	-0.404	3.0326	19.6943	7.2663	58.0378	0
108.625	52.7461	0.4536	0.0697	2.3043	16.1837	9.7804	114.9994	0
113.9531	49.2214	0.2347	0.2898	1.0811	13.4821	14.2561	216.8362	0
141.9688	50.4709	0.245	-0.3427	2.8236	16.2382	8.2077	85.5326	0
136.5	49.9328	0.0446	-0.3743	1.5552	12.8135	13.3143	214.8131	0
83.6797	36.3793	0.5725	2.6646	4.041	23.1691	7.0067	53.514	0
27.7656	28.666	5.7701	37.419	73.1129	62.0702	1.2682	1.0829	1
135.8594	51.9373	0.0658	-0.3661	20.7742	52.7726	2.7309	6.6074	0
112.0938	48.8116	0.4186	0.3502	2.204	17.3787	9.5206	100.7876	0
126.8672	53.1293	0.1363	-0.5887	1.1497	13.9651	13.2305	186.2685	0
117.5391	47.733	0.1731	-0.1507	1.0602	14.2893	14.1764	208.2781	0
143.0859	49.922	-0.1576	-0.1533	3.5635	21.2881	7.3371	59.1684	0
101.2969	39.434	0.3901	1.552	4.9256	26.3224	6.0861	39.1162	0
119.8984	53.8255	0.1434	-0.5284	4.0418	24.5791	6.5813	44.8995	0
123.125	50.3312	-0.0871	0.0879	1.2809	10.6886	14.6367	288.6689	0
102.0469	48.7905	0.4522	0.2724	2.3754	13.9284	9.1275	116.0232	0
119.4453	53.1431	0.0128	-0.379	2.9323	17.9298	8.2899	81.3465	0
128.5156	54.9459	-0.0126	-0.6583	2.8913	17.7529	8.9137	94.0821	0
128.1562	46.8969	-0.1792	-0.0058	4.194	22.2582	6.4518	46.4866	0
115.6172	40.2904	0.1107	0.5132	11.6396	39.9566	3.6403	12.6846	0
136.7422	44.3912	-0.2219	0.9081	2.1054	14.4984	10.1316	128.3951	0
135.2656	48.1439	0.0159	-0.1588	8.5393	31.1349	4.0828	17.2727	0
113.9609	52.2474	0.128	-0.4575	4.4072	26.2978	6.7096	47.4057	0
107.7969	45.6803	0.6553	0.9549	1.709	15.1908	11.5203	150.3054	0
124.5	57.3536	-0.0148	-0.551	4.7834	27.5016	6.0904	37.8181	0
119.2969	46.4542	0.2026	0.1284	3.7483	18.851	6.4147	50.8506	0
148.3828	51.2008	-0.1132	-0.5022	1.408	12.0879	12.5121	201.1279	0
109.4922	53.2902	0.2528	-0.319	4.1329	25.8921	6.7415	46.8308	0
112.125	46.3084	0.7216	0.6125	1.1731	11.0492	14.6307	273.251	0
128.7734	45.8067	0.0862	-0.0318	2.6672	15.933	8.7567	95.3673	0
140.2656	48.9372	0.0325	0.1191	2.3152	19.8732	9.6726	98.897	0
87.5156	51.7634	1.0706	0.7428	15.6781	50.9059	3.1412	8.44	0
132.1406	42.0958	0.1432	0.8767	1.8637	13.266	10.258	140.0407	0
104.0781	45.2408	0.532	0.7439	1.4365	15.4148	11.8991	150.9873	0
122.6016	53.797	-0.052	-0.3797	2.6363	15.171	9.5193	117.7422	0
114.2812	41.254	0.4118	0.617	2.4122	20.4279	9.1984	88.3706	0
112.4375	38.2957	0.5019	1.0748	2.8127	18.1369	7.86	71.2994	0
23.625	29.9487	5.688	35.9872	146.5686	82.3946	-0.2749	-1.1218	1
94.5859	35.7798	1.1873	3.6875	6.0711	29.7604	5.3188	28.698	1
137.2422	46.4547	0.0453	-0.4389	59.4958	77.7554	0.7197	-1.1832	0
123.5312	53.3488	0.0721	-0.0716	0.7818	10.5708	17.1183	339.6608	0
70.0234	35.2807	1.1577	4.5467	3.0033	19.5754	7.9544	71.9602	0
129.375	44.5684	0.0498	0.5063	3.6045	21.133	7.1814	56.8566	0
97.1406	47.7709	0.6252	0.7408	4.1931	26.4653	6.927	49.6285	0
101.9688	46.3163	0.4398	0.2943	1.7483	16.4866	10.8104	127.7334	0
123.4688	45.4751	0.3458	0.6474	32.9197	65.0942	1.6055	0.8714	1
103.5234	45.7257	0.3365	0.5206	11.2893	39.1165	3.5091	11.504	0
107.9297	50.582	0.3204	0.2776	2.0226	19.8066	10.4723	113.0115	0
113.6797	42.7942	0.036	0.3307	2.7291	17.7246	7.6083	67.1101	0
96.6797	41.3995	0.5867	0.8202	2.0443	17.277	9.4506	97.2676	0
130.1094	49.4051	0.0806	-0.1718	1.704	11.8849	11.9847	198.7851	0
118.8203	45.0977	0.2265	0.3214	3.3177	18.9912	7.3188	63.1388	0
82.7031	38.0075	0.8878	2.5449	1.6413	13.1585	11.0937	155.0447	0
125.4375	55.2218	-0.306	-0.3613	4.8946	30.723	6.4817	41.78	0
140.7891	39.5898	0.0551	0.8811	2.5042	16.6265	8.5173	85.7109	0
35.1562	30.2377	4.2035	24.4867	34.1012	62.5774	1.89	2.5721	1
140.6797	44.5787	0.013	0.3859	4.9406	25.5745	5.6036	32.8049	0
121.8594	48.3761	0.2469	-0.2492	5.2199	27.8845	6.1545	40.296	0
135	47.7672	-0.1003	-0.0118	4.0042	25.984	7.1103	51.7803	0
120.1953	50.3901	0.1179	-0.0674	6.403	31.8673	5.0965	25.4425	0
114.2891	44.2363	0.2232	0.9117	0.9724	12.5736	15.093	248.7652	0
108.125	46.4058	0.4288	0.2348	2.0159	16.9966	9.7797	105.9009	0
94.0781	43.1298	0.332	0.8084	5.2341	27.2813	5.6426	32.9281	0
140.9766	57.4424	-0.1991	-0.5065	13.0151	42.2335	3.3675	10.6925	0
80.9922	34.2893	0.7176	4.0012	2.6639	17.3814	8.1232	76.3299	0
97.9141	42.0309	0.3703	0.5941	1.5301	16.1016	11.7569	146.9823	0
125.1328	42.5842	0.2668	0.8806	2.4682	20.5389	8.8759	81.352	0
84.0391	38.944	0.668	1.5861	1.7935	13.4946	11.4335	161.9078	0
143.8984	48.1675	-0.2018	-0.1007	3.8261	26.2585	7.1933	52.7292	0
81.9297	34.5177	0.8293	3.8875	3.3495	20.1295	8.3045	79.7647	0
90.9688	41.6079	0.7295	1.2116	1.898	14.7926	10.4187	128.7549	0
117.5781	40.3925	0.4505	0.7057	1.1254	13.3627	14.4227	232.3131	0
91.875	48.02	0.7008	0.7282	1.6045	12.4874	11.5309	174.1932	0
121.5312	45.3436	0.1027	0.5066	2.7918	18.8493	8.4394	82.8537	0
108.4062	47.315	0.0354	-0.3263	1.7174	13.853	10.9749	143.7651	0
86.5625	38.6723	0.5806	2.5916	5.99	29.6479	5.3258	28.9447	0
112.4141	45.6309	0.3018	0.6804	1.7508	16.9277	11.5751	143.4081	0
18.1172	29.2977	6.4467	44.6016	50.1079	66.3218	1.4564	1.3352	1
89.7578	46.5535	0.6454	0.7684	2.0677	13.4808	9.7445	129.3448	0
126.3984	60.4182	0.0481	-0.8149	66.5477	85.3228	0.7507	-1.0372	0
162.4766	43.379	-0.4959	0.6081	3.5385	25.0146	7.5357	58.0748	0
132.2031	49.3724	0.069	-0.1889	2.0853	13.0812	10.5919	151.6794	0
99.4922	41.2551	0.3393	0.8744	4.8462	29.4711	6.4777	42.3634	0
107.6328	44.3845	0.2517	0.4301	2.9306	16.7005	8.0011	79.8847	0
124.7109	48.1477	-0.2486	0.157	1.6931	11.8526	13.2789	232.5871	0
134.0234	51.9022	-0.2145	0.0213	2.7283	15.6321	8.4229	90.2419	0
131.8125	54.1066	-0.1489	-0.3115	1.9348	14.0562	10.1328	127.6166	0
105.1016	52.5256	0.3692	-0.0962	3.4975	22.5998	7.5555	61.2028	0
117.375	58.5311	0.2208	-0.322	1.7517	16.8412	11.4373	139.6232	0
135.6172	50.7101	0.1187	-0.251	1.4799	16.0307	11.5391	139.2826	0
44.8672	45.6933	2.8887	8.8107	176.1196	59.7377	-1.7854	2.9409	1
26.9219	34.511	4.7098	24.2474	183.6229	79.9328	-1.3266	0.3467	1
120.1406	50.203	-0.0491	-0.4707	3.597	23.6339	7.1043	52.6964	0
130.2422	50.4097	-0.0019	-0.2742	4.1296	25.4041	6.7921	47.8383	0
133.4766	46.4664	-0.2264	0.2245	2.0844	12.5545	10.4813	159.0808	0
101.5859	43.5948	0.246	0.8754	2.7023	21.477	8.6342	77.3071	0
120.8125	45.1618	0.4513	0.3149	2.4599	19.1363	9.0731	90.1159	0
146.1797	44.6704	-0.23	0.2595	1.7299	11.7068	12.0883	206.9702	0
131.9062	53.7704	0.2192	-0.1888	2.6998	14.7307	8.337	97.5317	0
93.2031	39.4237	0.6078	1.6596	1.6714	15.2558	11.9112	163.406	0
107.4062	58.5049	0.1003	-0.9001	18.459	53.8572	2.7942	6.3618	0
104.8047	47.7924	0.3287	0.0834	0.7634	10.0824	18.4932	401.3006	0
94.7578	39.5272	0.7858	1.4374	2.2759	15.6563	9.991	122.0354	0
104.0625	37.4789	0.3813	1.4018	1.7032	13.6089	11.7087	165.9993	0
128.6641	55.2	-0.0073	-0.8358	3.5786	19.6945	7.1379	59.251	0
99.4219	48.4084	0.6686	0.8516	2.1254	11.4771	11.5413	207.6311	0
133.1641	52.982	-0.1324	-0.4939	27.8445	66.7709	2.141	2.8985	0
130.4844	45.6332	0.1415	0.2312	2.9724	18.3093	7.5325	66.008	0
97.5625	35.1603	0.4382	2.1421	2.9398	19.0784	8.4972	81.1797	0
151.125	44.2834	0.1293	0.4686	2.255	19.495	9.3157	90.5049	0
84.2734	38.4	0.6626	1.7784	2.9841	16.6903	8.4076	86.913	0
133.3672	56.5446	0.0321	-0.4812	2.7575	18.0394	9.1916	99.6928	0
119.0312	44.5523	-0.0697	0.456	2.1187	17.9488	9.8774	106.9094	0
108.3047	40.864	0.5021	1.0976	2.6229	17.5198	8.7368	88.0166	0
134.8906	55.0778	-0.1398	-0.6286	3.2843	17.982	8.3476	88.1081	0
106.7969	43.1211	0.439	0.8649	2.9181	17.4662	8.0431	78.4257	0
124	52.45	-0.0437	-0.2391	10.3462	36.7616	3.7167	13.0994	0
150.8828	44.864	-0.1647	0.2425	3.6873	21.9542	6.9024	50.8683	0
137.6797	45.1354	-0.074	0.3713	9.2132	37.3519	4.0956	15.8134	0
117.4062	47.0569	0.035	0.2325	3.3629	21.0794	7.7213	65.5376	0
110.6953	42.2902	-0.0174	0.7015	1.1672	15.1678	13.7658	194.6409	0
97.7734	47.5815	0.4089	0.2162	2.143	13.6332	9.59	125.4458	0
125.5625	43.8951	0.008	0.7289	5.4883	28.2121	5.6304	32.9924	0
48.2422	36.492	2.9356	10.8887	41.5042	62.8978	1.4725	1.3053	1
129.1406	49.9995	0.1658	-0.0953	1.6229	15.9434	10.9096	128.8101	0
125.4375	55.1833	0.0165	-0.5101	2.0268	16.5235	9.7493	106.1927	0
82.8828	39.1313	0.7794	2.2055	0.9883	13.8129	15.1752	240.0273	0
114.6016	46.0693	0.276	-0.2324	5.7901	27.0955	5.5141	32.8985	0
93.6016	34.5523	0.7031	3.0388	2.194	18.7685	9.1996	88.6398	0
107.0156	45.36	0.1547	-0.1561	1.0953	10.3865	15.9324	327.7684	0
144.75	42.0428	-0.0805	0.6466	2.0694	14.3545	11.055	150.6635	0
83.9688	32.7869	0.973	4.9405	1.6388	11.9346	12.1573	199.3219	0
128.3359	50.2038	0.0957	-0.0659	2.4314	14.2535	8.8754	107.3059	0
101.3281	46.0986	0.1553	-0.3175	17.2324	51.2095	2.8771	6.8909	0
131.8672	53.766	0.0264	-0.1122	3.8729	19.1135	7.3071	65.2032	0
123.3047	41.967	0.5375	0.7271	3.4941	19.026	7.4387	66.3102	0
119.7812	47.9405	0.1042	-0.0511	1.8955	16.8778	10.088	110.6269	0
105.0391	53.3096	0.4603	-0.1369	2.056	12.9425	10.4789	152.8372	0
142	48.8014	-0.2105	0.0433	10.4849	39.5731	3.8077	13.6646	0
123.5	47.7865	0.0351	0.2029	6.0276	27.8034	5.436	31.2629	0
126.1016	52.5673	0.2162	-0.3476	23.0962	53.5951	2.2964	4.1836	0
133.0469	51.1224	-0.1456	-0.3252	1.1906	13.3843	13.872	214.7984	0
123.8203	55.1642	0.0168	-0.9282	4.0761	22.2565	6.7177	50.2035	0
80.3359	37.6985	0.7134	2.3349	1.5778	12.4001	11.7619	180.0012	0
126.3281	46.7097	0.2192	-0.1823	2.0911	13.425	11.0447	161.6338	0
115.4688	36.5981	0.3343	1.0882	1.0694	10.4616	15.3876	312.7917	0
128.6328	52.9426	-0.0342	-0.3857	3.6656	22.7384	7.0466	54.1782	0
110.0703	37.8738	0.0024	1.4715	2.8763	16.4164	7.5268	72.0004	0
116.2344	52.5701	0.174	-0.3206	2.9682	20.3949	7.8412	66.6512	0
110.1953	54.4755	0.4898	-0.0319	19.2801	56.0021	2.8755	6.8619	1
135.9219	52.8673	0.0005	-0.1327	0.9565	10.0968	16.7826	360.5597	0
135.3047	46.0541	-0.0977	0.1067	2.8721	17.5079	8.7896	93.4331	0
122.5156	48.0386	0.0622	0.0295	1.5468	13.0791	11.2808	159.9311	0
112.2422	49.4599	0.0596	-0.2807	2.0518	16.1014	10.463	128.715	0
127.9531	46.8738	0.2247	0.2104	15.5092	49.3734	3.2876	9.6656	0
123.1094	51.6178	-0.1812	-0.288	1.6948	16.0584	11.6089	148.6347	0
153.5156	44.3266	-0.2309	0.3236	2.5811	15.4519	8.558	94.2354	0
123.1719	46.1832	0.1193	0.5261	0.9883	11.3208	14.7632	261.5906	0
111.2188	44.3961	0.3252	0.4681	2.3813	14.4208	9.3978	115.8288	0
92.1719	36.2826	0.4116	2.1993	0.3871	8.5254	25.4631	703.2621	0
125.6641	39.848	0.1666	0.5803	0.7299	10.6948	17.6345	349.9505	0
101.9609	42.8116	0.5677	0.9672	1.4064	11.6976	13.3274	224.949	0
142.8828	51.3028	-0.0573	-0.236	9.7115	39.5073	4.1994	16.956	0
113.25	53.9638	0.4723	-0.2146	2.0669	16.5921	9.5391	101.2782	0
129.7734	51.4774	0.025	-0.3235	11.5794	42.4972	3.6162	11.8569	0
116.8516	41.3663	0.3888	1.1164	3.2726	18.1294	7.2402	63.0057	0
106.0156	53.3605	0.2961	-0.3748	2.5861	14.7322	8.5837	99.3253	0
105.1641	42.6532	0.3624	0.5739	26.0753	61.9107	2.2041	3.3761	0
104.3281	41.7075	0.4813	1.7481	6.1129	31.8392	5.5938	31.2564	0
126.9141	51.5181	-0.0813	-0.0358	12.8512	43.9227	3.475	11.0729	0
83.5312	42.5217	0.5818	1.2308	3.4281	17.7964	7.0504	61.6626	0
109.3359	50.3018	0.2069	0.0538	2.4398	16.7386	9.6486	109.191	0
11.8203	37.2583	5.3405	28.656	146.7258	75.3994	-0.2908	-1.2193	1
122.8672	52.6933	0.0248	-0.0203	1.5125	15.1671	12.2425	168.2837	0
114.4062	43.9157	0.0564	0.5763	3.4089	19.6887	7.1481	58.759	0
87.4375	35.8627	0.7529	2.5497	1.9498	13.2033	10.3717	143.2739	0
119.1641	47.3919	0.0802	-0.2074	3.1037	23.053	7.9841	66.2971	0
109.6562	46.1884	0.2826	0.3732	4.347	26.7506	6.7497	47.0306	0
121.5312	51.5341	0.0776	-0.2991	2.7926	20.5211	8.0343	68.0475	0
124.2266	44.6035	0.1323	0.2352	2.4557	15.0923	8.7187	97.6795	0
124.1797	42.7472	-0.0336	0.1432	1.0928	11.3016	14.7799	265.4592	0
114.9609	55.0959	-0.0454	-0.5137	3.2809	17.278	7.2944	67.4214	0
117.9844	46.7201	0.2866	0.2276	8.6112	34.7678	4.2791	18.1259	0
59.4297	45.3925	2.1759	5.66	16.459	47.3195	3.0845	8.9403	1
117.9062	44.925	0.4409	0.3129	11.5025	40.2776	3.5697	11.9626	0
160.5078	37.8872	-0.4954	1.5623	4.2776	21.4454	6.3981	46.7321	0
142.4141	54.3593	-0.2334	-0.3935	1.9657	11.3921	11.9693	216.8112	0
104.75	50.3606	0.1904	-0.2133	2.3119	18.0165	9.9346	111.3481	0
132.6328	40.6204	0.1215	0.6002	2.2893	14.8039	9.2379	108.4714	0
123.1641	56.1888	0.3055	-0.4126	1.3202	12.717	13.7908	223.7627	0
88.25	39.046	0.5715	1.4705	4.6505	25.6697	6.2179	40.9874	0
70.6719	38.185	0.7548	2.6497	4.408	22.7448	6.0913	40.9731	0
128.3672	65.7316	0.172	-0.9864	6.7968	34.0742	5.1306	25.6187	0
87.1797	33.2748	0.8323	4.0786	6.041	26.8066	4.997	26.6343	0
125.6406	47.6318	-0.062	0.0629	2.791	16.7278	7.7313	74.1046	0
94.0234	38.207	0.4879	1.3121	1.6104	13.7326	11.2484	150.1957	0
137.2656	50.4152	-0.0081	-0.3754	1.6321	15.2165	10.6091	125.0418	0
128.2266	51.8613	0.1252	-0.4768	1.7274	13.0472	11.2835	162.0751	0
114.8359	53.5419	0.2752	-0.2821	6.6212	33.4651	5.278	27.2735	0
88.4375	37.8118	0.6892	2.0353	2.4156	18.028	8.8286	86.7999	1
131.6016	37.5313	0.3215	1.1345	9.8102	35.1926	3.6427	12.5079	0
116.6641	35.4527	0.2759	1.5447	1.6212	12.8515	11.1406	160.9138	0
138.3438	52.8823	-0.1062	-0.2603	2.8746	16.7935	8.8215	96.7911	0
107.5078	45.5746	0.3777	0.6147	1.4691	14.8427	11.9297	156.2173	0
115.125	53.5355	0.3359	-0.1256	4.6346	24.6587	6.5633	46.8315	0
116.5703	46.7685	0.355	-0.0156	3.7007	20.6619	7.5108	65.9321	0
129.5391	49.2987	0.0455	-0.3062	2.3704	20.1034	9.2925	90.7249	0
118.7266	40.5549	0.3203	0.8912	3.7216	23.1067	7.1534	55.7382	0
136.8828	52.6031	-0.2372	-0.306	2.0518	17.3853	10.6326	123.0041	0
146.0312	42.8635	-0.0617	0.6029	4.0209	22.59	6.5983	47.5972	0
87.4922	48.5892	1.0879	1.2261	13.4808	42.1578	3.0528	8.1646	0
130	43.1914	0.1515	-0.0233	1.6254	14.0892	12.2347	177.1219	0
120.8672	51.9515	0.3059	0.0367	1.7918	14.5979	12.0065	167.6266	0
93.25	34.9895	0.784	3.0377	2.0677	17.1359	9.4226	96.8048	0
81.1172	34.883	0.7609	3.6608	2.7333	16.7989	8.0877	78.7641	0
139.2422	43.6044	-0.0267	0.1517	19.8303	49.1352	2.398	4.7019	0
113.5625	49.2923	-0.0892	-0.3781	1.9005	14.449	9.9278	120.2876	0
123.4375	52.2286	-0.1771	-0.4438	10.7734	40.1084	3.9221	14.916	0
127.3828	50.3058	0.1642	-0.4225	4.1329	21.8547	6.9765	56.7322	0
108.8516	40.7975	0.3368	1.0831	1.6538	16.1824	11.7823	152.5824	0
113.3438	54.0487	0.2413	-0.3144	2.7149	16.0524	8.5709	92.521	0
136.0234	48.1397	-0.2613	0.0959	1.852	13.1343	11.3792	165.01	0
99.9141	42.7292	0.2731	1.4372	1.8135	13.5802	10.1569	133.1339	0
99.2891	47.3913	0.702	1.0422	1.6271	14.6801	10.9914	139.5509	1
127.1875	46.4364	-0.2618	0.2821	3.0736	17.183	8.0194	78.3519	0
128.4297	57.0561	0.0246	-0.6088	2.0184	17.5417	10.0171	107.6602	0
123.0391	52.9743	0.1237	-0.424	27.0042	68.7558	2.3022	3.5794	0
100.3516	50.1846	0.3512	0.2017	1.1798	12.7471	13.3483	205.7339	0
20.3516	25.7717	7.0246	56.113	70.5125	65.4723	1.102	0.7821	1
103.4219	39.4722	0.0014	1.1433	2.0017	12.4868	11.046	172.0811	0
129.7031	51.8296	0.2049	-0.3753	4.7667	23.6877	5.9105	38.7308	0
117.7109	54.5479	0.2176	-0.0337	1.4047	13.8671	12.2684	173.5871	0
140.2812	55.9718	-0.0928	-0.6385	5.8043	33.0122	6.0167	35.3894	0
99.2031	58.7172	0.686	-0.3821	1.199	16.697	14.0347	195.5508	0
142.7734	47.3156	-0.2502	0.1893	7.4398	32.0707	4.7671	22.7987	0
129.3125	43.3209	0.1129	0.4443	9.6162	34.3196	3.8315	14.8368	0
96.2812	40.4338	0.5182	1.5845	2.041	12.9565	10.758	155.2134	0
107.3281	39.1466	0.4746	0.9319	1.8261	16.0983	10.4361	121.4705	0
137.0781	52.7199	-0.2294	-0.1134	3.0711	19.5087	7.6725	65.9901	0
142.8203	39.8514	-0.0753	0.7513	2.2943	13.8352	9.196	117.0206	0
128.2891	47.7705	0.1642	-0.0517	4.6513	26.9675	6.1644	38.7475	0
130.8047	45.9361	-0.0212	-0.1186	3.8938	19.9224	6.8955	55.961	0
112.25	49.3373	0.1432	-0.0684	3.694	20.1771	7.2223	60.783	0
115.1484	51.3834	0.0828	-0.5693	1.6488	11.3346	12.6738	229.543	0
104.5	46.7814	0.6105	0.6657	1.959	13.7043	10.4285	139.6714	0
135.0781	48.6866	0.1134	-0.1477	2.3545	17.2437	9.2914	100.2919	0
125.6797	48.0379	0.0149	-0.0439	5.9147	27.2984	5.1904	29.3344	0
119.1953	51.9281	0.0471	-0.6865	9.6279	38.8931	4.0721	15.5989	0
105.5	41.8418	0.4171	0.8601	2.0828	19.1417	10.1467	107.6217	1
116.625	52.4077	0.1193	-0.1476	3.7475	20.4008	6.6105	49.7087	0
128.8203	42.9812	-0.2516	0.4309	2.4247	14.2621	9.2246	114.01	0
98.3906	38.0906	0.1818	1.3284	2.6463	15.2625	8.3226	90.984	0
109.3438	32.7716	0.2754	2.68	3.2542	21.3947	7.8024	65.0611	0
122.4219	42.5501	0.1968	0.272	2.2166	13.9801	9.5181	120.518	0
94.2109	37.1996	0.4736	1.9199	2.7408	21.1078	8.835	80.8353	0
128.6953	61.4848	-0.0215	-0.6457	0.8938	11.4393	15.3356	269.573	0
110.3047	40.8935	0.0628	0.4624	4.3955	23.0044	6.87	53.5384	0
101.1953	40.4386	0.4363	1.0433	2.7383	18.7857	8.465	82.9946	0
78.5781	35.7739	0.8904	3.4638	1.9523	13.9939	10.2533	132.5448	0
131.8281	56.3456	-0.0364	-0.5226	4.9565	26.1497	5.7111	34.0287	0
133.3125	59.1189	-0.0854	-0.7495	2.5293	21.7037	8.9424	81.8527	0
131.2734	50.4554	0.0249	0.1959	1.4967	15.6962	11.9715	156.1261	0
117.2422	44.9058	0.1871	0.2505	1.7592	12.0324	12.143	198.9092	0
112.3672	52.9494	0.0871	-0.161	4.6279	21.4164	5.7976	40.0558	0
110.1016	48.7088	0.5187	0.3434	1.0652	12.3343	14.1414	230.3872	0
121.0078	36.5266	0.147	1.1741	2.8905	19.4748	8.1984	76.7288	0
135.4688	47.3669	0.1114	-0.0551	4.2124	25.0585	6.8544	49.3697	0
104.5781	54.3588	0.2523	-0.3194	3.5326	18.5174	7.1701	63.8988	0
110.9453	41.324	0.2364	0.6788	1.4983	13.3919	11.7974	165.3707	0
124.1797	40.2536	0.1666	0.6082	6.1781	26.5522	4.8489	25.6493	0
116.5469	46.542	0.1844	0.46	1.9908	14.3661	11.5857	168.1868	0
95.625	37.7438	0.7483	1.9053	1.7383	12.7065	11.4394	170.918	0
107.0078	46.7638	0.3646	0.1282	2.602	20.5955	8.6353	77.808	0
118.5703	46.5466	0.0303	-0.0582	4.8462	25.8156	6.2909	42.0199	0
123.5547	47.7938	0.0912	-0.1912	3.7801	23.4051	7.2524	56.824	0
137.2188	45.3907	0.035	0.1344	3.204	17.1779	7.4946	74.0031	0
