C1	C2	C3	C4	C5
72.0000	94.0000	90.0000	85.0000	107.0000
90.0000	145.0000	230.0000	49.0000	75.0000
91.0000	112.0000	150.0000	110.0000	122.0000
180.0000	95.0000	100.0000	100.0000	67.0000
80.0000	65.0000	75.0000	100.0000	110.0000
105.0000	140.0000	150.0000	150.0000	140.0000
150.0000	83.0000	67.0000	78.0000	52.0000
61.0000	75.0000	75.0000	75.0000	97.0000
93.0000	67.0000	95.0000	105.0000	72.0000
72.0000	170.0000	145.0000	150.0000	148.0000
110.0000	105.0000	110.0000	95.0000	110.0000
110.0000	129.0000	75.0000	83.0000	100.0000
78.0000	96.0000	71.0000	97.0000	97.0000
70.0000	90.0000	95.0000	88.0000	98.0000
115.0000	53.0000	86.0000	81.0000	92.0000
79.0000	83.0000	140.0000	150.0000	120.0000
152.0000	100.0000	105.0000	81.0000	90.0000
52.0000	60.0000	70.0000	53.0000	100.0000
78.0000	110.0000	95.0000	71.0000	70.0000
75.0000	72.0000	102.0000	150.0000	88.0000
108.0000	120.0000	180.0000	145.0000	130.0000
150.0000	68.0000	80.0000	58.0000	96.0000
70.0000	145.0000	110.0000	145.0000	130.0000
110.0000	105.0000	100.0000	98.0000	180.0000
170.0000	190.0000	149.0000	78.0000	88.0000
75.0000	89.0000	63.0000	83.0000	67.0000
78.0000	97.0000	110.0000	110.0000	48.0000
66.0000	52.0000	70.0000	60.0000	110.0000
140.0000	139.0000	105.0000	95.0000	85.0000
88.0000	100.0000	90.0000	105.0000	85.0000
110.0000	120.0000	145.0000	165.0000	139.0000
140.0000	68.0000	95.0000	97.0000	75.0000
95.0000	105.0000	85.0000	97.0000	103.0000
125.0000	115.0000	133.0000	71.0000	68.0000
115.0000	85.0000	88.0000	90.0000	110.0000
130.0000	129.0000	138.0000	135.0000	155.0000
142.0000	125.0000	150.0000	71.0000	65.0000
80.0000	80.0000	77.0000	125.0000	71.0000
90.0000	70.0000	70.0000	65.0000	69.0000
90.0000	115.0000	115.0000	90.0000	76.0000
60.0000	70.0000	65.0000	90.0000	88.0000
90.0000	90.0000	78.0000	90.0000	75.0000
92.0000	75.0000	65.0000	105.0000	65.0000
48.0000	48.0000	67.0000	67.0000	67.0000
67.0000	62.0000	132.0000	100.0000	88.0000
72.0000	84.0000	84.0000	92.0000	110.0000
84.0000	58.0000	64.0000	60.0000	67.0000
65.0000	62.0000	68.0000	63.0000	65.0000
65.0000	74.0000	75.0000	75.0000	100.0000
74.0000	80.0000	76.0000	116.0000	120.0000
110.0000	105.0000	88.0000	85.0000	88.0000
88.0000	88.0000	85.0000	84.0000	90.0000
92.0000	74.0000	68.0000	68.0000	63.0000
70.0000	88.0000	75.0000	70.0000	67.0000
67.0000	67.0000	110.0000	85.0000	92.0000
112.0000	96.0000	84.0000	90.0000	86.0000
52.0000	84.0000	79.0000	82.0000	3504.0000
3693.0000	3436.0000	3433.0000	3449.0000	4341.0000
4354.0000	4312.0000	4425.0000	3850.0000	3563.0000
3609.0000	3761.0000	3086.0000	2372.0000	2833.0000
2774.0000	2587.0000	2130.0000	1835.0000	2672.0000
2430.0000	2375.0000	2234.0000	2648.0000	4615.0000
4376.0000	4382.0000	4732.0000	2130.0000	2264.0000
2228.0000	2634.0000	3439.0000	3329.0000	3302.0000
3288.0000	4209.0000	4464.0000	4154.0000	4096.0000
4955.0000	4746.0000	5140.0000	2962.0000	2408.0000
3282.0000	3139.0000	2220.0000	2123.0000	2074.0000
2065.0000	1773.0000	1613.0000	1834.0000	1955.0000
2278.0000	2126.0000	2254.0000	2408.0000	2226.0000
4274.0000	4385.0000	4135.0000	4129.0000	3672.0000
4633.0000	4502.0000	4456.0000	4422.0000	2330.0000
3892.0000	4098.0000	4294.0000	4077.0000	2933.0000
2511.0000	2979.0000	2189.0000	2395.0000	2288.0000
2506.0000	2164.0000	2100.0000	4100.0000	3672.0000
3988.0000	4042.0000	3777.0000	4952.0000	4464.0000
4363.0000	4237.0000	4735.0000	4951.0000	3821.0000
3121.0000	3278.0000	2945.0000	3021.0000	2904.0000
1950.0000	4997.0000	4906.0000	4654.0000	4499.0000
2789.0000	2279.0000	2401.0000	2379.0000	2124.0000
2310.0000	2472.0000	2265.0000	4082.0000	4278.0000
1867.0000	2158.0000	2582.0000	2868.0000	3399.0000
2660.0000	2807.0000	3664.0000	3102.0000	2901.0000
3336.0000	1950.0000	2451.0000	1836.0000	2542.0000
3781.0000	3632.0000	3613.0000	4141.0000	4699.0000
4457.0000	4638.0000	4257.0000	2219.0000	1963.0000
2300.0000	1649.0000	2003.0000	2125.0000	2108.0000
2246.0000	2489.0000	2391.0000	2000.0000	3264.0000
3459.0000	3432.0000	3158.0000	4668.0000	4440.0000
4498.0000	4657.0000	3907.0000	3897.0000	3730.0000
3785.0000	3039.0000	3221.0000	3169.0000	2171.0000
2639.0000	2914.0000	2592.0000	2702.0000	2223.0000
2545.0000	2984.0000	1937.0000	3211.0000	2694.0000
2957.0000	2945.0000	2671.0000	1795.0000	2464.0000
2220.0000	2572.0000	2255.0000	2202.0000	4215.0000
4190.0000	3962.0000	4215.0000	3233.0000	3353.0000
3012.0000	3085.0000	2035.0000	2164.0000	1937.0000
1795.0000	3651.0000	3574.0000	3645.0000	3193.0000
1825.0000	1990.0000	2155.0000	2565.0000	3150.0000
3940.0000	3270.0000	2930.0000	3820.0000	4380.0000
4055.0000	3870.0000	3755.0000	2045.0000	2155.0000
1825.0000	2300.0000	1945.0000	3880.0000	4060.0000
4140.0000	4295.0000	3520.0000	3425.0000	3630.0000
3525.0000	4220.0000	4165.0000	4325.0000	4335.0000
1940.0000	2740.0000	2265.0000	2755.0000	2051.0000
2075.0000	1985.0000	2190.0000	2815.0000	2600.0000
2720.0000	1985.0000	1800.0000	1985.0000	2070.0000
1800.0000	3365.0000	3735.0000	3570.0000	3535.0000
3155.0000	2965.0000	2720.0000	3430.0000	3210.0000
3380.0000	3070.0000	3620.0000	3410.0000	3425.0000
3445.0000	3205.0000	4080.0000	2155.0000	2560.0000
2300.0000	2230.0000	2515.0000	2745.0000	2855.0000
2405.0000	2830.0000	3140.0000	2795.0000	3410.0000
1990.0000	2135.0000	3245.0000	2990.0000	2890.0000
3265.0000	3360.0000	3840.0000	3725.0000	3955.0000
3830.0000	4360.0000	4054.0000	3605.0000	3940.0000
1925.0000	1975.0000	1915.0000	2670.0000	3530.0000
3900.0000	3190.0000	3420.0000	2200.0000	2150.0000
2020.0000	2130.0000	2670.0000	2595.0000	2700.0000
2556.0000	2144.0000	1968.0000	2120.0000	2019.0000
2678.0000	2870.0000	3003.0000	3381.0000	2188.0000
2711.0000	2542.0000	2434.0000	2265.0000	2110.0000
2800.0000	2110.0000	2085.0000	2335.0000	2950.0000
3250.0000	1850.0000	2145.0000	1845.0000	2910.0000
2420.0000	2500.0000	2290.0000	2490.0000	2635.0000
2620.0000	2725.0000	2385.0000	1755.0000	1875.0000
1760.0000	2065.0000	1975.0000	2050.0000	1985.0000
2215.0000	2045.0000	2380.0000	2190.0000	2210.0000
2350.0000	2615.0000	2635.0000	3230.0000	3160.0000
2900.0000	2930.0000	3415.0000	3725.0000	3060.0000
3465.0000	2605.0000	2640.0000	2395.0000	2575.0000
2525.0000	2735.0000	2865.0000	1980.0000	2025.0000
1970.0000	2125.0000	2125.0000	2160.0000	2205.0000
2245.0000	1965.0000	1965.0000	1995.0000	2945.0000
3015.0000	2585.0000	2835.0000	2665.0000	2370.0000
2950.0000	2790.0000	2130.0000	2295.0000	2625.0000
2720.0000	18.0000	15.0000	18.0000	16.0000
17.0000	15.0000	14.0000	14.0000	14.0000
15.0000	15.0000	14.0000	15.0000	14.0000
24.0000	22.0000	18.0000	21.0000	27.0000
26.0000	25.0000	24.0000	25.0000	26.0000
21.0000	10.0000	10.0000	11.0000	9.0000
27.0000	28.0000	25.0000	19.0000	16.0000
17.0000	19.0000	18.0000	14.0000	14.0000
14.0000	14.0000	12.0000	13.0000	13.0000
18.0000	22.0000	19.0000	18.0000	23.0000
28.0000	30.0000	30.0000	31.0000	35.0000
27.0000	26.0000	24.0000	25.0000	23.0000
20.0000	21.0000	13.0000	14.0000	15.0000
14.0000	17.0000	11.0000	13.0000	12.0000
13.0000	19.0000	15.0000	13.0000	13.0000
14.0000	18.0000	22.0000	21.0000	26.0000
22.0000	28.0000	23.0000	28.0000	27.0000
13.0000	14.0000	13.0000	14.0000	15.0000
12.0000	13.0000	13.0000	14.0000	13.0000
12.0000	13.0000	18.0000	16.0000	18.0000
18.0000	23.0000	26.0000	11.0000	12.0000
13.0000	12.0000	18.0000	20.0000	21.0000
22.0000	18.0000	19.0000	21.0000	26.0000
15.0000	16.0000	29.0000	24.0000	20.0000
19.0000	15.0000	24.0000	20.0000	11.0000
20.0000	19.0000	15.0000	31.0000	26.0000
32.0000	25.0000	16.0000	16.0000	18.0000
16.0000	13.0000	14.0000	14.0000	14.0000
29.0000	26.0000	26.0000	31.0000	32.0000
28.0000	24.0000	26.0000	24.0000	26.0000
31.0000	19.0000	18.0000	15.0000	15.0000
16.0000	15.0000	16.0000	14.0000	17.0000
16.0000	15.0000	18.0000	21.0000	20.0000
13.0000	29.0000	23.0000	20.0000	23.0000
24.0000	25.0000	24.0000	18.0000	29.0000
19.0000	23.0000	23.0000	22.0000	25.0000
33.0000	28.0000	25.0000	25.0000	26.0000
27.0000	17.5000	16.0000	15.5000	14.5000
22.0000	22.0000	24.0000	22.5000	29.0000
24.5000	29.0000	33.0000	20.0000	18.0000
18.5000	17.5000	29.5000	32.0000	28.0000
26.5000	20.0000	13.0000	19.0000	19.0000
16.5000	16.5000	13.0000	13.0000	13.0000
31.5000	30.0000	36.0000	25.5000	33.5000
17.5000	17.0000	15.5000	15.0000	17.5000
20.5000	19.0000	18.5000	16.0000	15.5000
15.5000	16.0000	29.0000	24.5000	26.0000
25.5000	30.5000	33.5000	30.0000	30.5000
22.0000	21.5000	21.5000	43.1000	36.1000
32.8000	39.4000	36.1000	19.9000	19.4000
20.2000	19.2000	20.5000	20.2000	25.1000
20.5000	19.4000	20.6000	20.8000	18.6000
18.1000	19.2000	17.7000	18.1000	17.5000
30.0000	27.5000	27.2000	30.9000	21.1000
23.2000	23.8000	23.9000	20.3000	17.0000
21.6000	16.2000	31.5000	29.5000	21.5000
19.8000	22.3000	20.2000	20.6000	17.0000
17.6000	16.5000	18.2000	16.9000	15.5000
19.2000	18.5000	31.9000	34.1000	35.7000
27.4000	25.4000	23.0000	27.2000	23.9000
34.2000	34.5000	31.8000	37.3000	28.4000
28.8000	26.8000	33.5000	41.5000	38.1000
32.1000	37.2000	28.0000	26.4000	24.3000
19.1000	34.3000	29.8000	31.3000	37.0000
32.2000	46.6000	27.9000	40.8000	44.3000
43.4000	36.4000	30.0000	44.6000	33.8000
29.8000	32.7000	23.7000	35.0000	32.4000
27.2000	26.6000	25.8000	23.5000	30.0000
39.1000	39.0000	35.1000	32.3000	37.0000
37.7000	34.1000	34.7000	34.4000	29.9000
33.0000	33.7000	32.4000	32.9000	31.6000
28.1000	30.7000	25.4000	24.2000	22.4000
26.6000	20.2000	17.6000	28.0000	27.0000
34.0000	31.0000	29.0000	27.0000	24.0000
36.0000	37.0000	31.0000	38.0000	36.0000
36.0000	36.0000	34.0000	38.0000	32.0000
38.0000	25.0000	38.0000	26.0000	22.0000
32.0000	36.0000	27.0000	27.0000	44.0000
32.0000	28.0000	31.0000	12.0000	11.5000
11.0000	12.0000	10.5000	10.0000	9.0000
8.5000	10.0000	8.5000	10.0000	8.0000
9.5000	10.0000	15.0000	15.5000	15.5000
16.0000	14.5000	20.5000	17.5000	14.5000
17.5000	12.5000	15.0000	14.0000	15.0000
13.5000	18.5000	14.5000	15.5000	14.0000
13.0000	15.5000	15.5000	15.5000	15.5000
12.0000	11.5000	13.5000	13.0000	11.5000
12.0000	12.0000	13.5000	19.0000	15.0000
14.5000	14.0000	14.0000	19.5000	14.5000
19.0000	18.0000	19.0000	20.5000	15.5000
17.0000	23.5000	19.5000	16.5000	12.0000
12.0000	13.5000	13.0000	11.5000	11.0000
13.5000	13.5000	12.5000	13.5000	12.5000
14.0000	16.0000	14.0000	14.5000	18.0000
19.5000	18.0000	16.0000	17.0000	14.5000
15.0000	16.5000	13.0000	11.5000	13.0000
14.5000	12.5000	11.5000	12.0000	13.0000
14.5000	11.0000	11.0000	11.0000	16.5000
18.0000	16.0000	16.5000	16.0000	21.0000
14.0000	12.5000	13.0000	12.5000	15.0000
19.0000	19.5000	16.5000	13.5000	18.5000
14.0000	15.5000	13.0000	9.5000	19.5000
15.5000	14.0000	15.5000	11.0000	14.0000
13.5000	11.0000	16.5000	16.0000	17.0000
19.0000	16.5000	21.0000	17.0000	17.0000
18.0000	16.5000	14.0000	14.5000	13.5000
16.0000	15.5000	16.5000	15.5000	14.5000
16.5000	19.0000	14.5000	15.5000	14.0000
15.0000	15.5000	16.0000	16.0000	16.0000
21.0000	19.5000	11.5000	14.0000	14.5000
13.5000	21.0000	18.5000	19.0000	19.0000
15.0000	13.5000	12.0000	16.0000	17.0000
16.0000	18.5000	13.5000	16.5000	17.0000
14.5000	14.0000	17.0000	15.0000	17.0000
14.5000	13.5000	17.5000	15.5000	16.9000
14.9000	17.7000	15.3000	13.0000	13.0000
13.9000	12.8000	15.4000	14.5000	17.6000
17.6000	22.2000	22.1000	14.2000	17.4000
17.7000	21.0000	16.2000	17.8000	12.2000
17.0000	16.4000	13.6000	15.7000	13.2000
21.9000	15.5000	16.7000	12.1000	12.0000
15.0000	14.0000	18.5000	14.8000	18.6000
15.5000	16.8000	12.5000	19.0000	13.7000
14.9000	16.4000	16.9000	17.7000	19.0000
11.1000	11.4000	12.2000	14.5000	14.5000
16.0000	18.2000	15.8000	17.0000	15.9000
16.4000	14.1000	14.5000	12.8000	13.5000
21.5000	14.4000	19.4000	18.6000	16.4000
15.5000	13.2000	12.8000	19.2000	18.2000
15.8000	15.4000	17.2000	17.2000	15.8000
16.7000	18.7000	15.1000	13.2000	13.4000
11.2000	13.7000	16.5000	14.2000	14.7000
14.5000	14.8000	16.7000	17.6000	14.9000
15.9000	13.6000	15.7000	15.8000	14.9000
16.6000	15.4000	18.2000	17.3000	18.2000
16.6000	15.4000	13.4000	13.2000	15.2000
14.9000	14.3000	15.0000	13.0000	14.0000
15.2000	14.4000	15.0000	20.1000	17.4000
24.8000	22.2000	13.2000	14.9000	19.2000
14.7000	16.0000	11.3000	12.9000	13.2000
14.7000	18.8000	15.5000	16.4000	16.5000
18.1000	20.1000	18.7000	15.8000	15.5000
17.5000	15.0000	15.2000	17.9000	14.4000
19.2000	21.7000	23.7000	19.9000	21.8000
13.8000	18.0000	15.3000	11.4000	12.5000
15.1000	17.0000	15.7000	16.4000	14.4000
12.6000	12.9000	16.9000	16.4000	16.1000
17.8000	19.4000	17.3000	16.0000	14.9000
16.2000	20.7000	14.2000	14.4000	16.8000
14.8000	18.3000	20.4000	19.6000	12.6000
13.8000	15.8000	19.0000	17.1000	16.6000
19.6000	18.6000	18.0000	16.2000	16.0000
18.0000	16.4000	15.3000	18.2000	17.6000
14.7000	17.3000	14.5000	14.5000	16.9000
15.0000	15.7000	16.2000	16.4000	17.0000
14.5000	14.7000	13.9000	13.0000	17.3000
15.6000	24.6000	11.6000	18.6000	19.4000
