C1	C2	C3	C4
36.3800	45.1300	67.1300	60.3100
42.9400	23.5600	36.7500	21.7500
3.6300	1.8100	15.2100	3.8200
2.8800	35.3500	15.8800	35.8800
50.4700	49.3500	32.4700	10.4600
25.3500	32.4100	39.7100	48.2900
50.0600	51.1800	32.9400	68.4400
69.1300	75.2500	80.1900	85.8800
104.1900	103.6300	122.7600	122.8200
112.8200	56.1200	21.8800	35.0000
69.5300	61.5300	56.3500	89.0600
104.7600	117.7600	90.5900	97.4100
73.7500	77.7600	82.6500	62.5300
95.8200	124.0700	116.5300	117.1200
147.8800	123.2900	127.2400	96.8200
83.5300	97.7100	63.6300	61.6500
70.4700	92.8800	99.0000	126.5800
139.4400	83.3100	74.1300	142.5600
96.3100	25.7600	107.0000	90.6900
50.0000	93.3800	169.7500	118.9400
75.7500	55.6700	67.8100	96.8200
73.8200	85.8200	160.8600	164.8000
146.5600	146.2900	166.8100	138.7600
175.9200	107.4700	162.3500	211.9300
208.4400	175.7500	75.0000	120.7500
126.1900	127.1300	135.8800	85.7100
89.9400	134.5900	152.3500	200.6000
89.5000	77.5600	76.3800	105.5000
141.7500	142.3800	158.1900	83.8200
73.1200	134.8200	191.7100	177.1200
180.7600	239.2000	220.2900	135.1800
87.0000	196.8800	163.3500	93.4700
170.0600	186.8800	191.2900	182.1900
114.6900	115.1300	73.3300	124.2000
148.6000	164.3300	98.8800	130.5900
121.4700	141.0600	131.3500	146.7100
119.8200	122.3500	145.4100	132.7100
126.2900	170.5400	159.8100	169.9400
50.0600	96.3100	86.5000	98.2700
86.7500	137.3100	89.9300	116.7100
117.7600	67.4100	127.5900	78.0600
65.8200	69.5300	114.2500	15.4400
55.8800	19.6900	25.3800	47.4400
86.7500	56.5000	77.9400	39.2900
81.8800	40.8800	8.2900	19.0600
12.0600	32.6900	45.0600	3.0600
22.1800	9.1800	1.7100	27.0000
39.6900	51.3100	41.1900	48.3100
38.8800	20.5300	4.2900	0.1200
2.9400	48.2400	48.0000	27.3600
32.7100	15.3500	11.4700	99.9000
75.1000	104.9000	99.5000	107.9000
127.5000	119.8000	113.3000	95.1000
97.5000	76.1000	105.8000	122.2000
125.2000	161.5000	169.5000	124.9000
112.9000	126.8000	132.4000	107.9000
131.3000	141.7000	146.2000	157.3000
130.7000	135.3000	131.9000	125.6000
145.6000	148.4000	115.1000	95.2000
60.9000	78.8000	23.1000	87.4000
95.5000	79.3000	57.7000	76.8000
107.8000	117.4000	135.6000	150.5000
151.9000	88.1000	98.8000	21.3000
39.3000	120.4000	116.5000	92.0000
93.2000	80.1000	54.9000	134.4000
130.1000	127.3000	184.6000	122.3000
121.2000	142.1000	71.1000	46.7000
44.5000	18.9000	80.5000	124.9000
83.8000	75.1000	61.7000	88.5000
52.3000	66.8000	102.1000	153.2000
139.6000	101.6000	136.5000	104.6000
135.1000	171.4000	157.1000	119.1000
71.0000	209.9000	236.6000	285.8000
205.6000	80.9000	105.3000	97.6000
43.5000	63.9000	91.9000	141.4000
98.1000	139.7000	186.8000	161.9000
122.5000	139.9000	78.1000	49.3000
124.8000	138.9000	89.3000	151.9000
80.7000	93.1000	69.9000	83.6000
50.4000	53.4000	62.8000	110.3000
81.8000	79.2000	75.0000	65.7000
101.9000	91.6000	108.7000	44.7000
60.8000	99.5000	85.8000	99.9000
11.9000	56.3000	95.4000	92.8000
29.2000	62.4000	49.5000	66.2000
87.0000	40.2000	13.5000	67.9000
63.8000	42.7000	37.1000	99.8000
51.6000	3.2000	9.5000	21.1000
20.9000	31.4000	52.9000	37.9000
49.4000	30.8000	63.6000	48.1000
9.4000	54.8000	39.2000	9.8000
40.2000	32.2000	19.8000	57.1000
44.9000	38.4000	10.8000	42.6000
60.6000	18.1000	12.2000	119.0000
112.1800	60.4700	86.1300	35.2500
32.6900	87.4400	126.2500	123.0600
114.0000	125.5800	117.1200	76.0600
78.2900	105.8200	108.7100	129.5300
133.1200	123.3500	132.5300	40.5300
113.2400	130.8800	141.8800	155.3600
160.7600	88.7100	72.1800	113.1900
99.0000	77.4400	101.0000	79.0600
53.3300	62.3100	141.7500	151.2400
157.7100	137.8800	159.2900	140.0600
64.4100	67.7100	56.6500	62.1200
29.5900	95.5000	63.4000	114.2900
143.4700	84.5000	70.3800	106.0000
69.8100	90.5600	111.7100	86.5300
70.0000	97.6500	123.3500	144.8800
174.7500	195.8800	212.1900	158.3100
50.4000	99.3100	101.3100	164.2900
70.1200	70.5300	62.2400	73.2400
36.7600	43.4700	99.8800	86.4100
94.4100	66.8200	84.4500	71.8800
76.5000	101.6900	110.3100	75.0600
64.1800	66.0000	24.6900	113.0600
174.1300	78.0000	96.0600	129.6900
149.8500	131.6700	116.6300	93.6900
116.7500	124.0600	98.6900	54.7500
78.7100	100.8800	78.7600	155.2900
129.8200	126.3500	125.6000	111.5000
148.3800	188.2500	164.3800	150.7500
17.5000	61.6900	78.8800	87.5300
71.0000	64.8800	84.3500	96.5300
35.2000	58.4100	58.5900	33.3500
34.2900	59.0000	60.4100	52.4700
43.1200	10.5900	58.2400	60.9400
67.0000	36.6900	53.6900	55.6300
73.9400	72.5600	86.3800	86.3800
45.5900	68.4700	36.8200	15.7600
23.2900	6.2400	69.7100	76.9100
34.4100	11.9400	33.5300	22.3300
20.5600	45.4400	17.7500	24.3100
25.8100	45.5600	3.1800	59.3500
17.7100	3.1800	31.7600	3.0000
25.5000	21.1800	40.5300	19.3800
9.3500	13.8800	13.0000	12.5900
10.5300	19.6300	16.7500	23.4400
24.8100	22.0600	19.3800	11.8100
17.5000	86.2400	91.5500	113.0000
72.7600	77.0600	73.4700	125.9400
128.2400	20.6500	61.4400	111.6300
132.9400	98.0000	78.6900	125.6300
101.1300	86.2500	56.8100	34.8200
82.8800	56.7100	113.0000	103.7100
82.2900	80.1800	73.7100	49.8800
79.3500	109.8100	117.5000	124.6200
180.5600	125.6300	94.6300	73.0000
78.5600	80.6900	63.5500	109.9400
77.3800	59.3800	72.9400	112.0600
130.4100	75.4100	149.0600	134.0000
108.0000	145.9300	159.7500	128.3100
153.2900	82.5900	118.8800	156.0600
165.3800	135.9400	158.3800	134.0000
129.7600	99.2900	114.4200	115.1300
140.5000	135.2500	130.4000	142.9400
161.2900	99.5000	82.8100	17.4100
169.7900	144.3800	166.4400	148.1300
192.7500	194.5900	195.2500	157.8100
161.4400	156.6300	127.1300	149.0700
171.1300	198.6300	203.3100	184.5300
125.4700	56.1800	129.2900	69.7600
80.2900	75.4700	87.8800	81.6500
88.5300	136.5900	159.5900	85.2400
60.3500	91.5900	123.4100	137.0600
147.6300	91.5300	80.5000	89.9400
87.6300	65.6300	88.3100	130.8600
44.4400	86.9400	87.7500	121.2900
133.1800	35.8800	26.4700	14.9400
36.2900	75.0000	69.5300	68.2400
40.4000	97.5800	21.6300	75.8800
91.9400	83.6300	68.6900	56.5000
70.9400	77.0000	78.1300	88.3800
80.8100	112.3100	39.0000	47.6300
61.5300	61.3500	15.5000	63.7700
46.5000	48.7300	37.0600	51.6300
64.3800	33.7700	45.8800	30.6700
33.9400	20.5000	50.1900	41.7500
48.0600	48.4400	14.0600	27.8100
24.0000	8.2500	37.9400	37.1400
36.5600	56.2500	47.5900	4.8800
37.9400	4.3000	3.8000	4.2000
4.3000	3.6000	5.2000	6.5000
5.2000	5.4000	3.3000	2.7000
3.1000	2.7000	1.9000	2.0000
2.4000	1.4000	4.1000	4.8000
2.9000	5.3000	4.0000	2.2000
2.7000	2.9000	2.6000	2.7000
1.8000	2.9000	1.7000	1.5000
2.0000	2.9000	2.4000	2.5000
3.7000	4.1000	3.3000	4.3000
3.2000	4.0000	2.1000	1.8000
1.9000	2.1000	2.0000	2.4000
1.9000	2.9000	2.8000	3.0000
2.6000	4.4000	4.7000	3.9000
4.3000	3.9000	2.8000	1.2000
1.1000	3.3000	4.7000	1.6000
3.5000	4.5000	1.5000	2.5000
2.0000	2.3000	2.3000	2.2000
4.1000	1.3000	1.5000	2.8000
2.8000	2.0000	3.4000	1.4000
7.0000	5.4000	3.4000	1.5000
2.1000	1.8000	1.6000	3.3000
1.1000	3.9000	4.0000	2.0000
0.6000	3.4000	1.4000	2.4000
6.0000	5.9000	5.0000	1.7000
1.5000	3.0000	2.3000	2.3000
1.0000	4.2000	1.8000	2.0000
1.0000	4.0000	1.7000	2.8000
2.2000	2.6000	3.1000	2.7000
3.2000	1.1000	2.1000	3.8000
3.3000	3.0000	2.9000	4.3000
3.5000	2.0000	3.5000	3.3000
1.1000	1.1000	0.9000	0.9000
3.3000	4.9000	1.4000	1.1000
1.9000	1.1000	1.0000	1.1000
1.4000	5.0000	7.4000	4.4000
1.6100	4.9500	4.8100	5.7500
2.0800	1.8800	2.7500	3.1400
3.3500	3.4100	2.5400	3.8200
2.8200	1.7800	2.8300	2.1700
1.9600	3.1000	2.1100	2.2200
2.2400	5.3800	5.0600	1.8500
2.1100	3.6800	2.5600	2.4500
2.9400	2.0000	6.7900	2.6100
3.2100	2.4500	5.0300	6.7200
2.8200	4.7100	4.7200	4.4400
1.6400	3.9900	3.2400	4.5200
2.0700	3.1800	3.6400	2.8000
2.0100	1.7800	2.0000	3.7200
3.3900	2.1100	2.0800	3.8100
2.6900	2.2000	2.5900	2.4200
2.9900	3.4000	3.6500	2.9900
2.0400	1.7400	2.7700	1.5600
1.7900	3.7100	2.8400	4.3700
3.9600	5.6100	5.0200	2.1100
7.4600	4.9500	2.7500	2.3400
1.5500	4.1200	2.1500	1.6800
1.4700	2.3100	3.9800	4.7600
3.0800	1.9900	2.6500	2.6800
3.6200	3.5000	4.9300	3.1100
2.4600	2.5100	1.5700	1.2500
2.1300	1.7700	3.3100	3.6600
3.1800	2.9400	5.4400	4.7500
5.6800	4.0200	2.7500	6.5200
6.9400	1.6100	2.0000	1.6500
1.1200	1.6400	2.2000	2.0200
2.0300	2.5400	2.7100	3.1700
2.4000	2.9300	1.1400	1.0800
1.0900	2.1100	1.0500	1.1200
0.9600	1.8800	1.5700	3.2500
2.5800	5.9200	5.9900	1.9900
1.3700	2.3400	2.7600	5.1800
4.9900	5.0200	5.7500	5.2100
3.5900	2.9900	3.0300	3.0500
2.2300	2.1600	2.1200	2.9400
4.3200	4.5600	2.8700	2.1300
2.4600	4.0400	2.8900	3.2800
2.5900	1.6900	1.9800	3.1800
3.9400	4.8100	3.4000	3.5400
2.0200	2.2800	3.6500	5.6400
4.9700	2.0600	3.5800	2.1000
7.4600	4.2100	1.9600	3.4500
2.3200	3.5800	3.0400	5.9700
5.0300	3.1000	5.1600	5.4700
2.6100	1.9200	1.3700	5.3500
4.5000	2.6000	1.9600	1.8800
1.9500	4.7800	3.9900	5.5500
7.8000	5.0600	4.5100	4.3700
4.5400	5.9100	5.0700	4.4600
4.4800	3.1600	2.5500	3.4300
1.5500	4.8700	2.7000	3.7100
4.5600	3.8600	3.1500	2.2400
5.4900	3.2100	2.3400	2.2300
1.9100	3.3900	5.5400	3.8500
1.5300	4.3400	5.0800	4.1100
2.5600	3.3600	3.0200	2.1100
2.2000	1.6500	2.6900	2.1500
3.5900	1.9800	2.1900	3.8300
4.0700	3.0500	2.7900	1.8800
3.9100	6.4500	3.3200	3.5600
2.2600	2.1100	3.1100	2.1700
2.3600	1.3700	2.5200	3.0100
1.5200	5.6200	4.6400	4.3100
3.3200	1.7700	2.0700	2.3500
2.2900	2.3200	2.4100	2.1900
1.4200	2.0200	3.2100	6.0700
1.6800	1.6400	1.3400	1.6200
3.3200	5.9500	3.2600	3.0100
2.5800	5.0400	1.8200	1.2200
2.9500	4.8600	7.2700	1.4500
1.2500	0.8800	2.8400	0.9900
1.5400	1.7600	1.6900	4.2200
1.3800	2.2100	2.5600	0.8800
2.0000	5.1800	7.4100	4.5500
3.3400	3.2100	1.3700	2.9600
1.1200	2.0700	4.5800	3.2100
3.0600	2.5600	2.0600	2.6200
4.5000	2.7000	2.8000	5.0000
2.1000	2.1000	2.2000	7.6000
4.8000	3.7000	7.9000	3.5000
2.1000	4.7000	3.8000	3.1000
3.9000	5.7000	7.2000	8.1000
2.5000	3.8000	5.3000	2.6000
1.9000	3.8000	4.9000	5.4000
2.7000	2.6000	4.3000	1.9000
2.7000	2.7000	3.2000	2.7000
1.8000	1.8000	2.7000	1.8000
3.5000	4.0000	3.8000	1.5000
3.5000	5.1000	5.5000	3.1000
2.8000	1.9000	2.8000	4.3000
2.5000	3.5000	1.9000	1.8000
4.0000	4.5000	3.3000	1.9000
2.5000	2.5000	2.2000	3.4000
1.5000	2.2000	2.2000	3.2000
2.5000	2.7000	2.7000	4.1000
3.8000	5.9000	1.8000	1.9000
3.7000	2.0000	2.8000	5.5000
2.3000	3.8000	3.3000	3.3000
4.3000	1.1000	2.1000	1.6000
1.5000	1.7000	4.3000	2.7000
3.9000	4.2000	5.1000	1.4000
1.9000	4.3000	2.2000	2.3000
1.7000	1.8000	1.4000	4.7000
3.0000	4.7000	2.2000	3.2000
4.0000	3.6000	4.5000	7.6000
3.0000	5.6000	5.3000	4.5000
2.3000	2.2000	3.4000	1.7000
3.5000	2.0000	1.9000	2.8000
4.5000	3.6000	2.5000	2.8000
1.9000	1.2000	1.2000	1.9000
3.6000	1.8000	1.5000	4.2000
2.2000	2.5000	3.3000	2.8000
2.7000	2.0000	1.1000	2.8000
7.9000	5.3000	2.3000	1.9000
1.6000	2.4000	5.4000	2.6000
6.0000	4.0000	3.3000	7.2000
2.7000	1.6000	3.1000	3.4000
1.4000	4.3000	4.5000	4.0000
6.6000	4.1000	6.5000	2.3000
3.2000	7.5000	3.1000	1.2000
3.3300	3.2200	2.7600	5.1400
3.7700	4.0000	2.1100	4.3900
2.8700	2.4700	3.9500	2.5000
2.2500	3.2800	2.5000	1.8100
2.3600	2.2200	2.5900	2.6700
2.7400	1.7100	1.9700	2.4400
1.6100	2.0000	2.9800	4.6300
1.8200	4.6700	5.4800	1.8400
3.2100	3.0900	2.9000	3.3400
1.6400	2.8200	3.1900	3.8900
2.1800	4.0400	5.4000	3.7100
4.5300	3.1100	3.9600	4.2400
3.5600	4.1800	3.3500	2.2900
2.6900	3.8200	2.1000	2.4200
5.5400	2.9400	5.4900	2.1700
3.1200	1.9100	3.5500	1.9500
2.9500	3.8200	4.5100	1.9500
2.8900	4.1600	3.2600	5.1900
3.6800	3.3400	3.6800	4.7800
3.7600	1.7300	3.4700	5.0700
3.0900	2.3100	4.6100	3.0800
6.1700	6.2600	5.1700	3.9200
1.9500	2.0400	5.9900	1.7600
2.8700	2.8600	1.4800	3.0400
4.8200	1.6900	2.0900	4.2900
5.8600	4.7400	3.6500	1.9200
1.5100	3.6900	1.7900	3.6100
2.9200	2.3400	3.0600	3.1500
5.1400	2.0100	1.4100	1.9200
1.6200	3.5500	2.6000	1.7800
5.2100	3.5600	2.1700	2.0600
3.8000	2.4200	2.8500	2.6500
1.4900	4.5500	2.5800	4.4500
2.4000	2.0400	4.0200	7.3100
3.8000	7.6000	2.9900	2.4600
3.5500	1.6400	2.2900	1.7600
2.0800	2.7000	3.3300	5.5800
2.9500	2.6900	1.7400	1.8700
1.4900	1.6800	4.4200	3.6400
2.9400	3.4500	2.4200	1.1200
3.2600	1.5600	2.8900	4.5400
3.8900	2.8500	2.3300	4.7900
4.8800	3.2100	1.5900	1.9700
6.4100	5.0100	3.9100	2.9100
3.4500	3.4400	3.3600	2.2400
3.1900	1.7100	3.3800	4.7200
2.8200	4.2400	5.1600	2.5200
4.3500	2.3400	3.1500	3.5900
5.7500	2.6700	4.4900	2.6100
4.1100	1.8400	2.6000	3.3600
4.2100	1.5100	2.2200	3.5900
2.4300	3.4200	4.8900	3.7000
3.1900	1.5800	2.6800	3.0300
2.0900	1.6200	4.6500	5.4100
4.9200	5.6400	4.8500	2.7900
1.8900	3.8500	2.7200	4.5400
5.0500	4.1400	2.2400	3.2500
5.6800	1.8800	3.7700	4.5300
3.2400	4.4900	6.5500	2.4200
4.0200	2.0900	2.6800	3.0100
3.3700	2.4400	5.0200	3.5800
3.4100	2.6100	4.9400	3.9800
2.6100	2.7400	1.8800	2.3100
1.2200	1.9500	2.6300	1.6700
2.5200	1.4600	1.8600	1.9400
2.1100	1.9800	1.6700	4.0400
1.4500	1.3600	1.7900	2.3700
2.0500	2.1400	2.1300	2.6900
2.3500	2.3800	4.7300	3.3200
2.9400	1.9800	1.4600	3.9400
7.7600	4.1600	3.7900	1.4600
1.6200	2.4200	4.0800	2.6500
2.2800	3.7100	4.2100	3.5800
2.1400	1.2100	2.8600	2.4500
2.8700	1.8400	2.3900	1.3400
2.0100	2.0700	6.8900	5.5800
2.5600	4.0600	1.8100	1.3600
6.4800	6.8000	5.4800	2.7000
2.5200	3.0400	3.7500	4.3400
5.0300	2.3200	1.7600	1.2800
1.9400	1.3300	1.1400	0.5000
2.0500	2.9000	2.5200	3.3100
2.3300	1.0100	1.6800	1.7100
1.8300	2.8300	0.9800	0.5200
1.7600	5.0400	4.3200	3.7000
3.6100	1.3100	1.1100	4.4600
4.1800	3.8500	4.2400	4.2300
1.1300	2.1400	642.1000	600.6000
604.2000	560.9000	573.8000	540.4000
601.5000	658.9000	654.8000	655.4000
613.1000	535.4000	605.0000	585.4000
415.2000	466.6000	230.3000	540.5000
319.8000	397.9000	482.8000	511.0000
591.4000	575.6000	350.5000	590.4000
532.4000	135.7000	67.9000	382.9000
515.7000	522.5000	491.5000	209.5000
569.9000	516.8000	359.0000	572.1000
486.9000	612.8000	209.7000	602.8000
679.5000	586.4000	606.5000	445.4000
319.1000	246.4000	463.5000	378.8000
571.6000	565.7000	375.0000	313.9000
216.7000	285.1000	506.9000	330.1000
542.1000	249.1000	442.9000	352.2000
362.8000	446.1000	308.6000	494.2000
475.0000	583.4000	535.0000	498.5000
520.6000	520.4000	560.6000	508.1000
489.5000	411.3000	528.1000	190.5000
115.4000	310.8000	253.4000	246.9000
426.9000	538.1000	412.5000	86.5000
185.8000	178.7000	483.4000	497.4000
409.8000	290.3000	426.5000	332.1000
261.8000	282.8000	62.9000	312.9000
442.1000	409.1000	311.7000	391.8000
206.2000	245.6000	68.6000	129.4000
262.2000	273.5000	264.5000	202.5000
216.5000	182.2000	153.4000	120.2000
275.5000	383.1000	351.6000	63.1000
211.3000	95.7000	87.7000	102.4000
26.5000	157.7000	138.2000	75.9000
166.3000	300.5000	298.9000	257.8000
212.8000	59.7000	219.1000	283.6000
255.3000	243.3000	238.4000	231.5000
242.1000	172.6000	86.4000	77.8000
45.5000	589.6500	272.7600	364.6900
444.2400	527.8800	205.1200	201.8800
303.1200	498.5900	178.0000	356.2000
240.3500	107.1200	179.1200	219.1200
391.2900	604.2900	394.0000	622.5900
115.5300	476.6500	306.7100	551.6500
422.2400	660.5300	640.8200	330.5900
489.0600	489.1200	529.4100	475.2900
507.4700	90.7600	387.7100	136.5900
301.3500	146.3500	190.8800	153.7100
336.4700	584.5900	635.1800	599.4700
646.5900	660.4100	566.8200	401.9400
319.1900	606.5300	600.8200	587.1800
574.7600	611.5900	564.9400	599.8200
567.9400	556.0000	553.5900	395.8200
449.3500	409.8800	517.0600	444.4400
377.8800	507.6500	555.5900	390.7600
395.1200	536.8800	301.5900	172.5600
472.7100	174.1200	540.1200	409.9400
446.6500	265.6900	349.7600	309.8800
494.9400	528.8800	351.2900	294.9400
430.0600	417.0600	369.4400	439.2900
100.8200	187.1800	278.6500	60.9400
302.7100	335.2400	300.3100	170.2900
229.8800	327.2400	146.0000	168.0600
289.4100	430.9400	452.8200	395.2500
481.2900	364.5700	335.5900	350.8200
235.0000	163.7600	104.8800	226.8200
235.6500	273.7600	233.0600	259.7100
389.9400	344.9400	204.3500	58.2400
236.9400	354.6900	101.0000	309.6500
304.9400	219.3500	245.8100	327.0600
324.6500	312.5900	309.4100	230.1800
258.0600	133.7100	121.9400	247.2400
261.6500	152.4700	223.9400	303.8200
292.1800	222.3800	204.9400	217.9400
123.8200	94.6500	143.7100	132.5300
86.5900	63.6500	263.6500	373.1200
442.7600	368.0600	464.0600	419.2900
310.5900	569.1200	425.5900	53.1800
181.3500	134.8800	448.9400	279.4100
310.1200	263.1200	368.0600	495.0000
411.1200	444.1200	469.3100	434.7100
361.4700	132.2900	528.5900	585.8200
585.6500	517.1200	582.7100	622.5900
620.3500	416.9400	429.4100	592.8800
228.7600	255.0600	300.0000	183.0000
485.7100	554.4700	532.7600	252.8200
392.1800	637.1200	241.7600	92.8800
507.6500	302.3500	137.7500	423.9400
521.9400	578.0000	358.1200	272.6900
303.8200	473.1800	299.0000	335.8200
626.1900	592.6900	471.4700	573.8800
603.4100	621.8200	594.6200	477.2900
547.8200	589.6000	509.6300	528.3500
301.4100	527.1800	588.8200	465.7600
322.9400	558.4700	335.2900	435.0600
564.5900	607.0000	239.0600	437.7600
443.7600	283.0000	568.4100	564.1200
487.7600	243.1800	208.0000	364.2900
329.2900	457.8200	536.0000	537.1800
494.7100	315.5300	290.2900	548.9400
535.1800	437.1200	491.9400	502.8800
505.4700	481.4700	454.3500	330.4700
497.0000	426.2000	524.1300	547.4000
324.4700	362.4100	381.5300	505.7600
522.9400	445.5900	524.8200	518.0000
515.2900	508.0000	476.4700	481.9400
511.8800	467.6500	192.0600	279.1200
445.7100	485.2400	430.3500	283.7500
426.6900	416.2400	413.4100	291.4100
365.6500	97.9400	196.2400	275.0600
360.3500	64.3500	234.2400	82.4700
136.2400	188.9400	274.1200	184.4700
367.6500	349.4100	309.2900	58.9400
136.3500	138.4100	236.2400	242.5300
284.9400	91.6500	62.1800	262.2900
172.0000	277.5900	51.2900	129.0600
219.4700	142.5900	174.1200	171.2900
110.7600	40.4100	90.0000	271.3500
261.2900	201.7600	245.0600	197.5900
178.5900	244.9000	117.8000	255.1000
428.6000	366.2000	533.1000	513.4000
437.2000	218.7000	282.3000	263.8000
523.3000	563.8000	572.8000	568.2000
515.4000	597.3000	571.8000	581.6000
573.6000	531.9000	559.4000	505.6000
513.9000	586.2000	380.9000	500.1000
583.9000	359.5000	391.5000	505.8000
360.2000	365.3000	109.9000	285.5000
112.6000	381.8000	483.2000	324.4000
259.9000	441.4000	445.1000	399.5000
461.9000	612.9000	499.5000	460.6000
345.7000	130.2000	260.6000	589.3000
554.6000	239.8000	414.1000	192.6000
320.0000	632.7000	626.8000	597.2000
527.9000	437.3000	550.2000	388.4000
227.5000	180.9000	274.4000	99.8000
343.5000	525.1000	297.4000	339.1000
369.8000	552.6000	351.5000	345.1000
539.9000	465.5000	505.9000	485.9000
552.6000	542.8000	563.2000	534.8000
457.6000	538.8000	390.0000	517.5000
493.1000	483.9000	519.6000	207.8000
367.6000	405.8000	93.4000	195.9000
510.0000	443.5000	288.3000	510.7000
472.7000	359.8000	441.1000	394.7000
298.9000	166.9000	506.9000	355.2000
483.2000	443.4000	158.8000	389.9000
371.1000	391.1000	200.7000	192.5000
113.0000	506.1000	468.5000	353.7000
459.9000	340.2000	389.2000	388.1000
418.3000	99.6000	286.0000	406.5000
414.1000	381.8000	101.4000	175.1000
356.3000	370.6000	199.9000	315.8000
369.9000	375.2000	361.6000	163.6000
51.0000	242.5000	262.2000	192.8000
105.1000	145.1000	225.5000	74.2000
131.8000	119.9000	122.1000	81.3000
275.1000	167.4000	314.0000	196.0000
156.0000	212.2000	58.3000	202.8000
214.2000	184.1000	127.4000	113.4000
53.8000	212.2000	50.7000	114.4000
69.9000	37.8000	186.1000	157.2000
164.6000	470.1200	344.8200	149.2900
413.3500	113.8200	91.2400	402.8800
550.5900	506.9400	524.5900	495.8200
440.5300	293.9400	295.9400	404.4700
500.4700	592.7100	508.2900	541.9400
523.9400	87.2400	620.7100	609.3500
538.5900	552.0600	551.9400	490.7600
343.2900	549.1800	352.4100	378.0600
564.4700	234.7100	279.8800	258.9400
534.1800	592.7100	491.8800	615.7100
620.3500	383.3500	122.5300	279.2400
214.3500	276.7600	157.1800	399.5600
459.1900	584.9300	564.8000	402.1400
241.2900	436.8200	562.1800	458.1800
371.6500	488.0000	457.8200	649.7600
633.1200	627.0600	606.5300	581.3500
580.2400	442.7600	292.6500	424.1200
649.7100	612.2400	198.7100	301.4700
458.8200	357.8800	108.2400	239.1200
482.9400	412.5900	420.1200	323.6500
320.5600	370.1200	372.7600	404.6500
527.3500	468.6900	446.5900	325.4700
121.7100	587.3500	518.2400	415.0000
585.7600	579.5300	513.7500	424.8800
417.2900	536.5900	559.8800	382.1200
459.3500	321.0600	504.1800	537.8200
573.6500	496.0000	503.2400	526.2900
468.7900	506.8200	492.4100	525.4100
528.0000	371.4100	86.1200	301.3500
399.4100	498.0600	205.7100	287.0600
435.2900	392.7100	271.1800	433.5300
345.5900	209.8200	192.2400	319.6500
506.4700	336.5900	241.6500	97.9400
314.8800	244.0000	380.1800	126.1900
317.7100	279.0600	309.7600	317.4700
426.6500	399.5300	332.8200	304.8800
267.5300	158.2400	118.0600	75.0000
213.4100	308.4700	208.6500	82.5300
285.4100	160.9300	65.5900	129.0600
160.9400	294.4100	151.0000	322.2400
86.8200	253.8800	181.7100	109.7600
119.3500	282.4700	67.0600	217.0600
77.9400	74.4100	90.2900	71.7600
44.6500	54.6500	24.4100	27.7600
