Frequency	Attack	Chord	Velocity	Displacement	Pressure
800	1.5	0.3048	39.6	0.0039	128.831
1000	1.5	0.3048	39.6	0.0039	127.581
1250	1.5	0.3048	39.6	0.0039	125.211
1600	1.5	0.3048	39.6	0.0039	122.211
2000	1.5	0.3048	39.6	0.0039	122.101
2500	1.5	0.3048	39.6	0.0039	120.981
3150	1.5	0.3048	39.6	0.0039	119.111
4000	1.5	0.3048	39.6	0.0039	117.741
5000	1.5	0.3048	39.6	0.0039	116.241
6300	1.5	0.3048	39.6	0.0039	114.751
8000	1.5	0.3048	39.6	0.0039	112.251
10000	1.5	0.3048	39.6	0.0039	108.991
12500	1.5	0.3048	39.6	0.0039	106.111
400	3	0.3048	71.3	0.0043	127.564
500	3	0.3048	71.3	0.0043	128.454
630	3	0.3048	71.3	0.0043	129.354
800	3	0.3048	71.3	0.0043	129.494
1000	3	0.3048	71.3	0.0043	129.004
1250	3	0.3048	71.3	0.0043	127.634
1600	3	0.3048	71.3	0.0043	126.514
2000	3	0.3048	71.3	0.0043	125.524
2500	3	0.3048	71.3	0.0043	124.024
3150	3	0.3048	71.3	0.0043	121.514
4000	3	0.3048	71.3	0.0043	120.264
5000	3	0.3048	71.3	0.0043	118.134
6300	3	0.3048	71.3	0.0043	116.134
8000	3	0.3048	71.3	0.0043	114.634
10000	3	0.3048	71.3	0.0043	110.224
400	3	0.3048	55.5	0.0045	126.159
500	3	0.3048	55.5	0.0045	128.179
630	3	0.3048	55.5	0.0045	129.569
800	3	0.3048	55.5	0.0045	129.949
1000	3	0.3048	55.5	0.0045	129.329
1250	3	0.3048	55.5	0.0045	127.329
1600	3	0.3048	55.5	0.0045	124.439
2000	3	0.3048	55.5	0.0045	123.069
2500	3	0.3048	55.5	0.0045	122.439
3150	3	0.3048	55.5	0.0045	120.189
4000	3	0.3048	55.5	0.0045	118.689
5000	3	0.3048	55.5	0.0045	117.309
6300	3	0.3048	55.5	0.0045	115.679
8000	3	0.3048	55.5	0.0045	113.799
10000	3	0.3048	55.5	0.0045	112.169
315	3	0.3048	39.6	0.005	123.312
400	3	0.3048	39.6	0.005	125.472
500	3	0.3048	39.6	0.005	127.632
630	3	0.3048	39.6	0.005	129.292
800	3	0.3048	39.6	0.005	129.552
1000	3	0.3048	39.6	0.005	128.312
1250	3	0.3048	39.6	0.005	125.802
1600	3	0.3048	39.6	0.005	122.782
2000	3	0.3048	39.6	0.005	120.532
2500	3	0.3048	39.6	0.005	120.162
3150	3	0.3048	39.6	0.005	118.922
4000	3	0.3048	39.6	0.005	116.792
5000	3	0.3048	39.6	0.005	115.792
6300	3	0.3048	39.6	0.005	114.042
8000	3	0.3048	39.6	0.005	110.652
315	3	0.3048	31.7	0.0053	123.118
400	3	0.3048	31.7	0.0053	125.398
500	3	0.3048	31.7	0.0053	127.548
630	3	0.3048	31.7	0.0053	128.698
800	3	0.3048	31.7	0.0053	128.708
1000	3	0.3048	31.7	0.0053	126.838
1250	3	0.3048	31.7	0.0053	124.838
1600	3	0.3048	31.7	0.0053	122.088
2000	3	0.3048	31.7	0.0053	120.088
2500	3	0.3048	31.7	0.0053	119.598
3150	3	0.3048	31.7	0.0053	118.108
4000	3	0.3048	31.7	0.0053	115.608
5000	3	0.3048	31.7	0.0053	113.858
6300	3	0.3048	31.7	0.0053	109.718
250	4	0.3048	71.3	0.005	126.395
315	4	0.3048	71.3	0.005	128.175
400	4	0.3048	71.3	0.005	129.575
500	4	0.3048	71.3	0.005	130.715
630	4	0.3048	71.3	0.005	131.615
800	4	0.3048	71.3	0.005	131.755
1000	4	0.3048	71.3	0.005	131.015
1250	4	0.3048	71.3	0.005	129.395
1600	4	0.3048	71.3	0.005	126.645
2000	4	0.3048	71.3	0.005	124.395
2500	4	0.3048	71.3	0.005	123.775
3150	4	0.3048	71.3	0.005	121.775
4000	4	0.3048	71.3	0.005	119.535
5000	4	0.3048	71.3	0.005	117.785
6300	4	0.3048	71.3	0.005	116.165
8000	4	0.3048	71.3	0.005	113.665
10000	4	0.3048	71.3	0.005	110.905
12500	4	0.3048	71.3	0.005	107.405
250	4	0.3048	39.6	0.0058	123.543
315	4	0.3048	39.6	0.0058	126.843
400	4	0.3048	39.6	0.0058	128.633
500	4	0.3048	39.6	0.0058	130.173
630	4	0.3048	39.6	0.0058	131.073
800	4	0.3048	39.6	0.0058	130.723
1000	4	0.3048	39.6	0.0058	128.723
1250	4	0.3048	39.6	0.0058	126.343
1600	4	0.3048	39.6	0.0058	123.213
2000	4	0.3048	39.6	0.0058	120.963
2500	4	0.3048	39.6	0.0058	120.233
3150	4	0.3048	39.6	0.0058	118.743
4000	4	0.3048	39.6	0.0058	115.863
5000	4	0.3048	39.6	0.0058	113.733
1250	0	0.2286	71.3	0.0021	128.144
1600	0	0.2286	71.3	0.0021	129.134
2000	0	0.2286	71.3	0.0021	128.244
2500	0	0.2286	71.3	0.0021	128.354
3150	0	0.2286	71.3	0.0021	127.834
4000	0	0.2286	71.3	0.0021	125.824
5000	0	0.2286	71.3	0.0021	124.304
6300	0	0.2286	71.3	0.0021	122.044
8000	0	0.2286	71.3	0.0021	118.024
10000	0	0.2286	71.3	0.0021	118.134
12500	0	0.2286	71.3	0.0021	117.624
16000	0	0.2286	71.3	0.0021	114.984
20000	0	0.2286	71.3	0.0021	114.474
315	0	0.2286	55.5	0.0023	119.54
400	0	0.2286	55.5	0.0023	121.66
500	0	0.2286	55.5	0.0023	123.78
630	0	0.2286	55.5	0.0023	126.16
800	0	0.2286	55.5	0.0023	127.53
1000	0	0.2286	55.5	0.0023	128.29
1250	0	0.2286	55.5	0.0023	127.91
1600	0	0.2286	55.5	0.0023	126.79
2000	0	0.2286	55.5	0.0023	126.54
2500	0	0.2286	55.5	0.0023	126.54
3150	0	0.2286	55.5	0.0023	125.16
4000	0	0.2286	55.5	0.0023	123.41
5000	0	0.2286	55.5	0.0023	122.41
6300	0	0.2286	55.5	0.0023	118.41
315	0	0.2286	39.6	0.0025	121.055
400	0	0.2286	39.6	0.0025	123.565
500	0	0.2286	39.6	0.0025	126.195
630	0	0.2286	39.6	0.0025	128.705
800	0	0.2286	39.6	0.0025	130.205
1000	0	0.2286	39.6	0.0025	130.435
1250	0	0.2286	39.6	0.0025	129.395
1600	0	0.2286	39.6	0.0025	127.095
2000	0	0.2286	39.6	0.0025	125.305
2500	0	0.2286	39.6	0.0025	125.025
3150	0	0.2286	39.6	0.0025	124.625
4000	0	0.2286	39.6	0.0025	123.465
5000	0	0.2286	39.6	0.0025	122.175
6300	0	0.2286	39.6	0.0025	117.465
315	0	0.2286	31.7	0.0027	120.595
400	0	0.2286	31.7	0.0027	123.635
500	0	0.2286	31.7	0.0027	126.675
630	0	0.2286	31.7	0.0027	129.465
800	0	0.2286	31.7	0.0027	130.725
1000	0	0.2286	31.7	0.0027	130.595
1250	0	0.2286	31.7	0.0027	128.805
1600	0	0.2286	31.7	0.0027	125.625
2000	0	0.2286	31.7	0.0027	123.455
2500	0	0.2286	31.7	0.0027	123.445
3150	0	0.2286	31.7	0.0027	123.445
4000	0	0.2286	31.7	0.0027	122.035
5000	0	0.2286	31.7	0.0027	120.505
6300	0	0.2286	31.7	0.0027	116.815
400	2	0.2286	71.3	0.0029	125.116
500	2	0.2286	71.3	0.0029	126.486
630	2	0.2286	71.3	0.0029	127.356
800	2	0.2286	71.3	0.0029	128.216
1000	2	0.2286	71.3	0.0029	128.956
1250	2	0.2286	71.3	0.0029	128.816
1600	2	0.2286	71.3	0.0029	127.796
2000	2	0.2286	71.3	0.0029	126.896
2500	2	0.2286	71.3	0.0029	127.006
3150	2	0.2286	71.3	0.0029	126.116
4000	2	0.2286	71.3	0.0029	124.086
5000	2	0.2286	71.3	0.0029	122.816
6300	2	0.2286	71.3	0.0029	120.786
8000	2	0.2286	71.3	0.0029	115.996
10000	2	0.2286	71.3	0.0029	113.086
400	2	0.2286	55.5	0.0031	122.292
500	2	0.2286	55.5	0.0031	124.692
630	2	0.2286	55.5	0.0031	126.842
800	2	0.2286	55.5	0.0031	128.492
1000	2	0.2286	55.5	0.0031	129.002
1250	2	0.2286	55.5	0.0031	128.762
1600	2	0.2286	55.5	0.0031	126.752
2000	2	0.2286	55.5	0.0031	124.612
2500	2	0.2286	55.5	0.0031	123.862
3150	2	0.2286	55.5	0.0031	123.742
4000	2	0.2286	55.5	0.0031	122.232
5000	2	0.2286	55.5	0.0031	120.472
6300	2	0.2286	55.5	0.0031	118.712
315	2	0.2286	39.6	0.0035	120.137
400	2	0.2286	39.6	0.0035	122.147
500	2	0.2286	39.6	0.0035	125.157
630	2	0.2286	39.6	0.0035	127.417
800	2	0.2286	39.6	0.0035	129.037
1000	2	0.2286	39.6	0.0035	129.147
1250	2	0.2286	39.6	0.0035	128.257
1600	2	0.2286	39.6	0.0035	125.837
2000	2	0.2286	39.6	0.0035	122.797
2500	2	0.2286	39.6	0.0035	121.397
3150	2	0.2286	39.6	0.0035	121.627
4000	2	0.2286	39.6	0.0035	120.227
5000	2	0.2286	39.6	0.0035	118.827
6300	2	0.2286	39.6	0.0035	116.417
315	2	0.2286	31.7	0.0037	120.147
400	2	0.2286	31.7	0.0037	123.417
500	2	0.2286	31.7	0.0037	126.677
630	2	0.2286	31.7	0.0037	129.057
800	2	0.2286	31.7	0.0037	130.307
1000	2	0.2286	31.7	0.0037	130.307
1250	2	0.2286	31.7	0.0037	128.677
1600	2	0.2286	31.7	0.0037	125.797
2000	2	0.2286	31.7	0.0037	123.037
2500	2	0.2286	31.7	0.0037	121.407
3150	2	0.2286	31.7	0.0037	121.527
4000	2	0.2286	31.7	0.0037	120.527
5000	2	0.2286	31.7	0.0037	118.267
6300	2	0.2286	31.7	0.0037	115.137
500	4	0.2286	71.3	0.004	126.758
630	4	0.2286	71.3	0.004	129.038
800	4	0.2286	71.3	0.004	130.688
1000	4	0.2286	71.3	0.004	131.708
1250	4	0.2286	71.3	0.004	131.718
1600	4	0.2286	71.3	0.004	129.468
2000	4	0.2286	71.3	0.004	126.218
2500	4	0.2286	71.3	0.004	124.338
3150	4	0.2286	71.3	0.004	124.108
4000	4	0.2286	71.3	0.004	121.728
5000	4	0.2286	71.3	0.004	121.118
6300	4	0.2286	71.3	0.004	118.618
8000	4	0.2286	71.3	0.004	112.848
10000	4	0.2286	71.3	0.004	113.108
12500	4	0.2286	71.3	0.004	114.258
16000	4	0.2286	71.3	0.004	112.768
20000	4	0.2286	71.3	0.004	109.638
400	4	0.2286	55.5	0.0043	123.274
500	4	0.2286	55.5	0.0043	127.314
630	4	0.2286	55.5	0.0043	129.964
800	4	0.2286	55.5	0.0043	131.864
1000	4	0.2286	55.5	0.0043	132.134
1250	4	0.2286	55.5	0.0043	131.264
1600	4	0.2286	55.5	0.0043	128.264
2000	4	0.2286	55.5	0.0043	124.254
2500	4	0.2286	55.5	0.0043	122.384
3150	4	0.2286	55.5	0.0043	122.394
4000	4	0.2286	55.5	0.0043	120.654
5000	4	0.2286	55.5	0.0043	120.034
6300	4	0.2286	55.5	0.0043	117.154
8000	4	0.2286	55.5	0.0043	112.524
315	4	0.2286	39.6	0.0047	122.229
400	4	0.2286	39.6	0.0047	123.879
500	4	0.2286	39.6	0.0047	127.039
630	4	0.2286	39.6	0.0047	129.579
800	4	0.2286	39.6	0.0047	130.469
1000	4	0.2286	39.6	0.0047	129.969
1250	4	0.2286	39.6	0.0047	128.339
1600	4	0.2286	39.6	0.0047	125.319
2000	4	0.2286	39.6	0.0047	121.659
2500	4	0.2286	39.6	0.0047	119.649
3150	4	0.2286	39.6	0.0047	120.419
4000	4	0.2286	39.6	0.0047	119.159
5000	4	0.2286	39.6	0.0047	117.649
6300	4	0.2286	39.6	0.0047	114.249
8000	4	0.2286	39.6	0.0047	113.129
250	4	0.2286	31.7	0.0051	120.189
315	4	0.2286	31.7	0.0051	123.609
400	4	0.2286	31.7	0.0051	126.149
500	4	0.2286	31.7	0.0051	128.939
630	4	0.2286	31.7	0.0051	130.349
800	4	0.2286	31.7	0.0051	130.869
1000	4	0.2286	31.7	0.0051	129.869
1250	4	0.2286	31.7	0.0051	128.119
1600	4	0.2286	31.7	0.0051	125.229
2000	4	0.2286	31.7	0.0051	122.089
2500	4	0.2286	31.7	0.0051	120.209
3150	4	0.2286	31.7	0.0051	120.229
4000	4	0.2286	31.7	0.0051	118.859
5000	4	0.2286	31.7	0.0051	115.969
6300	4	0.2286	31.7	0.0051	112.699
400	5.3	0.2286	71.3	0.0052	127.7
500	5.3	0.2286	71.3	0.0052	129.88
630	5.3	0.2286	71.3	0.0052	131.8
800	5.3	0.2286	71.3	0.0052	133.48
1000	5.3	0.2286	71.3	0.0052	134
1250	5.3	0.2286	71.3	0.0052	133.38
1600	5.3	0.2286	71.3	0.0052	130.46
2000	5.3	0.2286	71.3	0.0052	125.89
2500	5.3	0.2286	71.3	0.0052	123.74
3150	5.3	0.2286	71.3	0.0052	123.12
4000	5.3	0.2286	71.3	0.0052	120.33
5000	5.3	0.2286	71.3	0.0052	118.05
6300	5.3	0.2286	71.3	0.0052	116.92
8000	5.3	0.2286	71.3	0.0052	114.9
10000	5.3	0.2286	71.3	0.0052	111.35
250	5.3	0.2286	39.6	0.0061	127.011
315	5.3	0.2286	39.6	0.0061	129.691
400	5.3	0.2286	39.6	0.0061	131.221
500	5.3	0.2286	39.6	0.0061	132.251
630	5.3	0.2286	39.6	0.0061	132.011
800	5.3	0.2286	39.6	0.0061	129.491
1000	5.3	0.2286	39.6	0.0061	125.581
1250	5.3	0.2286	39.6	0.0061	125.721
1600	5.3	0.2286	39.6	0.0061	123.081
2000	5.3	0.2286	39.6	0.0061	117.911
2500	5.3	0.2286	39.6	0.0061	116.151
3150	5.3	0.2286	39.6	0.0061	118.441
4000	5.3	0.2286	39.6	0.0061	115.801
5000	5.3	0.2286	39.6	0.0061	115.311
6300	5.3	0.2286	39.6	0.0061	112.541
200	7.3	0.2286	71.3	0.0104	138.758
250	7.3	0.2286	71.3	0.0104	139.918
315	7.3	0.2286	71.3	0.0104	139.808
400	7.3	0.2286	71.3	0.0104	139.438
500	7.3	0.2286	71.3	0.0104	136.798
630	7.3	0.2286	71.3	0.0104	133.768
800	7.3	0.2286	71.3	0.0104	130.748
1000	7.3	0.2286	71.3	0.0104	126.838
1250	7.3	0.2286	71.3	0.0104	127.358
1600	7.3	0.2286	71.3	0.0104	125.728
2000	7.3	0.2286	71.3	0.0104	122.708
2500	7.3	0.2286	71.3	0.0104	122.088
3150	7.3	0.2286	71.3	0.0104	120.458
4000	7.3	0.2286	71.3	0.0104	119.208
5000	7.3	0.2286	71.3	0.0104	115.298
6300	7.3	0.2286	71.3	0.0104	115.818
200	7.3	0.2286	55.5	0.0112	135.234
250	7.3	0.2286	55.5	0.0112	136.384
315	7.3	0.2286	55.5	0.0112	136.284
400	7.3	0.2286	55.5	0.0112	135.924
500	7.3	0.2286	55.5	0.0112	133.174
630	7.3	0.2286	55.5	0.0112	130.934
800	7.3	0.2286	55.5	0.0112	128.444
1000	7.3	0.2286	55.5	0.0112	125.194
1250	7.3	0.2286	55.5	0.0112	125.724
1600	7.3	0.2286	55.5	0.0112	123.354
2000	7.3	0.2286	55.5	0.0112	120.354
2500	7.3	0.2286	55.5	0.0112	118.994
3150	7.3	0.2286	55.5	0.0112	117.134
4000	7.3	0.2286	55.5	0.0112	117.284
5000	7.3	0.2286	55.5	0.0112	113.144
6300	7.3	0.2286	55.5	0.0112	111.534
200	7.3	0.2286	39.6	0.0123	130.989
250	7.3	0.2286	39.6	0.0123	131.889
315	7.3	0.2286	39.6	0.0123	132.149
400	7.3	0.2286	39.6	0.0123	132.039
500	7.3	0.2286	39.6	0.0123	130.299
630	7.3	0.2286	39.6	0.0123	128.929
800	7.3	0.2286	39.6	0.0123	126.299
1000	7.3	0.2286	39.6	0.0123	122.539
1250	7.3	0.2286	39.6	0.0123	123.189
1600	7.3	0.2286	39.6	0.0123	121.059
2000	7.3	0.2286	39.6	0.0123	117.809
2500	7.3	0.2286	39.6	0.0123	116.559
3150	7.3	0.2286	39.6	0.0123	114.309
4000	7.3	0.2286	39.6	0.0123	114.079
5000	7.3	0.2286	39.6	0.0123	111.959
6300	7.3	0.2286	39.6	0.0123	110.839
200	7.3	0.2286	31.7	0.0133	128.679
250	7.3	0.2286	31.7	0.0133	130.089
315	7.3	0.2286	31.7	0.0133	130.239
400	7.3	0.2286	31.7	0.0133	130.269
500	7.3	0.2286	31.7	0.0133	128.169
630	7.3	0.2286	31.7	0.0133	126.189
800	7.3	0.2286	31.7	0.0133	123.209
1000	7.3	0.2286	31.7	0.0133	119.099
1250	7.3	0.2286	31.7	0.0133	120.509
1600	7.3	0.2286	31.7	0.0133	119.039
2000	7.3	0.2286	31.7	0.0133	115.309
2500	7.3	0.2286	31.7	0.0133	114.709
3150	7.3	0.2286	31.7	0.0133	113.229
4000	7.3	0.2286	31.7	0.0133	112.639
5000	7.3	0.2286	31.7	0.0133	111.029
6300	7.3	0.2286	31.7	0.0133	110.689
800	0	0.1524	71.3	0.0016	125.817
1000	0	0.1524	71.3	0.0016	127.307
1250	0	0.1524	71.3	0.0016	128.927
1600	0	0.1524	71.3	0.0016	129.667
2000	0	0.1524	71.3	0.0016	128.647
2500	0	0.1524	71.3	0.0016	128.127
3150	0	0.1524	71.3	0.0016	129.377
4000	0	0.1524	71.3	0.0016	128.857
5000	0	0.1524	71.3	0.0016	126.457
6300	0	0.1524	71.3	0.0016	125.427
8000	0	0.1524	71.3	0.0016	122.527
10000	0	0.1524	71.3	0.0016	120.247
12500	0	0.1524	71.3	0.0016	117.087
16000	0	0.1524	71.3	0.0016	113.297
500	0	0.1524	55.5	0.0017	120.573
630	0	0.1524	55.5	0.0017	123.583
800	0	0.1524	55.5	0.0017	126.713
1000	0	0.1524	55.5	0.0017	128.583
1250	0	0.1524	55.5	0.0017	129.953
1600	0	0.1524	55.5	0.0017	130.183
2000	0	0.1524	55.5	0.0017	129.673
2500	0	0.1524	55.5	0.0017	127.763
3150	0	0.1524	55.5	0.0017	127.753
4000	0	0.1524	55.5	0.0017	127.233
5000	0	0.1524	55.5	0.0017	125.203
6300	0	0.1524	55.5	0.0017	123.303
8000	0	0.1524	55.5	0.0017	121.903
10000	0	0.1524	55.5	0.0017	119.253
12500	0	0.1524	55.5	0.0017	117.093
16000	0	0.1524	55.5	0.0017	112.803
500	0	0.1524	39.6	0.0019	119.513
630	0	0.1524	39.6	0.0019	124.403
800	0	0.1524	39.6	0.0019	127.903
1000	0	0.1524	39.6	0.0019	130.033
1250	0	0.1524	39.6	0.0019	131.023
1600	0	0.1524	39.6	0.0019	131.013
2000	0	0.1524	39.6	0.0019	129.633
2500	0	0.1524	39.6	0.0019	126.863
3150	0	0.1524	39.6	0.0019	125.603
4000	0	0.1524	39.6	0.0019	125.343
5000	0	0.1524	39.6	0.0019	123.453
6300	0	0.1524	39.6	0.0019	121.313
8000	0	0.1524	39.6	0.0019	120.553
10000	0	0.1524	39.6	0.0019	115.413
500	0	0.1524	31.7	0.0021	121.617
630	0	0.1524	31.7	0.0021	125.997
800	0	0.1524	31.7	0.0021	129.117
1000	0	0.1524	31.7	0.0021	130.987
1250	0	0.1524	31.7	0.0021	131.467
1600	0	0.1524	31.7	0.0021	130.817
2000	0	0.1524	31.7	0.0021	128.907
2500	0	0.1524	31.7	0.0021	125.867
3150	0	0.1524	31.7	0.0021	124.207
4000	0	0.1524	31.7	0.0021	123.807
5000	0	0.1524	31.7	0.0021	122.397
6300	0	0.1524	31.7	0.0021	119.737
8000	0	0.1524	31.7	0.0021	117.957
630	2.7	0.1524	71.3	0.0024	127.404
800	2.7	0.1524	71.3	0.0024	127.394
1000	2.7	0.1524	71.3	0.0024	128.774
1250	2.7	0.1524	71.3	0.0024	130.144
1600	2.7	0.1524	71.3	0.0024	130.644
2000	2.7	0.1524	71.3	0.0024	130.114
2500	2.7	0.1524	71.3	0.0024	128.334
3150	2.7	0.1524	71.3	0.0024	127.054
4000	2.7	0.1524	71.3	0.0024	126.534
5000	2.7	0.1524	71.3	0.0024	124.364
6300	2.7	0.1524	71.3	0.0024	121.944
8000	2.7	0.1524	71.3	0.0024	120.534
10000	2.7	0.1524	71.3	0.0024	116.724
12500	2.7	0.1524	71.3	0.0024	113.034
16000	2.7	0.1524	71.3	0.0024	110.364
500	2.7	0.1524	39.6	0.0029	121.009
630	2.7	0.1524	39.6	0.0029	125.809
800	2.7	0.1524	39.6	0.0029	128.829
1000	2.7	0.1524	39.6	0.0029	130.589
1250	2.7	0.1524	39.6	0.0029	130.829
1600	2.7	0.1524	39.6	0.0029	130.049
2000	2.7	0.1524	39.6	0.0029	128.139
2500	2.7	0.1524	39.6	0.0029	125.589
3150	2.7	0.1524	39.6	0.0029	122.919
4000	2.7	0.1524	39.6	0.0029	121.889
5000	2.7	0.1524	39.6	0.0029	121.499
6300	2.7	0.1524	39.6	0.0029	119.209
8000	2.7	0.1524	39.6	0.0029	116.659
10000	2.7	0.1524	39.6	0.0029	112.589
12500	2.7	0.1524	39.6	0.0029	108.649
400	5.4	0.1524	71.3	0.004	124.121
500	5.4	0.1524	71.3	0.004	126.291
630	5.4	0.1524	71.3	0.004	128.971
800	5.4	0.1524	71.3	0.004	131.281
1000	5.4	0.1524	71.3	0.004	133.201
1250	5.4	0.1524	71.3	0.004	134.111
1600	5.4	0.1524	71.3	0.004	133.241
2000	5.4	0.1524	71.3	0.004	131.111
2500	5.4	0.1524	71.3	0.004	127.591
3150	5.4	0.1524	71.3	0.004	123.311
4000	5.4	0.1524	71.3	0.004	121.431
5000	5.4	0.1524	71.3	0.004	120.061
6300	5.4	0.1524	71.3	0.004	116.411
400	5.4	0.1524	55.5	0.0043	126.807
500	5.4	0.1524	55.5	0.0043	129.367
630	5.4	0.1524	55.5	0.0043	131.807
800	5.4	0.1524	55.5	0.0043	133.097
1000	5.4	0.1524	55.5	0.0043	132.127
1250	5.4	0.1524	55.5	0.0043	130.777
1600	5.4	0.1524	55.5	0.0043	130.567
2000	5.4	0.1524	55.5	0.0043	128.707
2500	5.4	0.1524	55.5	0.0043	124.077
3150	5.4	0.1524	55.5	0.0043	121.587
4000	5.4	0.1524	55.5	0.0043	119.737
5000	5.4	0.1524	55.5	0.0043	118.757
6300	5.4	0.1524	55.5	0.0043	117.287
8000	5.4	0.1524	55.5	0.0043	114.927
315	5.4	0.1524	39.6	0.0049	125.347
400	5.4	0.1524	39.6	0.0049	127.637
500	5.4	0.1524	39.6	0.0049	129.937
630	5.4	0.1524	39.6	0.0049	132.357
800	5.4	0.1524	39.6	0.0049	132.757
1000	5.4	0.1524	39.6	0.0049	130.507
1250	5.4	0.1524	39.6	0.0049	127.117
1600	5.4	0.1524	39.6	0.0049	126.267
2000	5.4	0.1524	39.6	0.0049	124.647
2500	5.4	0.1524	39.6	0.0049	120.497
3150	5.4	0.1524	39.6	0.0049	119.137
4000	5.4	0.1524	39.6	0.0049	117.137
5000	5.4	0.1524	39.6	0.0049	117.037
6300	5.4	0.1524	39.6	0.0049	116.677
315	5.4	0.1524	31.7	0.0053	125.741
400	5.4	0.1524	31.7	0.0053	127.781
500	5.4	0.1524	31.7	0.0053	129.681
630	5.4	0.1524	31.7	0.0053	131.471
800	5.4	0.1524	31.7	0.0053	131.491
1000	5.4	0.1524	31.7	0.0053	128.241
1250	5.4	0.1524	31.7	0.0053	123.991
1600	5.4	0.1524	31.7	0.0053	123.761
2000	5.4	0.1524	31.7	0.0053	122.771
2500	5.4	0.1524	31.7	0.0053	119.151
3150	5.4	0.1524	31.7	0.0053	118.291
4000	5.4	0.1524	31.7	0.0053	116.181
5000	5.4	0.1524	31.7	0.0053	115.691
6300	5.4	0.1524	31.7	0.0053	115.591
315	7.2	0.1524	71.3	0.0075	128.713
400	7.2	0.1524	71.3	0.0075	130.123
