raf	mek	plc	pip2	pip3	erk	akt	pka	pkc	p38	jnk	cd3_cd28	icam2	aktinhib	g0076	psitect	u0126	ly	pma	b2camp
4.0943	3.1697	3.0865	3.1442	3.0587	3.3358	3.635	5.9965	4.1927	4.4659	2.3979	0.9928	0.0025	-0.0022	0.0044	-0.0068	0.0045	-0.013	0.0075	0.0076
3.5891	3.6028	3.4436	3.0397	3.2068	2.9476	3.8691	4.5951	3.912	4.3241	2.4354	1.0219	0.0152	-0.0095	0.0099	0.0109	-0.01	0.0157	-0.0041	-0.0096
3.904	3.8754	3.0204	4.6269	3.4874	3.627	3.7209	5.451	3.2771	3.7087	2.8702	0.9993	-0.0035	-0.0036	-0.0079	-0.0001	-0.0017	-0.0136	0.0009	0.0104
3.7013	3.3945	2.8622	4.9628	3.2465	3.3707	3.833	5.7961	3.5293	3.8544	3.3032	0.99	0.0107	-0.003	-0.0153	0.0067	0.005	0.0063	-0.0007	0.0013
4.0792	3.2771	3.1485	5.0173	3.5752	3.716	4.2781	6.5793	3.1864	3.6217	3.4689	1.0052	-0.0052	0.0072	0.0098	0.0036	-0.0193	-0.0122	0.0155	0
3.8816	2.9392	3.0587	4.5623	3.3286	3.0956	3.8265	6.7488	3.091	3.6481	3.4308	1.0019	0.0012	0.0029	-0.0006	0.0142	0.0082	-0.0097	0.0153	0.0083
3.7281	3.325	3.1987	3.0253	2.702	3.0057	3.5234	5.656	3.1697	3.6481	3.1224	1.0071	0.0025	-0.0013	-0.0063	-0.0014	-0.002	-0.0035	0.0161	0.0047
3.9318	3.635	2.3979	4.9904	3.5234	3.6939	4.0943	6.8824	2.3979	4.5465	2.6817	1.0084	-0.0042	0.0057	0.0063	-0.003	-0.0072	-0.0009	-0.0166	0.0089
4.387	4.162	3.2347	3.5381	3.1311	2.9912	3.635	6.1291	3.8265	4.6434	4.0656	1.0083	0.0042	-0.0023	-0.0089	-0.0074	-0.0019	0.017	-0.0012	0.0277
4.387	3.9551	3.3178	3.4308	3.0204	4.2399	4.684	7.5964	3.8265	4.0271	3.325	1.0076	-0.0173	-0.0002	-0.0125	-0.0086	0.0113	0.0022	-0.0058	-0.0129
3.45	2.3979	2.9058	5.2523	3.9834	3.3604	3.8816	6.4831	3.1612	3.6687	2.8356	1.0072	0.005	-0.0012	0.0037	0.0058	-0.0199	0.0065	0.0093	-0.0157
3.8959	3.4995	3.3534	3.4689	3.0253	3.325	3.7424	6.1654	3.0204	3.5056	2.832	1.0022	-0.0011	-0.0163	-0.0018	-0.0075	0.015	0.0084	0.0024	0.0128
4.3795	3.4144	3.3945	3.3464	2.7887	3.0155	3.5553	6.2344	3.4874	4.0656	4.2399	1.0071	0.0004	-0.0046	0.0051	0.0071	-0.0117	0.0014	-0.0053	0.0091
3.8044	3.4751	3.3032	4.0943	3.4995	3.791	4.1174	5.7621	3.1442	3.8898	5.3279	1.0015	0.0007	0.0045	-0.0034	-0.0041	-0.0017	0.013	-0.0008	0.0019
3.9259	3.5496	3.1355	4.285	3.8754	2.7173	3.2068	6.5265	3.6402	3.9474	3.4995	0.9903	-0.011	-0.0087	0.0034	-0.001	-0.0065	-0.015	-0.0011	-0.0033
4.02	3.2465	3.1442	3.4436	2.8622	3.5234	4.0792	7.2385	3.3844	3.8816	3.4308	1.0119	-0.0004	-0.0029	-0.0014	0.005	0.0022	0.0084	0.0069	-0.0166
3.9834	3.6687	3.1987	3.3178	3.1398	2.9221	3.1135	6.4473	3.7842	4.3554	3.6402	1.0033	0.0053	0.0062	0.0095	-0.0045	-0.0013	-0.0153	0.0108	-0.0051
4.4987	4.5065	2.6679	5.3891	3.3844	3.0204	3.8177	6.0684	3.6082	3.918	3.2308	1.0033	0.0146	-0.0027	0.001	-0.0064	0.0163	0.0077	0.013	0.0077
4.2002	3.3069	3.4563	3.3358	3.1224	2.956	3.4935	6.3315	3.8816	4.2471	3.3286	1.0073	0.002	-0.0014	-0.0005	0.0137	-0.0002	-0.0111	-0.0083	0.0086
4.2312	3.3844	2.5313	3.9396	2.5023	3.3707	3.7773	5.8141	3.4935	3.7353	3.4243	0.9979	0.0119	0.0132	0.002	-0.0168	0.0118	0.0004	0.0197	0.0056
4.1558	3.1224	3.0397	3.1091	3.7087	3.4078	3.8691	6.0234	3.4812	3.8816	3.4308	1.0172	-0.0001	-0.0251	0.0063	-0.0138	-0.0133	0.0087	0.0054	0.0082
4.2239	3.4995	3.3638	4.4898	3.5381	3.833	4.0724	6.0845	3.2068	3.661	3.1179	0.9924	0.0104	-0.0138	-0.0092	-0.009	-0.0167	-0.0044	-0.0043	-0.0138
5.1358	3.6402	2.8391	4.8283	3.2619	2.7054	3.1091	7.1317	2.5225	3.7209	4.538	1.0065	-0.0062	-0.0092	0	-0.0082	0.0016	-0.0071	0.0028	0.0026
4.0128	2.9648	3.1001	4.1558	3.627	2.6596	3.627	6.4118	3.8754	4.5065	5.0039	0.99	0.0035	-0.0017	-0.0082	0.012	-0.0112	-0.0129	-0.01	-0.0055
4.1698	3.6481	2.9096	2.9648	3.4243	3.8816	4.2471	6.8112	3.1224	3.5175	3.157	1.0126	0.0053	-0.0062	0.0025	-0.0091	0	0.0101	-0.0119	0.0089
4.5549	3.6082	3.5639	4.057	3.4935	3.1612	3.1864	6.0064	2.6906	2.9434	3.9759	0.9918	0.0069	0.0074	-0.0301	-0.0024	0.0003	-0.001	0.0153	-0.0009
4.7791	3.9834	2.9689	5.8665	4.2542	3.6136	3.9627	5.7961	3.2149	3.8691	3.325	1.0102	0.029	-0.0006	0.0101	0.0058	0.0196	0.0037	0.01	-0.0035
3.5752	3.2308	2.3979	4.8675	3.5175	2.5408	3.3638	3.0057	2.7054	3.918	5.4424	0.9877	-0.0012	0.0011	0.0076	-0.0103	0.0086	-0.0062	-0.0003	0.0034
4.1026	3.6402	3.627	3.661	3.1697	3.2068	3.5496	5.9713	3.2308	3.4012	2.8736	0.9962	-0.0104	0.0051	0.002	0.0021	-0.0041	0.0001	-0.0046	-0.022
4.372	3.325	3.325	4.2781	3.4995	2.5424	3.1485	6.3491	2.6707	3.4012	4.7449	0.9998	-0.0056	0.0223	-0.0142	0.0087	0.0104	0.0203	-0.003	0.002
4.285	3.3776	2.9183	3.4308	3.8959	2.6735	3.5496	6.1821	3.5115	4.0724	3.4812	0.9826	-0.0059	-0.008	0.0047	-0.0047	-0.0077	0.0068	0.008	0.0086
4.3554	3.9834	3.0634	3.3776	3.2504	3.325	3.8816	7.2745	3.7353	4.3399	3.912	0.9973	-0.0121	0.0024	0.0053	-0.008	-0.0083	0.0035	0.0287	0.0054
4.4427	4.2166	2.702	3.2347	3.5439	3.4626	3.833	5.4931	3.4436	4.0271	3.2958	1.0022	-0.0026	-0.0083	0.0035	0.0139	0.0012	-0.0066	0.0104	-0.0086
4.1092	3.9551	2.8662	4.8828	4.0656	2.7887	3.833	6.9441	3.1135	3.7565	4.7707	1.0031	-0.0132	-0.0045	-0.0148	-0.0099	0.0074	0.0055	-0.0045	0.011
4.4987	3.4144	3.5293	3.4812	3.4012	2.9349	3.5293	6.1654	3.3707	3.8044	2.7819	0.9944	0.0032	-0.0085	0.0055	-0.0024	-0.0016	-0.0118	-0.0084	0.0106
4.285	3.4563	3.4626	3.4689	2.6261	3.8959	4.4509	7.1854	2.9307	3.4874	3.0773	0.9807	-0.0144	0.0078	0.0009	-0.0023	0.0058	0.0097	-0.0035	-0.0007
4.1092	3.5639	2.7961	4.459	3.3032	2.9476	3.2347	6.5265	2.6851	3.6082	5.2095	0.9999	0.0176	-0.0112	0.0191	0.0057	0.0118	-0.0097	-0.0019	-0.0002
4.4427	3.7013	3.1612	4.1174	3.9551	3.5639	3.8177	6.1654	3.4144	3.9834	3.0007	1.0066	-0.0067	-0.0108	0.0161	0.0126	0.0011	0.009	0.0174	-0.0079
4.2399	3.5639	3.0773	3.4243	3.635	2.6115	3.1091	3.6814	3.3032	3.7495	3.0204	1.0256	0.0039	0.01	0.0009	-0.0061	-0.0034	0.0071	0.0009	-0.0098
5.2523	3.8691	2.3979	5.7104	4.0877	2.7961	3.1398	6.3682	3.4308	3.8754	3.3178	0.9901	0.0002	0.0016	0.0153	-0.0063	0.0057	-0.0014	-0.0134	-0.0067
4.3795	3.7635	3.1224	4.3477	2.4774	2.644	3.6136	6.8906	4.5623	4.8752	3.7495	1.0008	-0.0005	-0.0096	-0.0088	-0.0021	-0.0112	0.0036	-0.0109	-0.0038
4.2092	3.3707	3.0493	3.9551	2.81	2.7619	3.157	6.3226	4.0055	4.5065	4.4031	1.0137	-0.0065	0.0169	0.0209	0.0046	0.0003	0.0091	-0.0144	0.0167
4.5304	3.7013	3.1739	3.3534	2.8285	3.5115	3.8607	6.0591	2.8064	3.2847	4.6597	0.9956	-0.009	-0.0053	-0.0159	-0.0095	0.0156	-0.0054	-0.0166	0.0113
3.8177	3.5439	3.2465	3.8177	3.0865	3.4626	4.02	5.8051	2.8208	3.5056	3.0865	1.0126	0.0024	-0.0153	-0.0058	0.0099	0.0117	-0.0185	-0.0037	-0.0005
4.5065	3.635	3.3286	3.9627	3.3069	2.5526	3.4243	5.2883	3.4243	3.7635	3.3142	1.0078	0.0007	0.0101	-0.0119	-0.0002	0.0024	-0.0119	0.0031	0.0071
4.8122	4.02	3.035	5.0999	4.2239	3.1398	3.45	5.8493	2.7389	3.4012	2.9648	0.9929	0.0132	0.0075	-0.0023	0.006	-0.0041	-0.0154	-0.0115	0.0136
2.9392	3.0007	3.0106	4.5951	3.6738	5.2523	5.8999	7.4622	3.5293	3.9551	3.4243	0.9884	0.0048	-0.0041	0.0176	0.0043	0.0151	0.0112	0.0017	0.0055
3.8111	3.1822	2.8391	3.4078	3.7424	3.1311	3.4812	6.3852	3.8607	4.05	2.9689	0.9891	0.0056	0.0104	0.0016	0.0119	0.0116	-0.0106	-0.0122	0.0047
3.5293	3.1046	3.1224	4.285	3.6028	2.9518	3.2771	6.3226	3.5752	4.2471	4.5065	1.0191	0.0159	-0.0126	0.001	-0.0126	-0.0078	-0.0143	0.0004	0.0022
5.1591	3.7635	2.7587	3.6533	3.1655	3.2696	3.5293	5.7961	3.4812	3.8177	3.1091	1.0039	0.0092	0.0071	-0.016	0.0104	-0.0006	-0.0058	0.0099	-0.0012
4.2166	3.6136	3.2387	4.2092	3.3844	3.5807	3.7977	5.9713	2.5688	3.6136	4.4819	1.0057	-0.0184	0.0001	0.0013	0.0027	-0.0094	-0.0072	-0.008	0.0021
4.6112	3.6217	3.912	4.6756	4.3944	3.0397	3.3638	6.0845	2.6707	3.9684	4.5065	0.9971	0.0108	-0.0189	-0.0237	0.0073	0.0018	-0.0063	-0.0017	-0.0036
3.8816	3.1224	2.6651	3.4874	3.5175	2.6546	3.035	6.3767	2.4732	2.8547	2.5975	0.9935	-0.0028	-0.0038	0.0139	0.001	-0.0011	-0.0195	0.018	-0.0023
4.1174	3.8459	3.1224	3.918	3.4563	3.1224	3.5807	6.5177	2.5257	3.2149	4.3162	0.9985	-0.0195	-0.0036	0.0206	-0.0145	-0.0131	0.0135	0.0006	0.0104
3.6082	3.2229	3.3534	3.4177	2.914	3.4144	3.8816	6.1026	3.0773	3.5381	3.2347	1.0012	-0.0041	-0.0036	-0.0152	-0.0178	0.0117	-0.0003	0.0012	-0.0013
4.1927	3.4372	3.1224	3.4372	4.2166	3.1822	3.3945	6.1821	3.5807	3.904	4.4509	0.9961	0.0026	-0.0088	-0.0067	0.011	0.0132	0.0028	0.0005	-0.0082
4.387	3.8177	3.3464	4.02	4.057	3.3604	3.7281	6.0591	2.9957	3.4751	2.8136	0.9972	0.011	-0.0132	0.0029	-0.0048	0.0041	0.0087	0.0123	0.0026
4.2312	3.8111	3.1001	3.2771	3.5293	3.3464	3.7773	5.9189	3.2696	3.3945	3.0155	1.0163	0.0194	0.0008	0.0165	-0.0111	0.0078	0.0091	0.0164	-0.0105
4.372	3.8177	3.3069	4.0943	3.3945	2.9183	3.3534	5.0814	3.091	3.716	3.627	1.0033	0.0067	-0.0095	0.002	-0.0248	0.006	0.0024	0.0069	0.0016
4.3795	4.0431	3.5695	5.656	4.4659	3.7565	4.1174	6.6958	3.3878	4.057	3.2734	1.0024	0.0005	0.0049	0.0028	-0.0046	-0.0087	-0.0017	-0.0107	0.0081
4.7449	4.2471	3.4012	3.3878	3.2229	2.8244	3.4995	6.9801	2.457	4.0656	2.6851	0.9958	-0.0089	-0.0107	-0.0098	-0.0077	0.0299	0.0117	-0.0032	0.0045
4.2781	4.1255	3.1612	3.6939	3.0253	3.1905	3.8691	6.5539	2.8028	3.5553	4.6191	1.0114	-0.0074	0.0045	0.0017	0.0143	-0.0048	-0.0044	-0.0073	0.018
4.4427	3.7705	2.3979	3.7281	2.3979	3.3945	3.627	6.2442	3.3534	3.716	2.8702	1.0229	0.0066	-0.0009	0.0014	-0.0133	-0.0158	-0.02	0.022	-0.0051
3.4144	3.2229	2.8898	4.7095	3.8265	2.9518	3.4935	6.0162	3.0773	3.4874	2.8244	0.9811	-0.0079	-0.0122	-0.0002	-0.0086	0.0069	0.0011	0.0068	-0.0066
4.057	3.3878	3.3142	3.7635	4.5218	3.3286	3.8111	6.8732	3.4812	3.9759	3.4012	1.0153	0.0157	0	0.0213	0.0126	0.0002	0.0106	-0.0037	-0.0064
4.2471	4.1479	3.0819	4.4739	3.1311	3.0493	3.8691	7.2563	3.3604	3.6738	3.2884	1.009	-0.013	-0.0095	0.0075	0.0087	0.0009	-0.0106	0.0007	0.0071
4.036	3.6136	3.1091	4.7791	3.4626	3.45	3.8754	5.3799	3.0445	3.7209	3.091	1.005	0.0084	0.0047	0.0073	-0.0104	-0.0062	-0.0101	-0.0166	0.0097
4.1255	3.4436	4.0792	4.2312	3.035	4.2312	5.3471	8.0265	3.2308	3.8959	3.2465	0.999	0.023	0.0046	0.0117	0.0144	-0.0009	-0.0078	0	-0.0057
3.7353	3.5234	3.2229	3.1224	2.6817	2.8172	3.2189	6.3491	2.3979	4.3631	2.9014	0.9977	0.0009	-0.0097	0.008	0.0137	0.0172	-0.0064	0.0025	0.0164
4.6434	3.6217	4.3477	4.9972	3.7087	3.6402	4.0271	6.82	2.5408	2.832	4.3944	0.9835	-0.0029	-0.0186	0.0094	0.0014	0.0052	-0.011	-0.0023	-0.012
4.3162	3.5056	3.2308	3.1179	2.9476	3.3878	3.8111	6.7044	2.5153	3.4012	2.8854	1.0058	-0.0101	-0.0017	-0.0071	-0.0141	-0.001	-0.0029	-0.0019	0.0095
5.0938	4.8903	3.091	3.7977	4.3014	2.9221	3.5891	6.1738	2.3979	3.091	2.9912	0.9972	-0.0119	0.0033	-0.0017	0.006	0.0146	0.0021	-0.0004	-0.0088
3.2847	3.1091	2.8356	5.5013	3.8044	4.0055	4.3162	7.5246	3.5115	3.833	3.7013	1.0025	0.0142	-0.013	-0.0071	0.0147	0.0013	0.0092	0.0044	-0.0079
4.4031	3.5695	3.1398	3.091	3.9759	3.1001	3.7209	6.4998	2.8736	3.2734	4.0792	1.0143	-0.0023	-0.0009	-0.0114	-0.0064	-0.0081	-0.0014	-0.0088	-0.0064
3.8177	3.5175	2.5565	2.6575	3.1311	3.1355	3.4874	6.1738	2.8775	3.7705	3.2696	0.997	-0.0036	0.007	-0.0037	0.0016	-0.0062	0.0038	0.0086	-0.0139
4.538	4.2697	3.1355	3.7977	3.1046	2.5997	3.3844	5.5175	2.5281	2.5408	2.7788	1.0151	0.0125	0.0014	0.0011	0.0035	0.0041	-0.0116	0.0229	-0.0136
3.7353	2.9349	3.1311	5.0999	4.2002	3.2884	3.2581	6.0936	2.9735	4.0724	4.162	0.9793	-0.0019	0.0048	-0.0008	-0.0034	0.0164	-0.0106	-0.0038	0.0049
3.6738	3.4078	2.8736	4.9053	3.6217	4.5951	5.0752	6.6958	2.5424	3.2347	4.0792	0.9954	-0.0003	0.009	0.0024	0.0099	0.0176	-0.0067	-0.0002	-0.0043
5.743	5.8141	3.3178	3.5752	3.0301	3.6687	3.8754	5.7777	3.035	3.8395	3.3032	0.9974	0.0163	-0.0058	0.0001	0.0046	0.0003	-0.0004	-0.0014	0.0005
3.918	3.2771	3.0681	6.2442	4.3477	3.3776	3.6814	6.2005	2.5588	3.2308	4.5951	0.9984	-0.0007	-0.0003	0.0026	-0.0003	-0.0127	0.0036	0.0009	-0.0063
3.6687	3.2347	2.9821	3.4995	4.3944	2.7961	4.0431	6.3404	3.4012	3.5439	2.8736	1.016	0.007	0.0025	0.0074	0.0142	0.0001	0.0036	-0.0012	0.0036
4.0271	3.5752	3.1224	3.5381	3.8544	3.2884	3.8265	5.9532	2.7389	3.8959	4.6597	0.9982	0.0116	-0.0184	0.0118	0.0051	-0.012	0.0022	0.0057	0.0092
4.132	3.45	3.6136	5.1059	4.3554	2.8467	3.5234	6.7214	2.6093	3.5553	4.6357	0.9954	-0.002	-0.0083	-0.0015	0.0044	-0.0112	0.0006	0.0034	0.0017
4.0724	3.8395	3.3534	3.0253	3.1739	2.7788	3.5807	6.9266	3.0057	3.4874	3.2308	1.012	-0.0124	0.0197	-0.0162	-0.0009	0.0008	-0.0092	-0.0084	-0.0047
4.5623	4.5218	4.8675	5.8141	4.4898	2.81	3.0397	6.5971	3.0956	3.4626	2.7357	1.0024	-0.0103	-0.0289	-0.0105	-0.0213	0.0164	-0.0002	-0.0141	0.0019
4.4509	3.5807	3.45	4.3095	4.0128	2.9058	3.6481	6.3852	3.2465	3.8459	3.1655	0.9864	0.012	-0.0002	-0.011	0.0065	0.0015	-0.0234	0.0015	0.0003
4.2239	3.4626	3.2149	3.3464	3.6939	2.7389	3.3032	6.8997	3.2696	3.45	3.2387	0.9811	-0.0032	-0.0047	-0.0021	0.0009	0.0006	0.0049	0.0083	-0.0059
4.2312	3.8044	3.1485	4.5304	3.8754	3.4812	3.635	5.9636	2.8064	3.3464	4.0724	0.9896	-0.0017	-0.0097	-0.0034	0.003	-0.0027	-0.0106	-0.0036	-0.0159
4.804	3.627	3.6481	4.3554	3.7013	3.035	3.2847	6.0234	3.325	3.6814	2.8775	0.9922	-0.0005	0.0093	0.0023	0.0056	0.0087	0.0067	0.0079	-0.0105
4.3399	3.6687	2.5169	3.0397	3.7424	3.4935	3.7424	5.9636	3.1905	3.7087	3.3178	0.9832	-0.0004	0.0065	-0.0027	0.0077	-0.0074	0.0146	0.0081	-0.0074
3.904	3.5234	2.81	4.9904	3.4144	3.4874	3.8754	5.7777	3.2619	3.4012	3.0204	0.9867	-0.0067	-0.0185	0.012	-0.0135	-0.0026	0.0084	-0.002	0.009
3.8395	3.2387	2.5297	2.9096	3.912	3.2504	3.7977	5.6733	3.4436	3.6533	3.1739	1.013	0.0003	-0.0009	-0.0095	0.0018	0.0108	-0.0074	-0.0015	0.0034
3.8754	3.5752	3.7424	4.2399	4.9972	3.5293	3.8395	5.8319	3.8816	4.3554	3.2696	0.9969	0.0069	-0.0043	0.002	-0.0056	0.0046	0.0043	0	0.0037
3.9474	3.4436	2.9648	2.8854	3.7495	3.1485	4.2627	6.7662	2.5502	3.3069	4.3095	0.9896	-0.0171	0.0272	0.0117	-0.0246	0.003	-0.0055	-0.0016	0.0004
4.2781	3.3358	3.5496	4.8122	3.5695	3.2958	3.7977	6.42	2.6575	3.157	4.4104	1.0128	-0.0011	0.0017	-0.0187	0.0075	0.0007	-0.0029	-0.0098	0.0178
5.1761	4.4898	2.9781	4.7958	3.4078	3.6481	4.5951	7.3011	3.4144	3.6687	3.1311	1.0156	-0.0037	-0.002	0.0168	0.0117	-0.0182	0.0108	0.0039	-0.0015
4.1851	3.6533	3.5807	4.1255	4.3162	2.8622	3.3178	5.6384	2.5023	2.6707	2.9821	1.0122	-0.0028	0.0063	0.003	-0.0022	-0.0005	0.0173	-0.0045	0.0127
4.5465	4.4031	3.1311	4.6357	3.8395	2.9392	3.325	6.82	2.9476	3.5553	3.9551	0.9977	0.011	-0.0154	-0.0196	0.0079	0.0078	0.0074	0.0074	-0.0096
4.2542	3.5639	3.3707	3.6217	3.9982	3.9982	4.3162	7.0959	3.4308	4.0877	3.3142	0.9889	-0.0033	0.0091	-0.0039	-0.0047	0.0123	-0.0187	0.0018	-0.0075
4.2092	3.4626	3.8754	3.8816	4.5142	2.7619	3.1311	5.649	3.2581	3.45	3.2149	1.0047	0.0061	-0.0019	0.0076	-0.004	0.0109	-0.0052	-0.0055	0.0039
4.459	3.7565	3.6889	4.2542	4.0877	2.7389	3.1905	4.5788	3.0493	3.6217	2.8582	0.9862	0.0021	0.0021	0.0015	0.0034	0.0087	-0.02	0.0003	-0.0074
4.6681	4.8598	3.2387	4.3944	3.1739	3.3844	3.7424	6.2344	4.1092	4.4427	3.6082	0.9898	-0.0207	-0.0051	0.0081	0.0078	-0.0188	-0.0195	-0.0039	-0.0071
3.8816	3.325	3.7424	4.8283	4.2627	3.0253	3.4436	6.8824	2.7081	3.4144	3.8044	0.9934	-0.0006	-0.0008	-0.0245	0.0046	-0.0009	0.003	0.0072	-0.003
4.332	4.036	2.8736	3.3878	4.4509	3.2465	3.325	6.271	3.091	3.1697	3.2149	1.0045	-0.0001	0.0108	0.0049	-0.0057	-0.0159	-0.0088	-0.0001	-0.0037
4.804	4.4898	2.8547	3.2189	3.8265	3.0253	3.7424	5.9713	3.2149	3.716	3.091	0.9937	-0.001	0.0045	0.0028	-0.003	0.0046	-0.0037	0.0056	0.0037
4.0431	3.4751	3.1001	4.4188	3.5293	2.6019	3.0634	5.8579	2.7486	3.1739	4.6434	1.0032	-0.0063	-0.0045	-0.0122	-0.013	0.0036	0.0082	-0.02	-0.0145
4.5788	4.1698	3.3878	2.9221	3.5496	3.2504	3.7635	6.6425	3.5439	3.9259	3.5553	0.9997	-0.0069	0.0011	-0.0091	0.0132	-0.0111	-0.0035	0.0037	-0.0082
4.2166	3.3707	3.4935	3.3707	3.0587	3.3604	4.2092	6.6241	2.9264	2.9096	3.5381	0.9869	-0.0055	-0.0011	0.003	-0.0133	0.0047	-0.0085	0.0138	0.0099
4.6269	3.716	3.3638	3.4751	3.791	3.1612	3.6738	5.9789	2.8467	3.3178	2.8898	1.0104	0.0026	-0.008	0.0175	-0.0205	0.0082	-0.0002	0.0158	0.0006
4.6357	3.661	2.9735	3.0634	3.4995	3.4144	3.5496	5.7961	2.649	3.4078	4.8828	0.9984	0.0007	0.0056	-0.0041	-0.0051	-0.0008	0.0063	0.0158	0.0003
4.7622	3.8459	3.2581	3.8898	3.6687	3.3604	3.6402	5.656	2.4706	3.5695	4.6756	0.9985	-0.0122	-0.0044	0.0051	-0.0094	0.0142	-0.0024	0.0053	0.0142
4.5065	4.2002	3.2619	3.627	2.6412	2.7265	2.7651	6.2166	2.6042	2.7453	3.5381	0.9938	0.0076	-0.0017	0.0096	-0.0045	0.0144	-0.0003	-0.006	-0.0211
4.0055	3.5639	2.3979	5.124	3.1046	3.1864	3.5891	6.2615	2.8064	3.2619	3.7773	0.9877	-0.0036	-0.0182	-0.0146	-0.0036	-0.0125	-0.0118	-0.0038	0.0154
3.6217	3.3604	2.9781	3.1442	2.9821	3.3534	4.1698	5.6904	2.4749	3.3945	4.587	1.0016	0.0038	-0.004	0.0065	-0.0035	0.0042	-0.0017	-0.017	-0.0054
3.7281	3.5752	3.5439	3.8111	3.5752	3.1822	3.5752	5.6836	3.4144	3.6481	4.0656	1.0114	-0.0048	0.0105	0.0142	-0.0085	0.0034	0.0107	-0.0012	0.0014
4.132	3.7705	2.8976	3.5695	2.7556	3.7013	3.9684	5.7526	3.8044	4.3631	3.4144	0.9853	0.0067	-0.0001	0.017	-0.0074	0.015	0.022	0.0041	-0.0068
4.4031	3.6217	2.9349	3.3429	3.4995	3.1822	3.6217	6.4907	2.6261	3.4078	4.1558	1.0061	0.0153	0.0051	-0.0058	0.0001	-0.0111	-0.0057	0.017	-0.0068
3.9982	3.6082	3.2387	4.5788	3.1135	2.6762	3.2581	5.9636	2.6159	3.7495	4.4659	1.0259	0.0085	-0.001	-0.006	0.0003	0.0051	-0.0005	-0.0149	0.011
4.4344	3.6217	3.2734	3.4874	2.4849	2.7887	3.2229	6.1463	3.1612	3.5439	2.8064	0.992	-0.0097	0.0062	-0.0125	0.019	-0.0002	0.0133	-0.0134	0.0031
3.9908	3.4078	3.1739	3.325	3.8959	3.4751	3.6939	6.2086	3.7013	3.912	3.5175	1.0113	-0.0134	0.0108	-0.0062	0.0031	0.0051	-0.0065	0.0115	-0.0061
