raf	mek	plc	pip2	pip3	erk	akt	pka	pkc	p38	jnk	cd3_cd28	icam2	aktinhib	g0076	psitect	u0126	ly	pma	b2camp
74.3	27.4	16.4	22.7	2	6.26	15.1	457	13.6	24.6	6.55	0.992	-0.0097	0.0062	-0.0125	0.019	-0.0002	0.0133	-0.0134	0.0031
44.1	20.2	13.9	17.8	39.2	22.3	30.2	487	30.5	40	23.7	1.0113	-0.0134	0.0108	-0.0062	0.0031	0.0051	-0.0065	0.0115	-0.0061
42.9	22.9	17.3	17.8	21.9	13.1	36.8	710	12.6	24.4	65.5	0.9989	0.0032	0.0166	-0.0109	-0.009	-0.0084	-0.0024	-0.0042	0.0057
79.1	26.4	1.19	3.96	41.4	8.06	20.4	509	3.68	16	63.2	1.0052	0.0028	0.0011	0.0026	-0.0043	0.0115	-0.0229	-0.0143	-0.0018
89	30	44.9	47	7.37	52.8	97.3	2288	69.8	94.7	8.28	0.9979	0.0069	-0.0086	-0.0146	0.0111	0.0023	0.0054	-0.0105	0.0101
63.2	27.4	14.5	80.6	41	15.1	38.2	453	13.6	32.8	13.1	0.9969	0.0037	0.0023	-0.0037	0.0129	0.0014	-0.0059	0.0083	-0.0026
27.9	20.7	25.3	70.4	42.2	6.98	21.3	313	24.8	44.5	23.1	0.9818	0.0281	0.0105	0.0033	-0.0025	-0.014	0.0014	-0.0026	-0.0022
69.8	22.9	19.3	17.5	9.73	20.7	28.1	255	13	25.3	9.73	1.0088	-0.0003	-0.0084	0.003	0.0037	0.008	-0.007	-0.0037	-0.004
28.9	15.7	22.7	37.9	49.1	13	23.5	509	22.1	53.8	35.9	1.0051	-0.0002	-0.014	0.0013	0.0128	-0.0063	-0.0043	-0.0171	-0.0032
102	30.8	7.17	82	49.1	20.2	25	343	3.96	26.9	87.4	1.0048	-0.0001	0.0023	-0.0014	0.0162	0.0051	-0.0033	-0.0039	-0.0116
59.4	25.3	14.9	61.5	26.2	22.5	36.5	239	2.74	14.5	77.7	1.0007	0.0188	0.0011	0.0087	-0.0103	-0.0084	0.0051	0.005	0.002
89.8	31.3	18.8	22.5	8.74	25	37.5	426	29.7	60.4	24.1	1.0071	0.0148	0.0011	0.0062	-0.0129	-0.0112	-0.0006	-0.0038	0.0042
200	33.1	19.5	56.2	16.1	21.7	35.5	305	4.26	14.2	95.6	0.9952	-0.0022	0.0015	0.0007	0.0011	0.0044	0.0116	0.0098	0.0075
62.1	18.1	14.9	149	62.1	4.49	20.7	698	44.1	125	57.3	1.0125	0.0189	0.0177	-0.0019	-0.005	-0.0068	-0.0138	-0.0142	0.0123
46.1	23.7	17.9	276	41.4	15	19.5	334	16.7	31.6	11.8	1.0039	-0.002	-0.0012	-0.0055	-0.0052	-0.0032	0.0102	-0.0088	0.0072
149	85.1	8.43	7.99	17.8	29.2	69.2	1208	26.4	46.6	30	1.0189	-0.0005	0.024	-0.0011	-0.0216	0.0083	0.0143	0.0086	0.0097
8.9	15.5	7.91	153	16	40.3	61.5	1582	12.2	25.7	12	0.9986	-0.0054	-0.0162	-0.0013	-0.0211	0.0077	-0.0006	-0.0085	0.0048
109	40	9.82	24.4	73	12.3	23.1	487	17.9	30.8	15.1	1.003	0.0026	0.0017	0.0004	-0.0045	0.0013	-0.0065	-0.0136	0.0114
71.7	42.9	31.1	23.9	10.5	8.13	34.9	2571	1	33.4	1.01	1.0138	-0.0031	-0.0091	0.0142	-0.0025	-0.0022	-0.0003	0.0116	0.0157
68.5	24.4	16.3	47.8	13.9	5.94	17.2	649	18.6	38.5	17.8	1.0078	-0.004	0.0097	0.0198	-0.0094	0.0144	-0.0116	-0.0111	-0.0087
79.9	44.1	4.45	89.8	28.1	39.2	82.8	632	20.4	51.4	35.9	0.9986	-0.0017	0.0108	0.0123	-0.0073	0.0067	-0.0037	0.0013	0.003
85.1	34.9	1	325	23.5	44.1	86.6	799	23.9	41.8	16.7	1.0055	-0.0161	-0.0068	-0.0117	-0.0089	-0.0001	0.0122	-0.0123	-0.0021
196	163	3.85	311	59.9	22.9	25.3	470	2.15	6.61	2.81	1.0092	-0.0106	0.0115	0.007	0.0074	-0.0214	-0.001	-0.0155	0.005
38.5	17.3	25.7	26.4	10.9	29.4	42.6	322	23.3	37.5	19.3	1.0208	0.0037	-0.0036	0.001	-0.0276	0.0009	0.0189	-0.0083	-0.0042
