Years	League	Division	PutOuts	Assists	Errors	PAtBat	PAvg	PHRrate	PBBrate	PRBIrate	PRunsRate	AtBat	Avg	HRrate	BBrate	RBIrate	RunsRate	LogSalary	NewLeague
16	N	E	53	88	3	6476	0.2455	0.0142	0.1177	0.0985	0.1045	155	0.2839	0.0387	0.0968	0.1484	0.1355	5.6168	N
4	A	W	125	199	13	879	0.2435	0.0011	0.0523	0.0557	0.1013	236	0.2373	0.0000	0.0466	0.0636	0.1144	5.4381	A
4	N	W	73	152	11	710	0.2211	0.0113	0.1296	0.0761	0.1225	216	0.2454	0.0046	0.1019	0.0694	0.1435	5.4161	N
3	A	W	80	4	0	135	0.1852	0.0000	0.0519	0.0889	0.1407	24	0.1250	0.0000	0.0833	0.0000	0.0417	*	A
17	A	E	0	0	0	6961	0.2648	0.0408	0.0955	0.1559	0.1506	585	0.2376	0.0530	0.1060	0.1607	0.1590	6.8565	A
4	N	E	391	38	8	582	0.2165	0.0206	0.0653	0.0979	0.0842	191	0.1937	0.0209	0.0733	0.0890	0.0628	*	N
3	A	W	152	3	5	315	0.2127	0.0095	0.0571	0.0571	0.0889	199	0.2663	0.0251	0.1055	0.1106	0.1457	4.3175	A
4	A	E	107	242	23	294	0.2143	0.0068	0.1122	0.0578	0.1088	521	0.2726	0.0384	0.0864	0.1651	0.1286	4.6540	A
12	A	E	211	2	1	4065	0.2750	0.0076	0.0930	0.0780	0.1397	419	0.2697	0.0024	0.1050	0.0644	0.1050	*	A
17	N	W	153	223	10	7936	0.2668	0.0122	0.0837	0.1108	0.1144	311	0.2605	0.0096	0.0836	0.0965	0.1350	5.7683	N
3	N	E	244	21	4	106	0.2075	0.0377	0.1604	0.1038	0.1415	138	0.2246	0.0580	0.2754	0.1522	0.1304	*	N
14	A	W	119	216	12	4835	0.2618	0.0403	0.1026	0.1487	0.1330	512	0.2559	0.0508	0.1016	0.1875	0.1348	6.7452	A
18	A	E	808	108	2	7254	0.2516	0.0438	0.1777	0.1471	0.1512	507	0.2406	0.0572	0.1795	0.1677	0.1538	6.2823	A
15	A	E	280	10	5	6132	0.2688	0.0432	0.1455	0.1389	0.1624	529	0.2590	0.0491	0.1834	0.1834	0.1626	6.8388	A
9	A	E	224	286	8	3227	0.2873	0.0081	0.0307	0.0790	0.1252	424	0.2807	0.0142	0.0307	0.1085	0.1344	6.7452	N
4	N	W	226	7	3	907	0.2822	0.0132	0.0860	0.0893	0.1555	351	0.2764	0.0114	0.1111	0.0826	0.1567	5.3471	A
8	N	E	83	2	1	1118	0.2531	0.0179	0.1100	0.1038	0.1073	195	0.2821	0.0256	0.1538	0.1692	0.1231	*	N
6	A	W	182	9	4	1786	0.2531	0.0364	0.0823	0.1271	0.1265	388	0.2655	0.0387	0.1005	0.1211	0.1521	5.7838	A
4	A	W	104	213	9	725	0.2676	0.0097	0.0441	0.1090	0.1186	339	0.2832	0.0118	0.0678	0.0855	0.1091	5.6168	A
16	A	W	463	32	8	6116	0.2382	0.0665	0.0940	0.1825	0.1359	561	0.2103	0.0624	0.0588	0.1676	0.1248	*	A
15	N	E	51	54	8	6056	0.2627	0.0243	0.1283	0.0946	0.1602	255	0.2745	0.0275	0.1686	0.1373	0.1922	6.1092	N
5	A	E	1377	100	6	1546	0.3228	0.0401	0.0763	0.1863	0.1501	677	0.3516	0.0458	0.0783	0.1669	0.1728	7.5883	A
5	A	W	92	2	2	1098	0.2532	0.0337	0.0501	0.1257	0.1211	227	0.2026	0.0308	0.0529	0.0881	0.1013	*	A
11	N	W	303	6	6	4403	0.2782	0.0538	0.1231	0.1678	0.1644	614	0.2655	0.0472	0.1221	0.1352	0.1450	7.5496	N
9	A	W	276	6	2	3499	0.2472	0.0389	0.1655	0.1398	0.1500	329	0.2523	0.0274	0.1702	0.1185	0.1520	6.3969	A
14	N	W	278	9	9	6090	0.3038	0.0355	0.0721	0.1604	0.1460	637	0.2732	0.0487	0.0879	0.1821	0.1397	6.9486	N
2	A	E	148	4	2	148	0.2095	0.0608	0.1081	0.1689	0.1149	280	0.2929	0.0571	0.1679	0.1607	0.1571	4.7005	A
16	A	W	165	9	1	5254	0.2469	0.0322	0.1624	0.1477	0.1380	155	0.2645	0.0774	0.1419	0.1871	0.1355	5.5607	A
4	A	W	246	389	18	892	0.2063	0.0168	0.0830	0.0740	0.1043	458	0.2489	0.0284	0.1048	0.1245	0.1463	6.1633	A
5	A	W	533	40	4	1143	0.2817	0.0131	0.0525	0.0989	0.1024	314	0.2643	0.0414	0.0510	0.1465	0.1242	6.0673	A
4	N	E	226	10	6	1335	0.2607	0.0607	0.1461	0.1873	0.1618	475	0.2589	0.0568	0.1516	0.1958	0.1600	7.1066	N
1	A	E	45	122	26	0	*	*	*	*	*	317	0.2461	0.0221	0.1009	0.1104	0.1104	4.2485	A
3	A	W	157	7	8	81	0.3210	0.0370	0.1235	0.1728	0.1358	511	0.2701	0.0489	0.1194	0.1879	0.1487	4.9767	A
8	N	W	142	210	10	1801	0.2754	0.0161	0.0738	0.0949	0.1299	278	0.2482	0.0108	0.1043	0.0755	0.0863	*	N
12	N	W	59	156	9	1751	0.2713	0.0160	0.1091	0.1348	0.1331	382	0.3115	0.0340	0.0942	0.1518	0.1414	6.3886	N
14	A	E	292	9	5	6722	0.2879	0.0418	0.1062	0.1681	0.1555	565	0.2619	0.0425	0.1363	0.1841	0.1593	7.5291	A
15	N	W	360	32	5	5675	0.2777	0.0102	0.0432	0.0999	0.1279	277	0.2563	0.0072	0.0505	0.1047	0.0975	*	N
3	N	W	274	2	7	296	0.2331	0.0608	0.1047	0.1622	0.1993	415	0.2771	0.0651	0.1639	0.1711	0.2337	5.7038	N
7	N	W	292	6	3	1706	0.2544	0.0135	0.1301	0.0744	0.1553	424	0.2594	0.0354	0.0849	0.1108	0.1651	6.1944	N
10	A	E	1045	88	13	5129	0.2979	0.0503	0.1230	0.1815	0.1605	495	0.3051	0.0343	0.1576	0.1697	0.1232	7.8079	A
2	A	E	212	327	20	448	0.2857	0.0112	0.0804	0.1004	0.1205	524	0.2519	0.0172	0.1031	0.0897	0.1317	*	A
8	A	E	102	132	10	1117	0.2569	0.0045	0.0788	0.0886	0.1119	233	0.2103	0.0086	0.0773	0.0987	0.1760	5.9269	A
10	A	E	709	41	7	1908	0.2437	0.0367	0.1116	0.1399	0.1143	395	0.2684	0.0405	0.0886	0.1418	0.1215	*	A
13	A	E	244	2	4	5192	0.2924	0.0420	0.1277	0.1654	0.1616	397	0.2872	0.0579	0.1335	0.1688	0.1688	*	A
6	A	E	40	115	15	784	0.2640	0.0357	0.0485	0.1212	0.1173	210	0.1762	0.0381	0.0714	0.0905	0.0714	*	A
3	N	W	206	10	7	226	0.1947	0.0354	0.1062	0.0841	0.0973	420	0.2262	0.0548	0.0881	0.1381	0.1310	*	N
14	A	W	316	439	10	5534	0.2582	0.0197	0.0464	0.1100	0.1205	566	0.2721	0.0389	0.0760	0.1484	0.1343	6.6201	A
5	A	E	269	17	10	1488	0.2769	0.0410	0.0511	0.1418	0.1317	641	0.3089	0.0484	0.0640	0.1685	0.1576	7.0690	A
1	A	E	116	5	12	0	*	*	*	*	*	215	0.2372	0.0186	0.0512	0.0837	0.0884	4.2485	A
14	A	W	97	218	16	6234	0.3155	0.0310	0.0987	0.1567	0.1607	441	0.2902	0.0363	0.1814	0.1655	0.1587	7.3132	A
5	N	W	726	87	3	1181	0.2329	0.0466	0.1499	0.1414	0.1372	325	0.2338	0.0492	0.1138	0.1600	0.1015	5.9532	A
13	N	E	869	62	8	5573	0.2729	0.0443	0.1109	0.1604	0.1374	490	0.2551	0.0490	0.1265	0.2143	0.1653	7.5630	N
3	N	W	1253	111	11	411	0.2628	0.0535	0.0754	0.1752	0.1387	574	0.2648	0.0540	0.1115	0.1760	0.1585	5.3706	N
18	N	E	96	4	4	6739	0.2762	0.0496	0.0953	0.1776	0.1419	284	0.2254	0.0493	0.0845	0.1479	0.1056	*	N
6	A	W	118	334	21	2266	0.2458	0.0322	0.0759	0.1293	0.1192	596	0.2869	0.0570	0.0872	0.1812	0.1527	6.8024	A
4	A	W	228	377	26	321	0.2150	0.0062	0.0623	0.0810	0.1215	472	0.2500	0.0254	0.0636	0.1144	0.1335	5.0434	A
16	A	W	144	6	5	6557	0.2795	0.0374	0.0793	0.1556	0.1327	283	0.2721	0.0495	0.0919	0.1661	0.1590	6.5511	A
9	N	W	282	487	19	3165	0.2439	0.0174	0.1087	0.1039	0.1223	408	0.2304	0.0098	0.1618	0.0882	0.1029	6.2823	N
8	A	E	91	185	12	1813	0.2664	0.0072	0.0403	0.0905	0.1026	327	0.2599	0.0092	0.0612	0.1346	0.0917	5.8930	A
15	N	E	137	5	9	6616	0.2836	0.0317	0.1301	0.1374	0.1543	370	0.2595	0.0568	0.1622	0.1243	0.1324	6.5976	N
20	N	W	83	174	16	8362	0.2505	0.0440	0.1215	0.1449	0.1359	354	0.2175	0.0452	0.1158	0.1554	0.1017	5.2983	N
5	A	W	462	9	7	930	0.2473	0.0075	0.1387	0.0731	0.1656	539	0.2579	0.0093	0.1280	0.1076	0.1725	5.9915	A
5	N	E	185	8	4	1176	0.2483	0.0264	0.1463	0.0918	0.1888	340	0.2471	0.0324	0.1382	0.0971	0.1824	5.9915	A
11	N	W	207	358	20	5052	0.2874	0.0083	0.0437	0.0940	0.1308	510	0.2471	0.0039	0.0686	0.0863	0.0824	6.6033	N
13	A	W	0	0	0	4362	0.2274	0.0578	0.1465	0.1710	0.1458	315	0.1873	0.0508	0.1841	0.1143	0.1429	*	A
5	A	W	670	57	5	1367	0.2743	0.0439	0.0797	0.1675	0.1273	282	0.2766	0.0461	0.1028	0.1809	0.1312	6.2146	A
8	A	W	237	8	1	2738	0.2849	0.0318	0.0763	0.1344	0.1424	380	0.3158	0.0132	0.0816	0.1342	0.1421	6.3969	A
5	N	E	331	20	4	1774	0.2694	0.0242	0.0519	0.1308	0.1099	584	0.2705	0.0257	0.0719	0.1438	0.1199	6.4960	N
7	A	W	295	15	5	3184	0.2852	0.0374	0.0707	0.1573	0.1319	570	0.2965	0.0368	0.0667	0.1544	0.1263	6.8565	A
7	N	E	116	222	15	2648	0.2711	0.0155	0.0612	0.1205	0.0993	306	0.3399	0.0458	0.0817	0.1895	0.1634	6.6201	N
5	N	E	50	136	20	965	0.2539	0.0311	0.1005	0.1192	0.1192	220	0.2455	0.0455	0.1409	0.1773	0.1364	5.6954	N
18	A	W	0	0	0	6908	0.2911	0.0265	0.0905	0.1521	0.1322	278	0.2518	0.0252	0.0647	0.1331	0.0791	5.7838	A
4	A	W	278	415	16	173	0.1734	0.0000	0.1098	0.0405	0.1503	445	0.2225	0.0022	0.0652	0.0539	0.1034	4.4716	A
9	N	W	138	15	1	496	0.2258	0.0222	0.0927	0.1351	0.1250	143	0.2727	0.0350	0.1049	0.2098	0.1259	5.1648	N
3	N	E	97	2	2	339	0.2507	0.0088	0.0855	0.0767	0.1032	185	0.2162	0.0216	0.0973	0.0595	0.1243	4.4998	N
6	A	E	368	20	3	1736	0.2673	0.0507	0.0974	0.1544	0.1521	589	0.2886	0.0679	0.1171	0.1834	0.1817	7.1208	A
15	A	E	211	56	13	3995	0.2728	0.0160	0.0713	0.0964	0.1334	343	0.3003	0.0175	0.1166	0.1050	0.1399	6.0638	A
5	A	E	122	140	5	1123	0.2600	0.0045	0.0766	0.0712	0.0944	284	0.2430	0.0035	0.0880	0.0634	0.1162	*	N
2	A	W	276	7	9	2	0.0000	0.0000	0.0000	0.0000	1.0000	438	0.2352	0.0046	0.1621	0.0731	0.1484	4.6052	N
2	A	W	319	4	14	96	0.3021	0.0521	0.0417	0.1354	0.1667	600	0.2400	0.0550	0.1083	0.1950	0.1417	5.1059	A
4	A	E	241	8	6	784	0.2602	0.0357	0.0459	0.1288	0.1301	663	0.3017	0.0437	0.0483	0.1825	0.1629	5.5215	A
12	N	E	623	35	3	4173	0.2775	0.0443	0.1390	0.1634	0.1601	232	0.2371	0.0388	0.1940	0.0991	0.1466	7.1701	N
17	N	W	237	5	4	6993	0.2880	0.0204	0.1143	0.1373	0.1333	479	0.2777	0.0209	0.1148	0.1503	0.1002	6.6507	N
10	A	W	132	205	5	3650	0.2386	0.0063	0.1195	0.0712	0.1422	209	0.2153	0.0000	0.2010	0.0909	0.1818	*	A
6	N	E	885	105	8	2113	0.2551	0.0360	0.0876	0.1462	0.1003	528	0.2500	0.0398	0.0777	0.1402	0.1155	6.9161	N
14	A	E	33	3	0	1968	0.2561	0.0244	0.1402	0.1204	0.1453	160	0.2437	0.0500	0.1375	0.1938	0.1125	5.6168	A
5	A	E	231	374	18	1883	0.2825	0.0090	0.0669	0.1338	0.1328	599	0.3055	0.0167	0.0534	0.1235	0.1336	6.6529	A
11	A	E	304	347	10	3374	0.2756	0.0098	0.0637	0.0975	0.1162	497	0.2736	0.0141	0.0523	0.0765	0.1167	6.7452	A
15	A	E	0	0	0	3830	0.2768	0.0219	0.1366	0.1073	0.1337	210	0.3333	0.0619	0.1333	0.2429	0.1524	5.8999	A
11	A	W	132	9	0	1343	0.2584	0.0149	0.1720	0.1184	0.1266	225	0.2711	0.0222	0.1156	0.1156	0.1422	*	A
2	A	W	28	56	2	137	0.1971	0.0365	0.1168	0.1314	0.1387	151	0.2715	0.0265	0.1258	0.1391	0.1722	4.5539	A
1	N	W	102	4	2	0	*	*	*	*	*	278	0.3094	0.0144	0.1619	0.1367	0.1187	4.7005	N
10	N	W	158	4	5	2623	0.2718	0.0286	0.0766	0.1472	0.1262	341	0.2786	0.0176	0.0587	0.1232	0.1408	4.6052	N
10	N	E	92	257	20	2207	0.2642	0.0335	0.0575	0.1192	0.1106	537	0.2737	0.0428	0.0875	0.1639	0.1080	5.6258	N
5	A	W	211	9	3	271	0.2399	0.0037	0.0738	0.0517	0.1218	399	0.2556	0.0075	0.0852	0.0852	0.1404	4.3820	A
13	N	E	161	3	3	4309	0.2868	0.0121	0.0951	0.1137	0.1344	309	0.3042	0.0162	0.0841	0.1036	0.1197	6.3969	N
4	N	E	193	11	4	475	0.2905	0.0000	0.0568	0.0526	0.1389	401	0.2494	0.0050	0.0698	0.0474	0.1496	*	N
15	A	W	0	0	0	5443	0.2787	0.0219	0.0871	0.1277	0.1277	336	0.2768	0.0268	0.0685	0.1369	0.1042	*	A
3	A	W	110	308	15	821	0.2607	0.0463	0.0609	0.1462	0.1194	616	0.2646	0.0438	0.0519	0.1737	0.1347	5.2983	A
12	A	W	260	58	4	969	0.2466	0.0155	0.0475	0.1022	0.0784	219	0.2146	0.0365	0.0776	0.1187	0.1096	*	A
6	N	E	280	479	5	2474	0.2854	0.0101	0.0647	0.1047	0.1209	579	0.3005	0.0121	0.1002	0.1347	0.1157	6.4877	N
3	A	W	332	19	2	31	0.1613	0.0000	0.0645	0.0323	0.1613	165	0.2364	0.0121	0.0970	0.0545	0.0788	4.3175	N
13	A	E	330	16	8	6509	0.3016	0.0509	0.0771	0.1811	0.1546	618	0.3236	0.0324	0.1003	0.1780	0.1586	7.7884	A
14	N	W	87	166	14	3653	0.2499	0.0077	0.0958	0.0816	0.1333	257	0.2568	0.0195	0.1245	0.1012	0.1206	5.5215	A
3	N	E	498	39	13	315	0.2381	0.0349	0.0952	0.1079	0.1048	315	0.2413	0.0413	0.0794	0.1905	0.1111	5.0434	N
4	N	E	290	440	25	1429	0.2687	0.0252	0.0455	0.1036	0.1540	591	0.2657	0.0271	0.0440	0.1320	0.1523	6.4615	N
6	A	E	222	5	5	950	0.2453	0.0200	0.0474	0.0905	0.1411	404	0.2277	0.0272	0.0446	0.1213	0.1337	5.7038	A
4	A	W	227	15	3	135	0.2593	0.0074	0.0889	0.0667	0.1111	315	0.2317	0.0159	0.0508	0.1175	0.0730	4.7005	A
4	N	E	103	8	2	453	0.3091	0.0088	0.0530	0.0640	0.1435	249	0.2771	0.0241	0.0803	0.0763	0.1285	*	N
13	A	W	686	46	4	5161	0.2531	0.0138	0.1137	0.1040	0.1040	429	0.2121	0.0280	0.1329	0.0979	0.0956	6.7154	N
2	A	E	243	23	5	21	0.2381	0.0000	0.0952	0.0952	0.1429	212	0.2547	0.0613	0.0849	0.2075	0.1321	*	A
3	N	W	249	444	16	495	0.2364	0.0061	0.0606	0.0586	0.1010	453	0.2230	0.0066	0.1347	0.0949	0.1015	5.2730	N
3	A	W	300	12	2	546	0.2491	0.0311	0.0989	0.1337	0.1099	161	0.2671	0.0248	0.1366	0.1615	0.1056	*	A
11	N	W	49	2	0	3143	0.2682	0.0220	0.0910	0.1126	0.1269	184	0.2554	0.0272	0.0978	0.1522	0.1087	6.1092	N
5	N	W	303	12	5	1098	0.2532	0.0182	0.0401	0.1056	0.1239	591	0.3113	0.0338	0.0643	0.1337	0.1404	6.4457	N
1	N	W	88	0	3	0	*	*	*	*	*	181	0.3204	0.0331	0.1215	0.1271	0.1878	4.4601	N
8	A	E	190	2	2	2282	0.2770	0.0429	0.1056	0.1464	0.1529	441	0.2676	0.0635	0.1542	0.1950	0.1905	7.1701	A
14	A	E	96	5	3	5636	0.2997	0.0177	0.1002	0.1152	0.1622	490	0.3061	0.0429	0.0714	0.1184	0.1408	6.9078	N
13	N	E	1199	149	5	5539	0.3013	0.0208	0.1486	0.1475	0.1580	551	0.3103	0.0236	0.1706	0.1506	0.1706	7.4955	N
6	A	W	1218	104	10	2266	0.2948	0.0388	0.1094	0.1690	0.1412	550	0.2673	0.0527	0.1291	0.1655	0.1545	7.1778	A
10	N	W	145	5	7	3636	0.2717	0.0223	0.0718	0.1174	0.1295	283	0.2615	0.0141	0.0777	0.1025	0.1201	6.6033	N
4	N	W	332	9	8	1229	0.2514	0.0317	0.0724	0.1334	0.1172	560	0.2875	0.0464	0.1179	0.1714	0.1589	6.4378	N
2	N	E	145	59	8	14	0.2143	0.0000	0.0000	0.0714	0.0000	328	0.2774	0.0366	0.1006	0.1311	0.1555	4.8283	N
9	N	E	181	13	4	2496	0.2889	0.0284	0.0970	0.1595	0.1166	586	0.2713	0.0205	0.0904	0.1348	0.1229	6.9502	N
10	N	W	65	258	8	2920	0.2856	0.0051	0.1134	0.0873	0.1185	503	0.2704	0.0099	0.1650	0.0954	0.1233	6.5862	N
7	A	W	0	0	0	567	0.2275	0.0705	0.1746	0.1623	0.1429	344	0.2471	0.0698	0.2558	0.1860	0.2006	5.7038	A
3	A	W	429	8	6	1248	0.2917	0.0032	0.0457	0.0841	0.1146	680	0.3279	0.0456	0.0500	0.1412	0.1750	5.8999	A
1	N	W	107	205	16	0	*	*	*	*	*	279	0.2294	0.0000	0.1075	0.0932	0.1111	4.3175	N
7	N	E	1231	80	7	2522	0.2843	0.0381	0.1229	0.1558	0.1467	484	0.2624	0.0413	0.1384	0.1343	0.1364	7.0761	N
