age	workclass	fnlwgt	educ	educ-num	mar-stat	occup	relat	race	sex	cap-gain	cap-loss	hrs-wk	nat-count	Income
48	3	149640	11	9	2	13	0	4	1	0	0	40	38	0
42	3	116632	10	16	2	9	0	4	1	0	0	45	38	1
29	3	105598	15	10	0	12	1	4	1	0	0	58	38	0
36	3	155537	11	9	2	2	0	4	1	0	0	40	38	0
28	3	183175	15	10	0	0	1	4	0	0	0	40	38	0
53	3	169846	11	9	2	0	5	4	0	0	0	40	38	1
49	4	191681	15	10	2	3	0	4	1	0	0	50	38	1
25	*	200681	15	10	4	*	3	4	1	0	0	40	38	0
19	3	101509	15	10	4	9	3	4	1	0	0	32	38	0
31	3	309974	9	13	5	11	3	2	0	0	0	40	38	0
29	5	162298	9	13	2	11	0	4	1	0	0	70	38	1
23	3	211678	15	10	4	6	1	4	1	0	0	40	38	0
79	3	124744	15	10	2	9	2	4	1	0	0	20	38	0
27	3	213921	11	9	4	7	3	4	1	0	0	40	25	0
40	3	32214	7	12	2	0	0	4	1	0	0	40	38	0
67	*	212759	0	6	2	*	0	4	1	0	0	2	38	0
18	3	309634	1	7	4	7	3	4	0	0	0	22	38	0
31	1	125927	5	4	2	4	0	4	1	0	0	40	38	0
18	3	446839	11	9	4	11	1	4	1	0	0	30	38	0
52	3	276515	9	13	2	7	0	4	1	0	0	40	4	0
46	3	51618	11	9	2	7	5	4	0	0	0	40	38	0
59	3	159937	11	9	2	11	0	4	1	0	0	48	38	0
44	3	343591	11	9	0	2	1	4	0	14344	0	40	38	1
53	3	346253	11	9	0	11	3	4	0	0	0	35	38	0
49	1	268234	11	9	2	10	0	4	1	0	0	40	38	1
33	3	202051	12	14	2	9	0	4	1	0	0	50	38	0
30	3	54334	6	5	4	11	1	4	1	0	0	40	38	0
43	0	410867	10	16	4	9	1	4	0	0	0	50	38	1
57	3	249977	8	11	2	9	0	4	1	0	0	40	38	0
37	3	286730	15	10	0	2	4	4	0	0	0	40	38	0
28	3	212563	15	10	0	6	4	2	0	0	0	25	38	0
30	3	117747	11	9	2	11	5	1	0	0	1573	35	*	0
34	1	226296	9	13	2	10	0	4	1	0	0	40	38	1
29	1	115585	15	10	4	5	1	4	1	0	0	50	38	0
48	5	191277	10	16	2	9	0	4	1	0	1902	60	38	1
37	3	202683	15	10	2	11	0	4	1	0	0	48	38	1
48	3	171095	7	12	0	3	4	4	0	0	0	40	8	0
32	0	249409	11	9	4	7	3	2	1	0	0	40	38	0
76	3	124191	12	14	2	3	0	4	1	0	0	40	38	1
44	3	198282	9	13	2	3	0	4	1	15024	0	60	38	1
47	5	149116	12	14	4	9	1	4	0	0	0	50	38	0
20	3	188300	15	10	4	12	3	4	0	0	0	40	38	0
29	3	103432	11	9	4	2	1	4	1	0	0	40	38	0
32	4	317660	11	9	2	2	0	4	1	7688	0	40	38	1
17	*	304873	0	6	4	*	3	4	0	34095	0	32	38	0
30	3	194901	1	7	4	5	3	4	1	0	0	40	38	0
31	1	189265	11	9	4	0	1	4	0	0	0	40	38	0
42	3	124692	11	9	2	5	0	4	1	0	0	40	38	0
24	3	432376	9	13	4	11	2	4	1	0	0	40	38	0
38	3	65324	14	15	2	9	0	4	1	0	0	40	38	1
56	5	335605	11	9	2	7	0	4	1	0	1887	50	1	1
28	3	377869	15	10	2	11	5	4	0	4064	0	25	38	0
36	3	102864	11	9	4	6	3	4	0	0	0	40	38	0
53	3	95647	6	5	2	5	0	4	1	0	0	50	38	0
56	4	303090	15	10	2	11	0	4	1	0	0	50	38	0
49	1	197371	8	11	2	2	0	2	1	0	0	40	38	1
55	3	247552	15	10	2	11	0	4	1	0	0	56	38	0
22	3	102632	11	9	4	2	1	4	1	0	0	41	38	0
21	3	199915	15	10	4	7	3	4	0	0	0	40	38	0
40	3	118853	9	13	2	3	0	4	1	0	0	60	38	0
30	3	77143	9	13	4	3	3	2	1	0	0	40	10	0
29	6	267989	9	13	2	9	0	4	1	0	0	50	38	1
19	3	301606	15	10	4	7	3	2	1	0	0	35	38	0
47	3	287828	9	13	2	3	5	4	0	0	0	40	38	1
20	3	111697	15	10	4	0	3	4	0	0	1719	28	38	0
31	3	114937	7	12	2	0	0	4	1	0	0	40	38	1
35	*	129305	11	9	2	*	0	4	1	0	0	40	38	0
39	3	365739	15	10	0	2	1	4	1	0	0	40	38	0
28	3	69621	7	12	4	11	1	4	0	0	0	60	38	0
24	3	43323	11	9	4	7	1	4	0	0	1762	40	38	0
38	5	120985	11	9	2	2	0	4	1	4386	0	35	38	0
37	3	254202	9	13	2	11	0	4	1	0	0	50	38	0
46	3	146195	7	12	0	12	1	2	0	0	0	36	38	0
38	0	125933	12	14	2	9	0	4	1	0	0	40	19	1
43	5	56920	11	9	2	2	0	4	1	0	0	60	38	0
27	3	163127	8	11	2	0	5	4	0	0	0	35	38	0
20	3	34310	15	10	4	11	3	4	1	0	0	20	38	0
49	3	81973	15	10	2	2	0	1	1	0	0	40	38	1
61	4	66614	11	9	2	2	0	4	1	0	0	40	38	0
27	3	232782	15	10	4	11	3	4	0	0	0	40	38	0
19	3	316868	15	10	4	7	3	4	1	0	0	30	25	0
45	3	196584	8	11	4	9	1	4	0	0	1564	40	38	1
70	3	105376	15	10	4	12	2	4	1	0	0	40	38	0
31	3	185814	11	9	4	13	4	2	0	0	0	30	38	0
22	3	175374	15	10	2	7	0	4	1	0	0	24	38	0
36	3	108293	11	9	6	7	4	4	0	0	0	24	38	0
64	3	181232	1	7	2	2	0	4	1	0	2179	40	38	0
43	*	174662	15	10	0	*	1	4	0	0	0	40	38	0
47	1	186009	15	10	0	0	4	4	0	0	0	38	25	0
34	3	198183	11	9	4	0	1	4	0	0	0	40	38	0
33	3	163003	9	13	4	3	2	1	0	0	0	40	29	0
21	3	296158	11	9	4	2	3	4	1	0	0	35	38	0
52	*	252903	11	9	0	*	1	4	1	0	0	45	38	1
48	3	187715	11	9	2	2	0	4	1	0	0	46	38	0
23	3	214542	9	13	4	5	1	4	1	0	0	40	38	0
71	5	494223	15	10	5	11	4	2	1	0	1816	2	38	0
29	3	191535	11	9	0	2	1	4	1	0	0	60	38	0
42	3	228456	9	13	5	7	2	2	1	0	0	50	38	0
68	*	38317	3	2	0	*	1	4	0	0	0	20	38	0
25	3	252752	11	9	4	7	4	4	0	0	0	40	38	0
44	4	78374	12	14	0	3	4	1	0	0	0	40	38	0
28	3	88419	11	9	4	3	1	1	0	0	0	40	8	0
45	5	201080	12	14	2	11	0	4	1	0	0	40	38	1
36	3	207157	15	10	0	7	4	4	0	0	0	40	25	0
39	0	235485	7	12	4	3	1	4	1	0	0	42	38	0
46	6	102628	12	14	6	10	4	4	1	0	0	40	38	0
18	3	25828	1	7	4	5	3	4	1	0	0	16	38	0
66	1	54826	8	11	6	9	1	4	0	0	0	20	38	0
27	3	124953	11	9	4	7	1	4	1	0	1980	40	38	0
28	6	175325	11	9	2	10	0	4	1	0	0	40	38	0
51	3	96062	15	10	2	11	0	4	1	0	1977	40	38	1
27	3	428030	9	13	4	2	1	4	1	0	0	50	38	0
28	6	149624	9	13	2	9	0	4	1	0	0	40	38	1
27	3	253814	11	9	3	11	4	4	0	0	0	25	38	0
21	3	312956	11	9	4	2	3	2	1	0	0	40	38	0
34	3	483777	11	9	4	5	1	2	1	0	0	40	38	0
18	3	183930	11	9	4	7	3	4	1	0	0	12	38	0
33	3	37274	9	13	2	9	0	4	1	0	0	65	38	0
44	1	181344	15	10	2	3	0	2	1	0	0	38	38	1
43	3	114580	15	10	0	0	1	4	0	0	0	40	38	0
30	3	633742	15	10	4	2	1	2	1	0	0	45	38	0
40	3	286370	5	4	2	6	0	4	1	0	0	40	25	1
37	0	29054	15	10	2	0	0	4	1	0	0	42	38	1
34	3	304030	11	9	2	0	0	2	1	0	0	40	38	0
41	5	143129	9	13	0	3	1	4	0	0	0	40	38	0
53	*	135105	9	13	0	*	1	4	0	0	0	50	38	0
31	3	99928	12	14	2	9	5	4	0	0	0	50	38	0
58	6	109567	10	16	2	9	0	4	1	0	0	1	38	1
38	3	155222	15	10	0	6	1	2	0	0	0	28	38	0
24	3	159567	15	10	2	6	0	4	1	0	0	40	38	0
41	1	523910	9	13	2	2	0	2	1	0	0	40	38	0
47	3	120939	15	10	2	12	0	4	1	0	0	45	38	0
41	0	130760	9	13	2	12	0	4	1	0	0	24	38	0
23	3	197387	4	3	2	13	2	4	1	0	0	40	25	0
36	3	99374	15	10	0	2	1	4	1	0	0	40	38	0
40	0	56795	12	14	4	3	1	4	0	14084	0	55	38	1
35	3	138992	12	14	2	9	2	4	1	7298	0	40	38	1
24	5	32921	11	9	4	11	1	4	1	0	0	40	38	0
26	3	397317	12	14	4	9	1	4	0	0	1876	40	38	0
19	*	170653	11	9	4	*	3	4	1	0	0	40	21	0
51	3	259323	9	13	2	3	0	4	1	0	0	50	38	1
42	1	254817	15	10	4	9	1	4	0	0	1340	40	38	0
37	6	48211	11	9	0	0	4	4	0	0	0	35	38	0
18	3	140164	1	7	4	11	3	4	0	0	0	40	38	0
36	3	128757	9	13	2	7	0	2	1	7298	0	36	38	1
35	3	36270	11	9	0	2	1	4	1	0	0	60	38	0
58	4	210563	11	9	2	11	5	4	0	15024	0	35	38	1
17	3	65368	1	7	4	11	3	4	0	0	0	12	38	0
44	1	160943	11	9	2	13	0	2	1	0	0	40	38	0
37	3	208358	11	9	2	2	0	4	1	0	0	40	38	1
35	3	153790	15	10	4	11	1	0	0	0	0	40	38	0
60	3	85815	11	9	2	2	0	1	1	0	0	40	38	0
54	4	125417	5	4	2	6	0	4	1	0	0	40	38	1
37	3	635913	9	13	4	3	1	2	1	0	0	60	38	1
50	3	313321	7	12	0	11	1	4	0	0	0	40	38	0
38	3	182609	9	13	2	11	0	4	1	0	0	50	30	0
45	3	109434	9	13	2	9	0	4	1	0	0	55	38	0
25	3	255004	0	6	4	2	1	4	1	0	0	40	38	0
31	3	197860	15	10	2	5	0	4	1	0	0	40	38	0
64	*	187656	3	2	0	*	1	4	1	0	0	40	38	0
90	3	51744	11	9	4	7	1	2	1	0	2206	40	38	0
54	3	176681	11	9	2	0	0	2	1	0	0	20	38	0
53	1	140359	13	1	4	6	1	4	0	0	0	35	38	0
18	3	243313	11	9	4	11	3	4	0	0	0	40	38	0
60	*	24215	0	6	0	*	1	0	0	0	0	10	38	0
66	5	167687	11	9	2	4	0	4	1	1409	0	50	38	0
75	3	314209	8	11	6	0	1	4	0	0	0	20	3	0
65	3	176796	11	9	0	0	1	4	0	0	0	40	38	0
35	3	538583	1	7	5	13	1	2	1	3674	0	40	38	0
41	3	130408	11	9	0	11	4	2	0	0	0	38	38	0
25	3	159732	15	10	4	0	1	4	1	0	0	42	38	0
33	3	110978	15	10	0	2	2	3	0	0	0	40	38	0
28	3	76714	14	15	4	9	1	4	1	0	0	55	38	1
59	6	268700	11	9	2	7	0	4	1	0	0	40	38	0
40	6	170525	15	10	4	0	1	4	0	0	0	38	38	0
41	3	180138	9	13	2	3	0	4	1	0	0	50	19	1
38	1	115076	12	14	2	3	0	4	1	0	0	70	38	1
23	3	115458	11	9	4	13	3	4	1	0	0	40	38	0
40	3	347890	9	13	2	9	0	4	1	0	0	40	38	1
41	5	196001	11	9	2	7	5	4	0	0	0	20	38	0
24	6	273905	7	12	2	10	0	4	1	0	0	50	38	0
20	*	119156	15	10	4	*	3	4	1	0	0	20	38	0
38	3	179488	15	10	0	2	1	4	1	0	1741	40	38	0
56	3	203580	11	9	2	0	0	4	1	0	0	35	*	0
58	3	236596	11	9	2	0	0	4	1	0	0	45	38	1
32	3	183916	11	9	4	7	1	4	0	0	0	34	38	0
40	3	207578	7	12	2	12	0	4	1	0	1977	60	38	1
45	3	153141	11	9	2	0	0	4	1	0	0	40	*	0
41	3	112763	14	15	2	9	5	4	0	0	0	40	38	1
42	3	390781	9	13	2	0	5	2	0	0	0	40	38	0
59	1	171328	0	6	6	7	4	2	0	0	0	30	38	0
19	1	27382	15	10	4	0	3	4	1	0	0	40	38	0
58	3	259014	15	10	4	13	1	4	1	0	0	20	38	0
42	5	303044	11	9	2	4	0	1	1	0	0	40	0	1
20	3	117789	11	9	4	7	3	4	0	0	0	40	38	0
32	3	172579	11	9	5	7	1	4	0	0	0	30	38	0
45	3	187666	8	11	6	3	1	4	0	0	0	45	38	0
50	3	204518	5	4	0	2	1	4	1	0	0	40	38	0
36	3	150042	9	13	0	9	3	4	0	0	0	40	38	0
45	3	98092	11	9	2	11	0	4	1	0	0	60	38	0
17	3	245918	1	7	4	7	3	4	1	0	0	12	38	0
59	3	146013	15	10	2	11	0	4	1	4064	0	40	38	0
26	3	378322	1	7	2	2	0	4	1	0	0	40	38	0
37	4	257295	15	10	2	3	0	1	1	0	0	75	36	1
19	*	218956	15	10	4	*	3	4	1	0	0	24	1	0
64	3	21174	11	9	2	3	0	4	1	0	0	40	38	1
33	3	185480	9	13	4	9	1	4	0	0	0	45	38	0
33	3	222205	11	9	2	2	5	4	0	0	0	40	38	1
61	3	69867	11	9	2	3	0	4	1	0	0	40	38	1
17	3	191260	6	5	4	7	3	4	1	1055	0	24	38	0
50	5	30653	12	14	2	4	0	4	1	2407	0	98	38	0
27	1	209109	12	14	4	9	3	4	1	0	0	35	38	0
30	3	70377	11	9	0	9	3	4	0	0	0	40	38	0
43	3	477983	11	9	2	5	0	2	1	0	0	40	38	0
44	3	170924	15	10	2	2	0	4	1	7298	0	40	38	1
35	3	190174	15	10	4	3	1	4	0	0	0	40	38	0
25	3	193787	15	10	4	12	3	4	0	0	0	40	38	0
24	3	279472	15	10	2	6	5	4	0	7298	0	48	38	1
22	3	34918	9	13	4	9	1	4	0	0	0	15	10	0
42	1	97688	15	10	2	2	0	4	1	5178	0	40	38	1
34	3	175413	7	12	0	11	4	2	0	0	0	45	38	0
60	3	173960	9	13	0	9	1	4	0	0	0	42	38	0
21	3	205759	11	9	4	5	3	4	1	0	0	40	38	0
57	0	425161	12	14	2	11	0	4	1	15024	0	40	38	1
41	3	220531	14	15	2	9	0	4	1	0	0	60	38	1
50	3	176609	15	10	0	7	1	4	1	0	0	45	38	0
25	3	371987	9	13	4	3	1	4	0	0	0	40	38	0
50	3	193884	5	4	2	2	0	4	1	0	0	40	6	0
36	3	200352	9	13	2	9	0	4	1	0	0	45	38	0
31	3	127595	11	9	0	9	1	4	0	0	0	40	38	0
29	1	220419	9	13	4	10	1	4	1	0	0	56	38	0
21	3	231931	15	10	4	11	3	4	1	0	0	45	38	0
27	3	248402	9	13	4	12	4	2	0	0	0	40	38	0
65	3	111095	11	9	2	13	0	4	1	0	0	16	38	0
37	4	57424	9	13	0	11	1	4	0	0	0	60	38	0
39	*	157443	12	14	2	*	5	1	0	3464	0	40	*	0
24	3	278130	11	9	4	2	3	4	1	0	0	40	38	0
38	3	169469	11	9	0	11	1	4	1	0	0	80	38	0
48	3	146268	9	13	2	0	0	4	1	7688	0	40	38	1
21	3	153718	15	10	4	7	1	1	0	0	0	25	38	0
31	3	217460	11	9	2	13	0	4	1	0	0	45	38	1
55	3	238638	11	9	2	11	0	4	1	4386	0	40	38	1
24	3	303296	15	10	2	0	5	1	0	0	0	40	24	0
43	3	173321	11	9	0	0	1	4	0	0	0	40	38	0
26	3	193945	7	12	4	12	1	4	1	0	0	45	38	0
46	3	83082	7	12	4	9	1	4	0	0	0	33	38	0
35	3	193815	7	12	2	0	0	4	1	0	0	40	38	1
41	4	34987	15	10	2	4	0	4	1	0	0	54	38	1
26	3	59306	9	13	4	11	1	4	1	0	0	40	38	0
34	3	142897	12	14	2	3	0	1	1	7298	0	35	35	1
19	*	860348	15	10	4	*	3	2	0	0	0	25	38	0
36	5	205607	9	13	0	9	1	2	0	0	0	40	38	1
22	3	199698	15	10	4	11	3	4	1	0	0	15	38	0
24	3	191954	15	10	4	6	1	4	1	0	0	40	38	0
77	5	138714	15	10	2	11	0	4	1	0	0	40	38	0
22	3	399087	4	3	2	6	2	4	0	0	0	40	25	0
29	3	423158	15	10	4	12	1	4	0	0	0	40	38	0
62	3	159841	11	9	6	7	1	4	0	0	0	24	38	0
39	5	174308	11	9	2	3	0	4	1	0	0	40	38	0
43	3	50356	15	10	2	2	0	4	1	0	1485	50	38	0
35	3	186110	11	9	0	13	1	4	1	0	0	45	38	0
29	3	200381	1	7	4	3	1	4	0	0	0	40	38	0
76	5	174309	12	14	2	2	0	4	1	0	0	10	38	0
63	5	78383	11	9	2	4	0	4	1	0	0	45	38	0
23	*	211601	8	11	4	*	3	2	0	0	0	15	38	0
43	3	187728	15	10	2	9	5	4	0	0	1887	50	38	1
58	5	321171	11	9	2	5	0	4	1	0	0	40	38	0
66	3	127921	11	9	4	13	1	4	1	2050	0	55	38	0
41	3	206565	15	10	4	2	1	2	1	0	0	45	38	0
26	3	224563	9	13	4	0	1	4	1	0	0	40	38	0
47	3	178686	8	11	4	7	1	4	1	0	0	40	38	0
55	1	98545	0	6	2	0	0	4	1	0	0	40	38	0
53	3	242606	11	9	2	13	0	4	1	0	0	40	38	0
17	3	270942	4	3	4	7	2	4	1	0	0	48	25	0
30	3	94235	11	9	4	2	2	4	1	0	0	40	38	0
49	3	71195	12	14	4	9	1	4	1	0	0	60	38	0
19	3	104112	11	9	4	11	4	2	1	0	0	30	13	0
45	3	261192	11	9	2	7	0	2	1	0	0	40	38	0
26	3	94936	7	12	4	11	1	4	1	0	0	40	38	0
38	3	296478	8	11	2	2	0	4	1	7298	0	40	38	1
36	6	119272	11	9	2	10	0	4	1	7298	0	40	38	1
33	3	85043	11	9	4	4	1	4	1	0	0	20	38	0
22	6	293364	15	10	4	10	3	2	0	0	0	40	38	0
43	5	241895	9	13	4	11	1	4	1	0	0	42	38	0
67	*	36135	1	7	2	*	0	4	1	0	0	8	38	0
30	*	151989	8	11	0	*	4	4	0	0	0	40	38	0
56	3	101128	7	12	3	7	1	4	1	0	0	25	19	0
31	3	156464	9	13	4	9	3	4	1	0	0	25	38	0
33	3	117963	9	13	2	3	0	4	1	0	0	40	38	1
26	3	192262	11	9	2	7	0	4	1	0	0	40	38	0
33	3	111363	9	13	2	3	0	4	1	0	0	40	38	1
46	1	329752	1	7	2	13	0	4	1	0	0	30	38	0
59	*	372020	9	13	2	*	0	4	1	0	0	40	38	1
38	0	95432	11	9	2	0	0	4	1	0	0	40	38	1
65	3	161400	1	7	6	7	4	3	1	0	0	40	38	0
40	3	96129	8	11	2	12	0	4	1	0	0	40	38	1
42	3	111949	11	9	2	0	5	4	0	0	0	35	38	0
26	5	117125	6	5	2	2	0	4	1	0	0	40	31	0
36	3	348022	0	6	2	7	5	4	0	0	0	24	38	0
62	3	270092	12	14	2	9	0	4	1	0	0	40	38	1
43	3	180609	9	13	2	13	0	4	1	0	0	45	38	0
43	3	174575	9	13	0	3	1	4	1	0	1564	45	38	1
22	3	410439	11	9	3	11	1	4	1	0	0	55	38	0
28	3	92262	11	9	2	2	0	4	1	0	0	40	38	0
56	5	183081	15	10	2	11	0	4	1	0	0	45	38	0
22	3	362589	7	12	4	11	1	4	0	0	0	15	38	0
57	3	212448	9	13	0	3	1	4	0	0	0	45	38	1
39	3	481060	11	9	0	11	4	4	0	0	0	40	38	0
26	0	185885	15	10	4	0	4	4	0	0	0	15	38	0
17	3	89821	1	7	4	7	3	4	1	0	0	10	38	0
40	6	184018	8	11	2	6	0	4	1	0	0	38	38	1
45	3	256649	11	9	2	6	0	2	1	0	0	40	38	0
44	3	160323	11	9	4	2	1	2	1	0	0	40	38	0
20	1	350845	15	10	4	0	3	4	0	0	0	10	38	0
33	3	267404	11	9	2	2	5	4	0	0	0	40	38	0
23	3	35633	15	10	4	11	1	4	1	0	0	40	38	0
46	5	80914	12	14	0	3	1	4	1	0	0	30	38	0
38	3	172927	11	9	2	11	0	4	1	0	0	50	38	0
54	3	174319	11	9	0	13	1	4	1	0	0	40	38	0
46	3	214955	4	3	0	2	1	4	0	0	2339	45	38	0
25	3	344991	15	10	2	2	0	4	1	0	0	40	38	0
46	3	108699	15	10	0	11	1	4	0	0	0	40	38	0
36	1	117312	15	10	2	13	5	4	0	0	0	40	38	0
23	3	396099	11	9	4	7	1	4	0	0	0	25	38	0
29	3	134152	11	9	5	6	1	4	1	0	0	40	38	0
44	3	162028	15	10	2	0	5	4	0	0	2415	6	38	1
19	3	25429	15	10	4	0	3	4	0	0	0	16	38	0
19	3	232392	11	9	4	7	2	4	0	0	0	40	38	0
35	3	220098	11	9	2	7	5	4	0	0	0	40	38	1
27	3	301302	9	13	4	2	1	4	1	0	0	50	38	0
46	5	277946	7	12	5	2	1	4	1	0	0	40	38	0
34	6	98101	9	13	2	3	0	4	1	7688	0	45	*	1
34	3	196164	11	9	4	7	1	4	0	0	0	35	38	0
44	3	115562	15	10	2	12	0	4	1	0	0	40	38	0
45	3	96975	15	10	0	5	4	4	0	0	0	40	38	0
20	*	137300	11	9	4	*	2	4	0	0	0	35	38	0
25	3	86872	9	13	2	3	0	4	1	0	0	55	38	1
52	4	132178	9	13	2	3	0	4	1	0	0	50	38	1
20	3	416103	15	10	4	5	3	4	1	0	0	40	38	0
28	3	108574	15	10	4	7	1	4	0	0	0	40	38	0
50	6	288353	9	13	2	10	0	4	1	0	0	40	38	1
34	3	227689	8	11	0	12	1	4	0	0	0	64	38	0
28	3	166481	5	4	2	5	0	3	1	0	2179	40	32	0
41	3	445382	12	14	2	3	0	4	1	0	1977	65	38	1
28	3	110145	11	9	2	0	0	4	1	0	0	40	38	0
46	5	317253	11	9	2	2	0	4	1	0	0	25	38	0
28	*	123147	15	10	2	*	5	4	0	0	1887	40	38	1
32	3	364657	15	10	2	3	0	4	1	0	0	50	38	0
41	1	42346	15	10	0	7	1	2	0	0	0	24	38	0
24	3	241951	11	9	4	5	4	2	0	0	0	40	38	0
33	3	118500	15	10	0	3	4	4	0	0	0	40	38	0
46	3	188386	10	16	2	3	0	4	1	15024	0	60	38	1
31	6	1033222	15	10	2	6	0	4	1	0	0	40	38	0
35	3	92440	2	8	0	2	1	4	1	0	0	50	38	1
52	3	190762	3	2	2	6	0	4	1	0	0	40	25	0
30	3	426017	1	7	4	7	3	4	0	0	0	19	38	0
34	1	243867	1	7	5	6	1	2	1	0	0	40	38	0
34	6	240283	11	9	0	13	4	4	0	0	0	40	38	0
20	3	61777	15	10	2	11	0	4	1	0	0	30	38	0
17	3	175024	1	7	4	5	3	4	1	2176	0	18	38	0
32	6	92003	9	13	2	3	5	4	0	0	0	40	38	1
29	3	188401	11	9	0	4	1	4	1	0	0	40	38	0
33	3	228528	0	6	4	2	4	4	0	0	0	35	38	0
25	3	133373	11	9	2	13	0	4	1	0	0	60	38	0
36	0	255191	12	14	4	9	1	4	1	0	1408	40	38	0
23	3	204653	11	9	4	5	1	4	1	0	0	72	5	0
63	4	222289	11	9	2	3	0	4	1	0	0	40	38	1
47	1	287480	12	14	2	9	0	4	1	0	0	40	38	0
80	*	107762	11	9	6	*	1	4	1	0	0	24	38	0
17	*	202521	1	7	4	*	3	4	1	0	0	40	38	0
40	5	204116	9	13	3	9	1	4	0	2174	0	40	38	0
30	3	29662	7	12	2	7	5	4	0	0	0	25	38	1
27	3	116358	15	10	4	2	3	1	1	0	1980	40	29	0
33	3	208405	12	14	2	9	0	4	1	0	0	50	38	1
34	1	284843	11	9	4	4	1	2	1	594	0	60	38	0
34	1	117018	15	10	4	10	1	4	0	0	0	40	38	0
23	3	81281	15	10	2	0	0	4	1	0	0	40	38	0
42	1	340148	15	10	2	0	5	4	0	0	0	40	38	0
29	3	363425	9	13	4	9	1	4	1	0	0	40	38	0
45	3	45857	11	9	0	0	1	4	0	0	0	28	38	0
24	0	191073	11	9	4	1	3	4	1	0	0	40	38	0
44	3	116632	15	10	2	9	0	4	1	0	0	40	38	1
27	3	405855	6	5	4	2	2	4	1	0	0	40	25	0
