Category	Rating	Reviews	Size	Installs	Price	Content_Rating	Genres	Android_Ver
ART_AND_DESIGN	4	591.0000	9.4	500000	0	Everyone	Art__Design	4.0_and_up
ART_AND_DESIGN	4.2	117.0000	15	10000	0	Everyone	Art__Design	4.0.3_and_up
ART_AND_DESIGN	4.5	176.0000	10	100000	0	Everyone	Art__Design	4.0.3_and_up
ART_AND_DESIGN	4.4	295221.0000	*	10000000	0	Everyone	Art__Design	*
ART_AND_DESIGN	3.8	2206.0000	1.2	100000	0	Everyone	Art__DesignCreativity	4.1_and_up
ART_AND_DESIGN	4.2	26.0000	12	10000	0	Everyone	Art__Design	4.1_and_up
ART_AND_DESIGN	4.7	174531.0000	24	10000000	0	Everyone	Art__Design	4.1_and_up
ART_AND_DESIGN	4.6	1070.0000	26	100000	0	Everyone	Art__Design	4.1_and_up
ART_AND_DESIGN	4.2	85.0000	8	100000	0	Everyone	Art__Design	4.1_and_up
ART_AND_DESIGN	4.3	845.0000	7.9	100000	0	Everyone	Art__Design	2.3_and_up
AUTO_AND_VEHICLES	4.2	367.0000	25	100000	0	Everyone	Auto__Vehicles	4.0.3_and_up
AUTO_AND_VEHICLES	4	1598.0000	56	1000000	0	Everyone	Auto__Vehicles	4.1_and_up
AUTO_AND_VEHICLES	3.8	284.0000	57	100000	0	Everyone	Auto__Vehicles	4.1_and_up
AUTO_AND_VEHICLES	4.6	17057.0000	*	1000000	0	Everyone	Auto__Vehicles	*
AUTO_AND_VEHICLES	3.9	129.0000	35	100000	0	Everyone	Auto__Vehicles	4.1_and_up
AUTO_AND_VEHICLES	4.3	542.0000	33	100000	0	Everyone	Auto__Vehicles	4.1_and_up
AUTO_AND_VEHICLES	4.9	10479.0000	33	100000	0	Everyone	Auto__Vehicles	4.0_and_up
AUTO_AND_VEHICLES	4.4	805.0000	5.6	50000	0	Everyone	Auto__Vehicles	4.4_and_up
AUTO_AND_VEHICLES	4.2	129.0000	54	100000	0	Everyone	Auto__Vehicles	4.1_and_up
AUTO_AND_VEHICLES	4	1403.0000	201	100000	0	Everyone	Auto__Vehicles	2.2_and_up
AUTO_AND_VEHICLES	3.9	3971.0000	3.6	100000	0	Everyone	Auto__Vehicles	4.4_and_up
AUTO_AND_VEHICLES	4.6	534.0000	5.7	10000	0	Everyone	Auto__Vehicles	4.0.3_and_up
AUTO_AND_VEHICLES	4.9	7774.0000	17	100000	0	Everyone	Auto__Vehicles	4.2_and_up
AUTO_AND_VEHICLES	4.3	38846.0000	8.6	1000000	0	Everyone	Auto__Vehicles	4.1_and_up
AUTO_AND_VEHICLES	4.6	2431.0000	2.4	100000	0	Everyone	Auto__Vehicles	4.0_and_up
AUTO_AND_VEHICLES	4.9	6090.0000	27	100000	0	Everyone	Auto__Vehicles	4.2_and_up
AUTO_AND_VEHICLES	3.9	295.0000	2.7	10000	0	Everyone	Auto__Vehicles	4.4_and_up
AUTO_AND_VEHICLES	4	190.0000	2.5	50000	0	Everyone	Auto__Vehicles	2.3_and_up
AUTO_AND_VEHICLES	4.3	40211.0000	*	5000000	0	Everyone	Auto__Vehicles	*
AUTO_AND_VEHICLES	3.9	356.0000	*	100000	0	Everyone	Auto__Vehicles	*
AUTO_AND_VEHICLES	4.2	52530.0000	7	5000000	0	Everyone	Auto__Vehicles	4.0.3_and_up
AUTO_AND_VEHICLES	4.8	116986.0000	35	5000000	0	Everyone	Auto__Vehicles	4.0.3_and_up
AUTO_AND_VEHICLES	3.6	1379.0000	16	500000	0	Everyone	Auto__Vehicles	4.2_and_up
AUTO_AND_VEHICLES	4.2	271920.0000	16	10000000	0	Teen	Auto__Vehicles	5.0_and_up
AUTO_AND_VEHICLES	4.8	736.0000	*	100000	0	Everyone	Auto__Vehicles	2.3.3_and_up
AUTO_AND_VEHICLES	4.8	7021.0000	17	500000	0	Everyone	Auto__Vehicles	4.0_and_up
AUTO_AND_VEHICLES	4.6	197.0000	3.4	50000	0	Everyone	Auto__Vehicles	4.0_and_up
AUTO_AND_VEHICLES	4.5	737.0000	8.9	100000	0	Everyone	Auto__Vehicles	4.1_and_up
AUTO_AND_VEHICLES	4.3	3574.0000	3.9	1000000	0	Everyone_10+	Auto__Vehicles	4.0_and_up
AUTO_AND_VEHICLES	4.5	994.0000	2.9	100000	0	Everyone	Auto__Vehicles	4.1_and_up
AUTO_AND_VEHICLES	4.9	197136.0000	38	1000000	0	Everyone	Auto__Vehicles	4.1_and_up
AUTO_AND_VEHICLES	3.9	142.0000	32	50000	0	Everyone	Auto__Vehicles	6.0_and_up
AUTO_AND_VEHICLES	4.4	15168.0000	37	1000000	0	Everyone	Auto__Vehicles	4.2_and_up
AUTO_AND_VEHICLES	4	2155.0000	15	500000	0	Everyone	Auto__Vehicles	5.0_and_up
AUTO_AND_VEHICLES	4.3	138.0000	5.4	100000	0	Everyone	Auto__Vehicles	4.0.3_and_up
AUTO_AND_VEHICLES	3.7	5414.0000	18	1000000	0	Everyone	Auto__Vehicles	4.4_and_up
AUTO_AND_VEHICLES	4.4	21777.0000	21777	1000000	0	Everyone	Auto__Vehicles	*
AUTO_AND_VEHICLES	4.3	348.0000	38	100000	0	Everyone	Auto__Vehicles	2.3_and_up
AUTO_AND_VEHICLES	3.2	250.0000	1.1	100000	0	Everyone	Auto__Vehicles	4.0.3_and_up
AUTO_AND_VEHICLES	4.6	13372.0000	*	1000000	0	Everyone	Auto__Vehicles	*
AUTO_AND_VEHICLES	4.6	7880.0000	*	100000	0	Everyone	Auto__Vehicles	*
AUTO_AND_VEHICLES	4.5	3617.0000	7.9	100000	0	Everyone	Auto__Vehicles	4.1_and_up
AUTO_AND_VEHICLES	3.7	4806.0000	35	1000000	0	Everyone	Auto__Vehicles	4.0.3_and_up
AUTO_AND_VEHICLES	4.6	65786.0000	*	1000000	0	Everyone	Auto__Vehicles	4.0.3_and_up
AUTO_AND_VEHICLES	4.6	31433.0000	17	1000000	0	Everyone	Auto__Vehicles	4.0.3_and_up
AUTO_AND_VEHICLES	4.6	5097.0000	19	1000000	0	Everyone	Auto__Vehicles	4.0.3_and_up
AUTO_AND_VEHICLES	4	1754.0000	14	500000	0	Everyone	Auto__Vehicles	4.0_and_up
AUTO_AND_VEHICLES	4.4	2680.0000	2.2	500000	0	Everyone	Auto__Vehicles	4.0.3_and_up
AUTO_AND_VEHICLES	4	1288.0000	4.5	100000	0	Everyone	Auto__Vehicles	4.0_and_up
BEAUTY	4.7	18900.0000	17	500000	0	Everyone	Beauty	5.0_and_up
BEAUTY	4.9	49790.0000	14	1000000	0	Everyone	Beauty	4.1_and_up
BEAUTY	4.7	1150.0000	9.8	100000	0	Everyone	Beauty	4.1_and_up
BEAUTY	3.9	1739.0000	21	500000	0	Everyone	Beauty	4.0.3_and_up
BEAUTY	3.9	32090.0000	*	1000000	0	Everyone	Beauty	0
BEAUTY	4.2	2225.0000	52	500000	0	Everyone	Beauty	4.1_and_up
BEAUTY	4.6	4369.0000	14	100000	0	Everyone	Beauty	4.0.3_and_up
BEAUTY	4.3	8572.0000	25	1000000	0	Everyone	Beauty	4.0_and_up
BEAUTY	4.7	964.0000	9	50000	0	Everyone	Beauty	4.2_and_up
BEAUTY	4.7	42050.0000	*	1000000	0	Everyone	Beauty	5.0_and_up
BEAUTY	4.8	104.0000	12	10000	0	Everyone	Beauty	4.0.3_and_up
BEAUTY	4.2	17934.0000	*	1000000	0	Everyone	Beauty	*
BEAUTY	4.3	601.0000	35	100000	0	Everyone	Beauty	4.0_and_up
BEAUTY	4.5	36.0000	6.7	10000	0	Everyone	Beauty	4.0_and_up
BEAUTY	4.1	187.0000	30	50000	0	Teen	Beauty	4.0.3_and_up
BEAUTY	*	182.0000	5.7	100000	0	Everyone_10+	Beauty	3.0_and_up
BEAUTY	4.2	30.0000	2.9	10000	0	Everyone	Beauty	4.0.3_and_up
BEAUTY	4.5	134.0000	17	10000	0	Everyone	Beauty	4.0.3_and_up
BEAUTY	4.4	74.0000	2.9	10000	0	Everyone	Beauty	4.0.3_and_up
BEAUTY	4	113715.0000	*	10000000	0	Everyone	Beauty	*
BEAUTY	4.1	3595.0000	*	500000	0	Everyone	Beauty	4.0_and_up
BEAUTY	4.1	9315.0000	2.6	1000000	0	Everyone	Beauty	4.0_and_up
BEAUTY	4.4	75.0000	4.2	50000	0	Everyone	Beauty	4.0.3_and_up
BEAUTY	4.6	38.0000	7.1	10000	0	Everyone	Beauty	4.0_and_up
BEAUTY	4.5	26834.0000	57	1000000	0	Everyone	Beauty	5.0_and_up
BEAUTY	*	119.0000	3.7	50000	0	Everyone	Beauty	4.1_and_up
BEAUTY	3.9	2277.0000	22	500000	0	Everyone	Beauty	4.0.3_and_up
BEAUTY	4.4	2280.0000	24	500000	0	Everyone	Beauty	4.0_and_up
BEAUTY	*	654.0000	7.4	100000	0	Teen	Beauty	4.1_and_up
BEAUTY	4.6	184.0000	21	10000	0	Everyone	Beauty	4.1_and_up
BEAUTY	3.8	9.0000	3.4	5000	0	Everyone	Beauty	4.0_and_up
BEAUTY	*	77.0000	2.9	10000	0	ature_17+	Beauty	2.3_and_up
BEAUTY	*	35.0000	3.1	10000	0	Everyone_10+	Beauty	3.0_and_up
BEAUTY	4	364.0000	6.4	100000	0	Everyone	Beauty	4.0.3_and_up
BEAUTY	4.3	18.0000	3.2	5000	0	Everyone	Beauty	4.0.3_and_up
BEAUTY	4.5	473.0000	8.2	100000	0	ature_17+	Beauty	1.6_and_up
BEAUTY	*	30.0000	9.9	10000	0	ature_17+	Beauty	3.0_and_up
BEAUTY	4.1	66.0000	2.9	10000	0	Everyone	Beauty	4.0.3_and_up
BEAUTY	3.7	3871.0000	23	1000000	0	Everyone	Beauty	4.0_and_up
BEAUTY	4.7	257.0000	4.6	50000	0	Everyone	Beauty	4.0.3_and_up
BEAUTY	4.2	62.0000	3.1	10000	0	Everyone	Beauty	4.0.3_and_up
BOOKS_AND_REFERENCE	4.6	2914724.0000	*	100000000	0	Teen	Books__Reference	*
BOOKS_AND_REFERENCE	4.5	1857.0000	4.9	50000	0	Everyone	Books__Reference	4.4_and_up
BOOKS_AND_REFERENCE	4.6	4478.0000	9.5	100000	0	Everyone_10+	Books__Reference	4.0_and_up
BOOKS_AND_REFERENCE	4.4	577550.0000	*	10000000	0	Everyone	Books__Reference	*
BOOKS_AND_REFERENCE	4.2	814080.0000	*	100000000	0	Teen	Books__Reference	*
BOOKS_AND_REFERENCE	4.5	246315.0000	*	10000000	0	Everyone	Books__Reference	1.5_and_up
BOOKS_AND_REFERENCE	4.5	454060.0000	*	10000000	0	Everyone	Books__Reference	*
BOOKS_AND_REFERENCE	4.5	155446.0000	*	10000000	0	Teen	Books__Reference	*
BOOKS_AND_REFERENCE	4.5	418.0000	4.2	100000	0	Everyone	Books__Reference	4.1_and_up
BOOKS_AND_REFERENCE	4.4	22486.0000	5.4	1000000	0	Teen	Books__Reference	4.0_and_up
BOOKS_AND_REFERENCE	4.5	203130.0000	*	10000000	0	Everyone	Books__Reference	*
BOOKS_AND_REFERENCE	4.6	1435.0000	2.8	500000	0	Everyone	Books__Reference	4.0_and_up
BOOKS_AND_REFERENCE	4.8	116507.0000	5	1000000	0	Teen	Books__Reference	4.0.3_and_up
BOOKS_AND_REFERENCE	3.9	1433233.0000	*	1000000000	0	Teen	Books__Reference	*
BOOKS_AND_REFERENCE	4.6	90468.0000	5.9	5000000	0	Everyone	Books__Reference	2.3_and_up
BOOKS_AND_REFERENCE	4.2	860.0000	13	100000	0	Everyone	Books__Reference	4.0.3_and_up
BOOKS_AND_REFERENCE	4.1	363934.0000	7.1	10000000	0	Everyone	Books__Reference	4.1_and_up
BOOKS_AND_REFERENCE	4.7	967.0000	6.7	500000	0	Everyone	Books__Reference	4.0.3_and_up
BOOKS_AND_REFERENCE	4.2	87873.0000	*	10000000	0	Teen	Books__Reference	*
BOOKS_AND_REFERENCE	4.3	17506.0000	17	1000000	0	Everyone	Books__Reference	4.1_and_up
BOOKS_AND_REFERENCE	3.3	1862.0000	19	1000000	0	Everyone	Books__Reference	4.1_and_up
BOOKS_AND_REFERENCE	4.6	2084.0000	6.7	500000	0	Everyone	Books__Reference	2.3_and_up
BOOKS_AND_REFERENCE	4.8	47303.0000	21	1000000	0	Everyone	Books__Reference	4.1_and_up
BOOKS_AND_REFERENCE	4.7	19080.0000	*	500000	0	Everyone	Books__Reference	*
BOOKS_AND_REFERENCE	*	161.0000	2.7	10000	0	Everyone	Books__Reference	2.3_and_up
BOOKS_AND_REFERENCE	4.1	85842.0000	37	5000000	0	Everyone	Books__Reference	4.0_and_up
BOOKS_AND_REFERENCE	4.6	7831.0000	15	100000	0	Teen	Books__Reference	4.0_and_up
BOOKS_AND_REFERENCE	4.1	91615.0000	23	5000000	0	ature_17+	Books__Reference	4.1_and_up
BOOKS_AND_REFERENCE	4.6	4620.0000	19	500000	0	Everyone	Books__Reference	4.0.3_and_up
BOOKS_AND_REFERENCE	4.7	21336.0000	23	1000000	0	Everyone	Books__Reference	3.0_and_up
BOOKS_AND_REFERENCE	4.5	26875.0000	73	500000	0	Everyone	Books__Reference	4.0.3_and_up
BOOKS_AND_REFERENCE	3.9	1778.0000	4.9	500000	0	ature_17+	Books__Reference	2.1_and_up
BOOKS_AND_REFERENCE	4.4	2709.0000	6.8	1000000	0	Everyone	Books__Reference	4.4_and_up
BOOKS_AND_REFERENCE	4.3	64513.0000	*	5000000	0	Everyone	Books__Reference	*
BOOKS_AND_REFERENCE	4.2	8342.0000	*	10000000	0	Everyone	Books__Reference	7.0_and_up
BOOKS_AND_REFERENCE	4.5	527.0000	2.9	100000	0	Everyone	Books__Reference	4.0_and_up
BOOKS_AND_REFERENCE	4.4	1322.0000	3.5	100000	0	Everyone	Books__Reference	4.0.3_and_up
BOOKS_AND_REFERENCE	3.4	1680.0000	4	100000	0	Everyone	Books__Reference	4.0.3_and_up
BOOKS_AND_REFERENCE	4.9	2739.0000	21	50000	0	Everyone	Books__Reference	3.0_and_up
BOOKS_AND_REFERENCE	4.6	1065.0000	2.3	500000	0	Everyone	Books__Reference	3.0_and_up
BOOKS_AND_REFERENCE	4.4	233757.0000	*	10000000	0	Everyone	Books__Reference	*
BOOKS_AND_REFERENCE	*	2.0000	7.2	50000	0	Everyone	Books__Reference	6.0_and_up
BOOKS_AND_REFERENCE	4.4	8788.0000	10	1000000	0	Everyone	Books__Reference	4.0_and_up
BOOKS_AND_REFERENCE	4.4	51269.0000	6.1	1000000	0	Everyone	Books__Reference	4.2_and_up
BOOKS_AND_REFERENCE	4.4	30105.0000	2.1	1000000	0	Everyone	Books__Reference	4.0.3_and_up
BOOKS_AND_REFERENCE	3.5	156.0000	42	500000	0	Everyone	Books__Reference	2.2_and_up
BOOKS_AND_REFERENCE	*	114.0000	7.3	100000	0	Everyone	Books__Reference	5.1_and_up
BOOKS_AND_REFERENCE	4.4	341157.0000	30	10000000	0	Everyone_10+	Books__Reference	4.2_and_up
BUSINESS	4.1	16129.0000	*	10000000	0	Everyone	Business	*
BUSINESS	4.3	674730.0000	*	50000000	0	Everyone	Business	*
BUSINESS	4.4	1254730.0000	*	10000000	0	Everyone	Business	*
BUSINESS	4.3	85185.0000	29	5000000	0	Everyone	Business	5.0_and_up
BUSINESS	4.3	32584.0000	*	1000000	0	Everyone	Business	*
BUSINESS	4.1	217730.0000	*	50000000	0	Everyone	Business	*
BUSINESS	4.4	70991.0000	*	5000000	0	Everyone	Business	4.4_and_up
BUSINESS	4.3	1002861.0000	35	100000000	0	Everyone	Business	4.1_and_up
BUSINESS	3.9	16589.0000	9.1	1000000	0	Everyone	Business	4.0.3_and_up
BUSINESS	4.8	148945.0000	25	1000000	0	Everyone	Business	5.0_and_up
BUSINESS	4.5	4458.0000	3.9	500000	0	Everyone	Business	4.1_and_up
BUSINESS	4.4	62272.0000	18	10000000	0	Everyone	Business	4.1_and_up
BUSINESS	4	8941.0000	12	5000000	0	Everyone	Business	4.0.3_and_up
BUSINESS	4.3	46353.0000	21	1000000	0	Everyone	Business	1.5_and_up
BUSINESS	4	1279184.0000	*	50000000	0	Everyone	Business	*
BUSINESS	4.2	88073.0000	*	10000000	0	Everyone	Business	*
BUSINESS	4.5	67000.0000	*	1000000	0	Everyone	Business	4.3_and_up
BUSINESS	4.2	159872.0000	*	10000000	0	Everyone	Business	*
BUSINESS	4.2	30847.0000	55	5000000	0	Everyone	Business	4.1_and_up
BUSINESS	4.6	188841.0000	3.2	5000000	0	Everyone	Business	4.0_and_up
BUSINESS	4.1	11622.0000	*	5000000	0	Everyone	Business	*
BUSINESS	4.6	95912.0000	*	5000000	0	Everyone	Business	*
BUSINESS	3.1	4034.0000	23	100000	0	Everyone	Business	2.2_and_up
BUSINESS	3.9	45964.0000	16	1000000	0	Everyone	Business	4.1_and_up
BUSINESS	4.3	14955.0000	*	1000000	0	Everyone	Business	*
BUSINESS	4.1	6903.0000	14	1000000	0	Everyone	Business	4.1_and_up
BUSINESS	4.4	31614.0000	37	10000000	0	Everyone	Business	4.0_and_up
BUSINESS	4.1	23055.0000	*	5000000	0	Everyone	Business	*
BUSINESS	4.1	19023.0000	*	1000000	0	Everyone	Business	4.1_and_up
BUSINESS	4.5	207372.0000	11	5000000	0	Everyone	Business	4.0_and_up
BUSINESS	4.4	1225.0000	25	100000	0	Everyone	Business	4.1_and_up
BUSINESS	4.4	380837.0000	7.3	10000000	0	Everyone	Business	4.2_and_up
BUSINESS	4.3	10600.0000	6.5	1000000	0	Everyone	Business	4.0_and_up
BUSINESS	4.4	74359.0000	25	1000000	0	Everyone	Business	4.0_and_up
BUSINESS	4.6	822.0000	3.1	100000	0	Everyone	Business	4.0.3_and_up
BUSINESS	4.2	80805.0000	*	5000000	0	Everyone	Business	4.0.3_and_up
BUSINESS	4.4	2287.0000	1.5	1000000	0	Everyone	Business	2.2_and_up
BUSINESS	4.7	4162.0000	7.5	100000	0	Everyone	Business	4.0.3_and_up
BUSINESS	3.8	14760.0000	8.6	50000000	0	Everyone	Business	7.0_and_up
BUSINESS	3.9	23243.0000	*	5000000	0	Everyone	Business	*
BUSINESS	*	9.0000	1.2	100000	0	Everyone	Business	6.0_and_up
BUSINESS	4.3	8978.0000	*	1000000	0	Everyone	Business	*
BUSINESS	4.2	80805.0000	*	5000000	0	Everyone	Business	4.0.3_and_up
BUSINESS	4.4	42492.0000	*	1000000	0	Everyone	Business	*
BUSINESS	4.7	286897.0000	39	10000000	0	Everyone	Business	3.0_and_up
BUSINESS	4.5	103755.0000	14	10000000	0	Everyone	Business	4.1_and_up
BUSINESS	4.2	46505.0000	19	1000000	0	Everyone	Business	4.1_and_up
BUSINESS	4.7	11442.0000	6.8	100000	$4.99	Everyone	Business	4.0_and_up
BUSINESS	4.8	10295.0000	39	100000	$4.99	Everyone	Business	3.0_and_up
BUSINESS	4.2	159872.0000	*	10000000	0	Everyone	Business	*
BUSINESS	4.2	296.0000	14	50000	0	Everyone	Business	4.1_and_up
BUSINESS	4.3	29313.0000	20	5000000	0	Everyone	Business	4.0.3_and_up
BUSINESS	4.4	70991.0000	*	5000000	0	Everyone	Business	4.4_and_up
BUSINESS	4.4	51507.0000	*	5000000	0	Everyone	Business	*
BUSINESS	4.1	1802.0000	26	100000	0	Everyone	Business	4.2_and_up
BUSINESS	3.8	1383.0000	51	100000	0	Everyone	Business	5.0_and_up
BUSINESS	4.3	23175.0000	41	1000000	0	Everyone	Business	4.1_and_up
BUSINESS	3.8	5868.0000	20	500000	0	Everyone	Business	4.1_and_up
BUSINESS	3.5	2111.0000	*	100000	0	Everyone	Business	*
BUSINESS	4.1	5448.0000	12	500000	0	Everyone	Business	5.0_and_up
BUSINESS	4.6	4159.0000	48	500000	0	Everyone	Business	4.0.3_and_up
BUSINESS	4.3	20815.0000	10	1000000	0	Everyone	Business	5.0_and_up
BUSINESS	4.5	78662.0000	22	1000000	0	Everyone	Business	4.4_and_up
BUSINESS	4.1	7149.0000	11	1000000	0	Everyone	Business	4.0_and_up
BUSINESS	4.5	3079.0000	8.5	100000	0	Everyone	Business	4.1_and_up
BUSINESS	4.6	5800.0000	8.6	100000	0	Everyone	Business	4.1_and_up
BUSINESS	4	6989.0000	*	1000000	0	Everyone	Business	4.4_and_up
BUSINESS	4.2	16422.0000	28	1000000	0	Everyone	Business	4.1_and_up
BUSINESS	4.4	108741.0000	28	10000000	0	Everyone	Business	4.3_and_up
BUSINESS	4.4	31614.0000	37	10000000	0	Everyone	Business	4.0_and_up
BUSINESS	4	624.0000	9	100000	0	Everyone	Business	5.0_and_up
BUSINESS	4.2	1661.0000	46	100000	0	Everyone	Business	4.4_and_up
BUSINESS	4.2	97702.0000	*	5000000	0	Everyone	Business	*
BUSINESS	4.1	308.0000	14	50000	0	Everyone	Business	4.0.3_and_up
BUSINESS	4	6989.0000	*	1000000	0	Everyone	Business	4.4_and_up
BUSINESS	3.8	5211.0000	26	1000000	0	Everyone	Business	4.0_and_up
BUSINESS	3.9	1058.0000	23	500000	0	Everyone	Business	5.0_and_up
BUSINESS	3.9	78172.0000	*	10000000	0	Everyone	Business	*
BUSINESS	4.2	159872.0000	*	10000000	0	Everyone	Business	*
BUSINESS	4.2	296.0000	14	50000	0	Everyone	Business	4.1_and_up
BUSINESS	4.3	29313.0000	20	5000000	0	Everyone	Business	4.0.3_and_up
BUSINESS	4.4	70991.0000	*	5000000	0	Everyone	Business	4.4_and_up
BUSINESS	4.4	51507.0000	*	5000000	0	Everyone	Business	*
BUSINESS	4.1	1802.0000	26	100000	0	Everyone	Business	4.2_and_up
BUSINESS	3.8	1383.0000	51	100000	0	Everyone	Business	5.0_and_up
BUSINESS	4.3	23175.0000	41	1000000	0	Everyone	Business	4.1_and_up
BUSINESS	3.8	5868.0000	20	500000	0	Everyone	Business	4.1_and_up
BUSINESS	3.5	2111.0000	*	100000	0	Everyone	Business	*
BUSINESS	4.1	5448.0000	12	500000	0	Everyone	Business	5.0_and_up
BUSINESS	4.6	4159.0000	48	500000	0	Everyone	Business	4.0.3_and_up
BUSINESS	4.3	20815.0000	10	1000000	0	Everyone	Business	5.0_and_up
BUSINESS	4.5	78662.0000	22	1000000	0	Everyone	Business	4.4_and_up
BUSINESS	4.1	7149.0000	11	1000000	0	Everyone	Business	4.0_and_up
BUSINESS	4.5	3079.0000	8.5	100000	0	Everyone	Business	4.1_and_up
BUSINESS	4.6	5800.0000	8.6	100000	0	Everyone	Business	4.1_and_up
BUSINESS	4	6989.0000	*	1000000	0	Everyone	Business	4.4_and_up
BUSINESS	4.2	16422.0000	28	1000000	0	Everyone	Business	4.1_and_up
BUSINESS	4.3	8978.0000	*	1000000	0	Everyone	Business	*
BUSINESS	4.2	80804.0000	*	5000000	0	Everyone	Business	4.0.3_and_up
BUSINESS	4.4	42492.0000	*	1000000	0	Everyone	Business	*
BUSINESS	4.7	286897.0000	39	10000000	0	Everyone	Business	3.0_and_up
BUSINESS	4.5	103755.0000	14	10000000	0	Everyone	Business	4.1_and_up
BUSINESS	4.2	46505.0000	19	1000000	0	Everyone	Business	4.1_and_up
BUSINESS	4.7	11442.0000	6.8	100000	$4.99	Everyone	Business	4.0_and_up
BUSINESS	4.8	10295.0000	39	100000	$4.99	Everyone	Business	3.0_and_up
BUSINESS	4.1	217730.0000	*	50000000	0	Everyone	Business	*
BUSINESS	4.3	1002859.0000	35	100000000	0	Everyone	Business	4.1_and_up
BUSINESS	4.4	51510.0000	*	5000000	0	Everyone	Business	*
BUSINESS	4.5	413.0000	29	10000	0	Everyone	Business	5.0_and_up
BUSINESS	4.3	23175.0000	41	1000000	0	Everyone	Business	4.1_and_up
COICS	4.5	1013635.0000	*	10000000	0	Teen	Coics	*
COICS	4.6	24005.0000	4.9	500000	0	Adults_only_18+	Coics	4.1_and_up
COICS	4.7	57106.0000	27	1000000	0	Teen	Coics	4.1_and_up
