C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32
21.7000	43.0000	24.0000	34.4000	37.7000	33.8000	31.0000	28.6000	38.5000	86.4000	33.5000	84.3000	20.8000	86.9000	58.4000	76.4000	77.4000	48.9000	70.4000	79.5000	20.8000	80.1000	70.0000	53.1000	77.4000	114.3000	70.4000	87.7000	60.2000	90.9000	101.8000	77.2000
45.4000	47.2000	49.8000	38.3000	48.4000	35.9000	17.4000	56.7000	32.5000	98.3000	22.8000	83.4000	35.9000	77.4000	61.9000	85.4000	104.0000	57.6000	87.0000	67.1000	79.9000	100.5000	93.1000	109.4000	88.8000	109.4000	93.9000	99.0000	66.4000	117.1000	105.8000	133.3000
54.9000	44.2000	53.5000	80.9000	25.2000	78.9000	62.8000	61.2000	70.0000	86.5000	64.1000	89.6000	51.1000	77.9000	84.6000	68.9000	20.9000	8.1000	22.4000	27.4000	7.2000	13.3000	9.3000	7.7000	16.4000	23.7000	11.4000	6.4000	21.1000	17.5000	25.5000	49.3000
55.5000	76.7000	52.3000	59.0000	76.5000	65.4000	63.5000	49.7000	60.7000	72.8000	65.2000	79.2000	51.9000	69.6000	33.7000	82.1000	63.6000	117.5000	43.2000	56.0000	124.1000	86.8000	66.7000	60.1000	57.7000	31.6000	69.9000	60.9000	62.6000	101.8000	50.6000	74.0000
52.7000	41.1000	56.1000	80.0000	37.3000	72.7000	66.4000	58.4000	69.1000	78.8000	66.2000	83.8000	61.6000	67.8000	47.3000	68.3000	66.8000	57.9000	69.5000	66.8000	58.6000	60.1000	67.0000	73.8000	69.9000	67.1000	75.3000	53.0000	79.6000	46.4000	45.4000	49.2000
44.2000	32.1000	43.0000	61.9000	31.6000	57.4000	52.7000	59.1000	61.1000	65.2000	55.0000	66.4000	34.7000	59.4000	49.7000	68.6000	60.0000	39.2000	77.9000	72.2000	52.0000	73.7000	63.5000	79.0000	61.6000	53.9000	75.0000	38.7000	69.1000	34.4000	64.7000	108.5000
42.7000	47.2000	41.8000	59.7000	34.3000	56.4000	52.4000	62.9000	55.0000	80.1000	56.9000	65.7000	49.4000	75.8000	44.1000	70.5000	41.9000	62.4000	17.2000	33.8000	56.6000	48.9000	25.7000	28.6000	42.9000	30.3000	29.3000	53.6000	41.3000	100.8000	59.4000	85.3000
39.7000	30.4000	46.4000	58.9000	37.2000	56.6000	50.0000	56.9000	51.7000	63.2000	52.3000	71.7000	57.8000	58.5000	51.0000	69.0000	38.8000	27.7000	53.3000	44.0000	20.3000	19.4000	33.1000	37.7000	39.1000	30.8000	30.9000	23.5000	49.5000	60.2000	57.7000	93.6000
34.6000	37.7000	42.7000	38.9000	31.7000	26.4000	28.3000	38.5000	23.5000	52.8000	30.1000	33.8000	36.4000	30.8000	29.4000	68.1000	31.0000	50.8000	45.3000	54.1000	50.1000	21.5000	20.2000	12.7000	14.6000	24.9000	22.2000	26.2000	22.4000	55.0000	45.3000	100.2000
22.8000	53.8000	24.3000	28.8000	46.8000	20.8000	14.4000	32.4000	29.6000	49.6000	14.2000	34.7000	16.9000	35.2000	29.6000	70.8000	17.7000	101.2000	14.1000	22.2000	106.0000	14.9000	11.7000	10.3000	14.7000	17.0000	9.8000	17.8000	24.9000	46.0000	57.5000	125.8000
27.9000	53.4000	34.5000	56.5000	53.3000	39.7000	31.1000	43.6000	42.0000	56.5000	39.7000	64.7000	41.0000	70.6000	50.8000	82.1000	62.7000	102.1000	78.4000	87.2000	107.8000	54.9000	44.6000	41.1000	46.1000	40.2000	64.9000	31.3000	49.1000	54.5000	99.3000	121.6000
8.2000	50.5000	33.1000	55.1000	54.9000	56.4000	31.9000	37.4000	5.4000	68.3000	35.4000	83.3000	17.9000	78.9000	28.6000	79.0000	36.0000	98.3000	39.0000	43.2000	103.1000	35.6000	35.6000	25.0000	36.0000	44.0000	35.4000	38.8000	54.2000	79.1000	50.0000	82.2000
16.4000	40.6000	26.7000	29.7000	43.1000	11.6000	7.4000	45.8000	15.2000	65.7000	12.0000	70.9000	11.3000	60.9000	15.7000	72.6000	56.3000	70.0000	50.4000	58.8000	70.7000	52.9000	50.2000	52.0000	60.0000	51.9000	51.6000	56.3000	49.4000	74.8000	61.6000	78.1000
36.4000	4.4000	38.0000	68.2000	3.4000	74.0000	65.8000	71.7000	63.8000	73.9000	63.1000	75.9000	53.0000	67.5000	50.7000	68.2000	56.5000	15.6000	39.1000	48.0000	13.1000	51.5000	46.6000	57.2000	49.9000	50.6000	49.4000	57.5000	48.7000	56.7000	61.4000	78.4000
23.7000	5.0000	49.7000	37.9000	7.3000	72.1000	66.4000	74.4000	21.7000	71.7000	61.6000	79.9000	8.5000	66.1000	14.8000	71.7000	32.5000	15.2000	31.0000	27.6000	12.5000	22.5000	15.2000	21.5000	30.0000	28.2000	16.1000	20.7000	27.1000	53.6000	33.2000	45.6000
11.2000	5.5000	36.8000	27.7000	9.4000	61.3000	14.9000	52.3000	29.4000	64.8000	29.4000	77.0000	6.5000	61.5000	28.1000	61.7000	47.5000	29.0000	56.6000	55.0000	27.8000	44.9000	33.2000	38.5000	27.8000	42.3000	36.8000	35.0000	26.0000	35.9000	61.8000	31.1000
6.1000	19.4000	31.2000	56.2000	11.1000	41.0000	23.5000	45.6000	45.0000	65.5000	30.0000	71.1000	8.6000	58.2000	7.6000	62.9000	62.8000	63.2000	38.7000	70.7000	59.3000	73.0000	74.3000	57.5000	40.9000	47.0000	71.2000	59.7000	58.1000	91.8000	44.7000	33.0000
27.5000	19.0000	48.0000	49.4000	20.8000	60.4000	48.1000	69.2000	58.2000	73.4000	51.8000	78.2000	45.7000	56.8000	20.5000	78.8000	73.4000	75.6000	63.2000	57.8000	80.5000	79.0000	63.5000	65.3000	65.8000	92.8000	66.4000	54.8000	69.1000	76.8000	58.8000	25.3000
16.2000	26.7000	13.6000	27.7000	19.5000	8.3000	6.0000	55.5000	12.6000	71.0000	3.8000	79.7000	6.1000	76.7000	22.0000	80.7000	69.8000	78.2000	53.4000	61.3000	70.4000	67.2000	52.0000	87.9000	75.0000	97.3000	34.8000	73.4000	32.3000	89.5000	72.1000	104.4000
5.4000	23.6000	10.3000	9.1000	18.0000	6.3000	5.6000	47.1000	7.7000	74.3000	4.9000	76.6000	4.8000	63.5000	24.4000	65.9000	83.2000	74.5000	45.8000	37.9000	76.8000	72.3000	59.0000	72.5000	72.2000	85.4000	60.2000	73.4000	49.0000	70.4000	79.1000	97.3000
16.6000	31.1000	7.8000	11.1000	22.1000	7.6000	4.4000	49.6000	12.6000	77.8000	4.5000	71.6000	4.6000	68.6000	30.5000	69.2000	56.3000	74.5000	45.7000	56.1000	74.7000	55.7000	57.3000	50.9000	47.5000	63.6000	49.7000	51.3000	39.6000	84.4000	58.8000	78.4000
66.8000	7.6000	64.3000	71.5000	8.3000	80.6000	70.8000	72.8000	77.8000	87.5000	62.9000	82.2000	45.6000	66.4000	16.5000	64.9000	16.3000	21.0000	9.5000	16.3000	18.0000	26.8000	15.1000	18.0000	12.1000	15.9000	17.8000	16.7000	17.7000	58.4000	30.8000	30.8000
69.6000	23.7000	73.5000	74.7000	39.9000	77.6000	74.6000	73.3000	78.7000	78.8000	76.0000	83.7000	65.2000	72.2000	32.2000	68.9000	49.6000	77.8000	22.6000	36.7000	83.7000	64.4000	46.3000	57.4000	40.4000	23.9000	61.1000	40.5000	54.3000	82.5000	39.4000	47.5000
62.4000	35.2000	69.8000	74.2000	19.1000	77.1000	74.8000	71.0000	75.8000	80.3000	76.6000	81.2000	65.4000	73.7000	32.0000	66.0000	27.6000	73.2000	16.3000	34.3000	77.1000	24.7000	21.5000	8.0000	28.7000	29.1000	20.7000	11.6000	26.4000	38.8000	55.1000	34.9000
32.9000	11.6000	50.6000	69.2000	16.4000	72.2000	51.1000	64.2000	66.4000	83.4000	41.4000	80.1000	15.5000	66.7000	17.2000	72.2000	73.9000	45.2000	78.7000	96.2000	68.2000	77.8000	75.2000	79.4000	67.5000	89.9000	80.0000	66.1000	57.7000	84.8000	75.4000	99.2000
64.2000	12.8000	69.3000	74.0000	3.4000	62.2000	54.1000	67.5000	78.8000	81.7000	60.5000	75.0000	41.0000	64.2000	38.9000	73.2000	21.5000	39.8000	23.9000	29.7000	20.5000	15.0000	13.3000	27.9000	55.8000	70.4000	12.7000	2.9000	32.8000	53.1000	68.0000	90.4000
44.8000	12.9000	51.9000	71.1000	8.7000	70.2000	56.4000	71.8000	77.0000	86.6000	57.3000	72.3000	50.5000	80.1000	26.0000	74.6000	21.3000	32.7000	7.5000	17.4000	50.2000	33.2000	22.7000	20.8000	26.7000	14.5000	26.6000	26.2000	35.6000	73.8000	61.8000	34.0000
54.6000	23.5000	50.2000	72.7000	42.2000	63.8000	56.4000	73.0000	75.7000	83.7000	62.0000	82.0000	61.5000	71.3000	41.1000	70.4000	76.6000	69.5000	70.6000	75.3000	74.5000	73.3000	71.4000	73.1000	63.4000	71.1000	75.6000	62.5000	73.6000	77.9000	72.5000	44.0000
14.2000	50.8000	49.7000	42.2000	46.1000	32.3000	22.7000	74.5000	68.0000	81.3000	19.4000	82.8000	16.2000	80.9000	48.5000	63.7000	36.0000	4.2000	25.5000	32.9000	6.9000	29.3000	31.2000	34.5000	25.4000	29.0000	32.9000	31.0000	37.3000	41.3000	31.2000	26.6000
48.1000	58.0000	71.6000	68.2000	60.4000	57.0000	56.7000	67.3000	68.2000	83.5000	39.4000	91.2000	60.3000	64.9000	64.7000	58.4000	3.9000	1.2000	7.6000	8.5000	3.5000	6.0000	2.3000	6.9000	9.3000	14.4000	6.0000	4.8000	12.9000	5.4000	6.0000	25.5000
16.3000	41.8000	35.6000	55.6000	43.9000	34.8000	33.3000	54.9000	25.1000	64.4000	14.0000	85.5000	17.3000	76.0000	36.0000	83.6000	56.8000	71.0000	58.7000	64.1000	77.1000	39.1000	42.0000	35.6000	58.1000	39.0000	38.2000	60.6000	42.6000	78.3000	43.6000	77.0000
21.0000	30.2000	48.5000	37.0000	36.6000	51.6000	37.0000	67.3000	14.3000	66.0000	11.5000	88.1000	16.4000	73.5000	28.7000	68.3000	49.8000	59.4000	27.3000	37.5000	69.4000	57.2000	50.0000	57.6000	36.6000	45.6000	48.5000	54.8000	70.2000	71.0000	52.9000	70.8000
40.8000	79.4000	68.3000	69.7000	75.3000	68.7000	46.1000	80.6000	73.8000	83.2000	48.4000	82.3000	49.9000	74.3000	45.2000	87.7000	59.5000	32.4000	33.4000	47.7000	27.4000	39.6000	37.1000	53.6000	49.1000	73.3000	39.9000	31.6000	48.3000	29.1000	37.4000	65.4000
28.8000	71.2000	42.1000	54.8000	29.6000	73.6000	52.1000	59.9000	19.7000	75.2000	44.9000	86.2000	17.5000	69.4000	33.4000	86.1000	39.6000	43.3000	33.7000	35.3000	53.2000	34.8000	25.6000	23.4000	27.8000	23.1000	26.0000	34.7000	37.9000	62.0000	43.3000	67.8000
17.3000	38.5000	40.5000	56.2000	29.6000	62.2000	47.0000	62.3000	26.1000	79.7000	50.4000	90.7000	16.7000	70.6000	37.2000	72.6000	30.3000	34.5000	29.0000	26.7000	39.3000	25.3000	17.6000	20.5000	23.1000	29.8000	21.7000	25.8000	26.7000	38.9000	33.4000	35.0000
15.9000	3.4000	45.8000	56.1000	19.0000	61.1000	45.5000	56.8000	38.7000	69.6000	42.5000	82.8000	21.7000	64.2000	7.5000	70.0000	11.8000	11.7000	10.5000	12.4000	10.6000	9.9000	8.8000	13.1000	18.6000	11.7000	10.5000	13.3000	15.0000	41.3000	18.7000	39.1000
62.3000	79.6000	72.2000	83.2000	79.6000	79.3000	71.5000	75.6000	82.4000	85.4000	73.2000	87.8000	64.4000	75.8000	68.4000	67.6000	41.5000	61.7000	64.2000	45.9000	74.6000	42.2000	52.5000	50.6000	40.4000	44.2000	58.5000	23.7000	44.1000	35.5000	63.8000	55.3000
23.3000	68.3000	42.4000	47.5000	76.9000	65.4000	56.7000	71.7000	61.3000	77.3000	61.6000	90.9000	16.6000	81.6000	31.2000	83.7000	77.6000	64.2000	73.3000	74.9000	77.7000	68.2000	65.5000	72.4000	60.7000	84.5000	70.1000	58.5000	67.8000	71.4000	60.4000	89.1000
16.9000	16.2000	50.2000	25.9000	26.9000	70.8000	29.7000	64.7000	65.1000	75.1000	38.8000	94.9000	7.2000	85.1000	34.2000	75.4000	15.8000	58.0000	25.7000	32.0000	68.5000	20.8000	9.7000	13.4000	20.5000	25.8000	13.9000	10.8000	24.7000	37.6000	61.5000	42.3000
9.2000	75.9000	59.3000	52.7000	81.0000	62.0000	39.1000	64.1000	58.0000	72.9000	40.3000	73.3000	16.8000	72.0000	41.9000	66.1000	18.7000	62.4000	69.7000	37.5000	72.6000	8.1000	3.7000	8.8000	7.0000	18.0000	5.8000	9.1000	23.2000	25.4000	56.0000	38.3000
34.7000	44.6000	34.6000	51.6000	45.9000	48.8000	44.4000	44.6000	24.6000	46.1000	47.1000	44.2000	40.1000	20.9000	12.1000	66.7000	8.1000	41.6000	31.3000	18.8000	52.1000	11.8000	12.3000	6.5000	8.5000	24.9000	14.9000	7.4000	19.1000	39.7000	27.8000	58.7000
30.1000	52.2000	42.4000	50.4000	49.0000	45.7000	41.4000	43.7000	42.6000	50.6000	42.6000	45.9000	44.2000	47.8000	21.3000	68.7000	4.5000	11.8000	26.8000	9.0000	23.2000	8.4000	8.2000	10.2000	19.7000	8.6000	9.9000	3.3000	19.1000	43.9000	53.4000	62.9000
31.1000	25.6000	28.0000	35.9000	30.9000	43.6000	41.6000	44.9000	42.8000	42.5000	44.0000	41.1000	42.6000	63.8000	26.0000	66.6000	12.1000	53.2000	46.8000	15.8000	59.2000	10.2000	9.0000	10.4000	17.6000	19.3000	12.0000	12.1000	19.2000	70.1000	57.4000	86.8000
26.2000	29.7000	24.2000	30.7000	22.7000	39.7000	32.5000	42.6000	35.8000	38.8000	37.0000	36.2000	34.9000	71.4000	21.6000	77.8000	8.1000	47.8000	10.3000	9.2000	27.8000	6.4000	4.7000	7.0000	10.8000	8.9000	7.0000	6.2000	14.2000	71.2000	55.4000	87.4000
25.7000	9.2000	24.1000	33.5000	43.7000	47.6000	41.3000	45.1000	39.8000	46.7000	40.5000	41.7000	41.4000	69.1000	28.0000	80.3000	12.0000	56.5000	7.8000	12.6000	66.5000	24.5000	28.9000	28.4000	12.0000	18.8000	28.7000	13.5000	29.6000	68.1000	56.1000	88.2000
20.5000	53.1000	23.1000	35.7000	37.1000	44.5000	35.2000	47.8000	38.3000	40.0000	41.3000	50.0000	34.2000	71.3000	35.9000	69.8000	32.8000	49.8000	23.6000	33.3000	49.3000	39.1000	43.4000	49.9000	33.0000	35.1000	46.8000	36.7000	40.4000	44.3000	43.1000	81.6000
32.8000	63.7000	39.5000	46.9000	59.7000	40.6000	32.3000	34.6000	33.9000	58.0000	35.8000	54.0000	39.7000	50.6000	41.1000	59.6000	40.0000	60.5000	24.7000	56.7000	73.8000	29.3000	25.9000	27.3000	21.6000	50.9000	28.0000	23.4000	32.5000	48.1000	42.4000	86.2000
54.4000	41.1000	41.0000	61.2000	36.1000	62.4000	51.3000	60.2000	36.4000	77.1000	56.4000	76.1000	57.1000	69.0000	32.7000	71.0000	63.7000	58.2000	34.4000	58.9000	71.0000	61.0000	52.7000	50.2000	44.5000	54.6000	56.3000	45.7000	51.4000	70.9000	34.6000	73.2000
19.6000	7.6000	25.1000	23.1000	5.4000	30.7000	25.2000	47.3000	19.5000	78.8000	25.4000	72.2000	14.5000	66.0000	23.5000	60.4000	19.4000	8.3000	17.9000	21.0000	5.6000	20.1000	14.9000	20.8000	13.1000	24.4000	16.3000	41.9000	21.2000	36.1000	37.2000	29.7000
62.3000	55.4000	62.8000	79.0000	67.8000	71.4000	65.9000	70.3000	73.1000	85.7000	70.4000	86.2000	66.1000	72.5000	66.9000	69.4000	27.3000	30.8000	41.4000	37.2000	28.0000	12.5000	19.4000	17.5000	15.7000	34.1000	20.5000	6.3000	32.4000	9.9000	26.9000	44.1000
36.5000	55.3000	56.4000	51.6000	55.3000	66.4000	55.1000	68.7000	43.9000	82.2000	49.5000	80.7000	28.6000	81.0000	39.3000	74.6000	50.8000	50.7000	44.5000	48.0000	52.2000	55.1000	51.1000	55.5000	53.6000	57.6000	53.9000	44.0000	49.3000	50.6000	39.0000	69.6000
60.6000	53.2000	47.9000	70.5000	55.0000	67.8000	63.0000	66.1000	72.4000	81.8000	67.7000	83.5000	61.4000	78.3000	43.3000	70.1000	63.4000	60.6000	56.7000	59.2000	67.2000	54.2000	52.4000	54.0000	36.9000	55.4000	53.6000	49.9000	57.3000	60.3000	48.1000	74.9000
52.3000	42.5000	48.8000	65.5000	28.4000	71.2000	62.8000	66.9000	70.5000	81.4000	66.7000	88.9000	64.2000	76.1000	15.2000	72.5000	18.7000	31.2000	10.9000	15.2000	35.5000	33.7000	29.3000	36.9000	27.9000	22.9000	34.2000	18.0000	31.5000	36.0000	16.1000	35.6000
11.0000	56.8000	27.4000	53.8000	35.0000	71.3000	39.2000	62.7000	41.3000	81.4000	28.1000	89.0000	11.2000	73.5000	13.8000	70.6000	27.8000	73.3000	15.3000	27.6000	70.7000	22.2000	16.0000	9.5000	21.5000	18.3000	16.5000	26.0000	18.7000	39.0000	32.8000	35.0000
58.5000	13.8000	49.2000	85.6000	14.5000	82.8000	73.7000	78.1000	61.4000	81.9000	72.6000	90.5000	55.1000	70.0000	1.5000	73.8000	6.0000	12.0000	3.1000	7.1000	12.8000	9.7000	6.2000	7.9000	7.0000	4.7000	8.3000	7.2000	13.1000	26.0000	5.1000	21.9000
38.3000	4.7000	42.7000	71.7000	6.4000	79.9000	75.8000	82.1000	74.2000	79.8000	68.9000	80.7000	37.2000	76.1000	24.6000	67.3000	19.6000	13.1000	30.0000	25.0000	10.1000	18.4000	11.9000	13.7000	16.6000	19.8000	14.1000	12.8000	17.5000	22.3000	23.5000	35.0000
