C1	C2	C3	C4	C5	C6	C7	C8
-26402.0000	-26369.0000	-26374.0000	-26401.0000	-26451.0000	-26489.0000	-26509.0000	-26491.0000
-26424.0000	-26303.0000	-26141.0000	-25952.0000	-25764.0000	-25609.0000	-25509.0000	-25496.0000
-25569.0000	-25726.0000	-25944.0000	-26189.0000	-26424.0000	-26626.0000	-26761.0000	-26834.0000
-26841.0000	-26809.0000	-26759.0000	-26709.0000	-26674.0000	-26653.0000	-26653.0000	-26644.0000
-26619.0000	-26566.0000	-26469.0000	-26326.0000	-26141.0000	-25919.0000	-25671.0000	-25404.0000
-25144.0000	-24652.0000	-24454.0000	-24276.0000	-24152.0000	-24074.0000	-24059.0000	-24094.0000
-24169.0000	-24256.0000	-24337.0000	-24394.0000	-24419.0000	-24419.0000	-24401.0000	-24386.0000
-24389.0000	-24426.0000	-24504.0000	-24626.0000	-24786.0000	-24976.0000	-25169.0000	-25349.0000
-25496.0000	-25607.0000	-25671.0000	-25709.0000	-25739.0000	-25774.0000	-25828.0000	-25903.0000
-25996.0000	-26099.0000	-26199.0000	-26284.0000	-26351.0000	-26396.0000	-26434.0000	-26466.0000
-26506.0000	-26556.0000	-26616.0000	-26691.0000	-26761.0000	-26819.0000	-26853.0000	-26864.0000
-26841.0000	-26799.0000	-26716.0000	-26609.0000	-26459.0000	-26266.0000	-26049.0000	-25821.0000
-25616.0000	-25471.0000	-25401.0000	-25429.0000	-25549.0000	-25746.0000	-25994.0000	-26264.0000
-26527.0000	-26764.0000	-26951.0000	-27069.0000	-27111.0000	-27076.0000	-26984.0000	-26859.0000
-26741.0000	-26659.0000	-26628.0000	-26656.0000	-26734.0000	-26831.0000	-26928.0000	-27006.0000
-27066.0000	-27119.0000	-27169.0000	-27236.0000	-27314.0000	-27399.0000	-27478.0000	-27541.0000
-27576.0000	-27589.0000	-27577.0000	-27549.0000	-27501.0000	-27434.0000	-27346.0000	-27228.0000
-27084.0000	-26919.0000	-26731.0000	-26536.0000	-26346.0000	-26181.0000	-26046.0000	-25951.0000
-25899.0000	-25896.0000	-25924.0000	-25977.0000	-26027.0000	-26066.0000	-26074.0000	-26044.0000
-25971.0000	-25853.0000	-25686.0000	-25481.0000	-25251.0000	-25026.0000	-24836.0000	-24724.0000
-24729.0000	-24856.0000	-25099.0000	-25434.0000	-25802.0000	-26149.0000	-26431.0000	-26628.0000
-26744.0000	-26791.0000	-26803.0000	-26806.0000	-26811.0000	-26821.0000	-26811.0000	-26764.0000
-26669.0000	-26511.0000	-26311.0000	-26074.0000	-25821.0000	-25571.0000	-25326.0000	-25096.0000
-24869.0000	-24536.0000	-24399.0000	-24239.0000	-24079.0000	-23942.0000	-23846.0000	-23796.0000
-23794.0000	-23814.0000	-23856.0000	-23904.0000	-23954.0000	-24009.0000	-24059.0000	-24109.0000
-24151.0000	-24199.0000	-24256.0000	-24339.0000	-24451.0000	-24591.0000	-24749.0000	-24894.0000
-25011.0000	-25086.0000	-25132.0000	-25171.0000	-25232.0000	-25334.0000	-25481.0000	-25651.0000
-25824.0000	-25977.0000	-26096.0000	-26194.0000	-26264.0000	-26311.0000	-26346.0000	-26361.0000
-26374.0000	-26403.0000	-26461.0000	-26546.0000	-26646.0000	-26734.0000	-26789.0000	-26816.0000
-26816.0000	-26814.0000	-26814.0000	-26802.0000	-26764.0000	-26691.0000	-26584.0000	-26469.0000
-26378.0000	-26353.0000	-26412.0000	-26546.0000	-26728.0000	-26916.0000	-27066.0000	-27153.0000
-27181.0000	-27166.0000	-27114.0000	-27028.0000	-26916.0000	-26761.0000	-26574.0000	-26376.0000
-26216.0000	-26149.0000	-26199.0000	-26356.0000	-26591.0000	-26834.0000	-27036.0000	-27169.0000
-27231.0000	-27251.0000	-27253.0000	-27271.0000	-27299.0000	-27321.0000	-27321.0000	-27278.0000
-27203.0000	-27112.0000	-27021.0000	-26953.0000	-26916.0000	-26899.0000	-26896.0000	-26891.0000
-26881.0000	-26861.0000	-26819.0000	-26759.0000	-26669.0000	-26559.0000	-26441.0000	-26344.0000
-26278.0000	-26249.0000	-26246.0000	-26239.0000	-26199.0000	-26114.0000	-25978.0000	-25836.0000
-25716.0000	-25651.0000	-25636.0000	-25644.0000	-25639.0000	-25579.0000	-25444.0000	-25257.0000
-25057.0000	-24914.0000	-24892.0000	-25021.0000	-25291.0000	-25661.0000	-26061.0000	-26416.0000
-26681.0000	-26846.0000	-26903.0000	-26881.0000	-26794.0000	-26644.0000	-26449.0000	-26216.0000
-25964.0000	-25703.0000	-25456.0000	-25239.0000	-25057.0000	-24921.0000	-24814.0000	-24726.0000
-24644.0000	-24274.0000	-24189.0000	-24076.0000	-23971.0000	-23921.0000	-23941.0000	-24046.0000
-24204.0000	-24379.0000	-24549.0000	-24669.0000	-24726.0000	-24714.0000	-24629.0000	-24489.0000
-24327.0000	-24186.0000	-24107.0000	-24104.0000	-24176.0000	-24301.0000	-24446.0000	-24571.0000
-24649.0000	-24669.0000	-24659.0000	-24664.0000	-24741.0000	-24917.0000	-25179.0000	-25479.0000
-25759.0000	-25984.0000	-26166.0000	-26324.0000	-26478.0000	-26611.0000	-26681.0000	-26656.0000
-26551.0000	-26436.0000	-26391.0000	-26461.0000	-26616.0000	-26794.0000	-26916.0000	-26956.0000
-26936.0000	-26896.0000	-26878.0000	-26866.0000	-26844.0000	-26806.0000	-26776.0000	-26786.0000
-26866.0000	-27014.0000	-27194.0000	-27374.0000	-27514.0000	-27577.0000	-27536.0000	-27374.0000
-27116.0000	-26811.0000	-26509.0000	-26256.0000	-26069.0000	-25926.0000	-25824.0000	-25756.0000
-25749.0000	-25831.0000	-26014.0000	-26262.0000	-26528.0000	-26746.0000	-26877.0000	-26911.0000
-26889.0000	-26851.0000	-26831.0000	-26844.0000	-26881.0000	-26909.0000	-26889.0000	-26809.0000
-26671.0000	-26503.0000	-26346.0000	-26228.0000	-26161.0000	-26149.0000	-26191.0000	-26296.0000
-26464.0000	-26689.0000	-26936.0000	-27156.0000	-27286.0000	-27303.0000	-27214.0000	-27069.0000
-26936.0000	-26853.0000	-26828.0000	-26814.0000	-26734.0000	-26544.0000	-26244.0000	-25891.0000
-25586.0000	-25404.0000	-25379.0000	-25484.0000	-25639.0000	-25749.0000	-25728.0000	-25544.0000
-25219.0000	-24851.0000	-24574.0000	-24529.0000	-24774.0000	-25264.0000	-25887.0000	-26489.0000
-26939.0000	-27176.0000	-27199.0000	-27024.0000	-26694.0000	-26261.0000	-25786.0000	-25334.0000
-24971.0000	-24714.0000	-24554.0000	-24461.0000	-24401.0000	-24361.0000	-24342.0000	-24331.0000
-24319.0000	-24049.0000	-23961.0000	-23856.0000	-23809.0000	-23876.0000	-24069.0000	-24356.0000
-24686.0000	-25014.0000	-25289.0000	-25486.0000	-25569.0000	-25514.0000	-25339.0000	-25086.0000
-24846.0000	-24686.0000	-24634.0000	-24659.0000	-24709.0000	-24751.0000	-24766.0000	-24774.0000
-24784.0000	-24786.0000	-24784.0000	-24791.0000	-24849.0000	-24994.0000	-25226.0000	-25499.0000
-25749.0000	-25946.0000	-26116.0000	-26319.0000	-26581.0000	-26853.0000	-27019.0000	-26978.0000
-26744.0000	-26436.0000	-26241.0000	-26261.0000	-26469.0000	-26706.0000	-26827.0000	-26806.0000
-26728.0000	-26701.0000	-26746.0000	-26791.0000	-26759.0000	-26674.0000	-26639.0000	-26749.0000
-26996.0000	-27251.0000	-27399.0000	-27399.0000	-27321.0000	-27266.0000	-27264.0000	-27246.0000
-27149.0000	-26931.0000	-26639.0000	-26341.0000	-26103.0000	-25959.0000	-25909.0000	-25971.0000
-26128.0000	-26352.0000	-26569.0000	-26694.0000	-26671.0000	-26496.0000	-26219.0000	-25921.0000
-25676.0000	-25509.0000	-25429.0000	-25414.0000	-25446.0000	-25514.0000	-25599.0000	-25676.0000
-25739.0000	-25784.0000	-25839.0000	-25911.0000	-25996.0000	-26078.0000	-26139.0000	-26199.0000
-26303.0000	-26478.0000	-26721.0000	-26981.0000	-27203.0000	-27341.0000	-27374.0000	-27336.0000
-27269.0000	-27227.0000	-27228.0000	-27234.0000	-27169.0000	-26976.0000	-26653.0000	-26264.0000
-25927.0000	-25709.0000	-25629.0000	-25636.0000	-25666.0000	-25654.0000	-25556.0000	-25326.0000
-24946.0000	-24499.0000	-24164.0000	-24139.0000	-24531.0000	-25241.0000	-26009.0000	-26549.0000
-26714.0000	-26528.0000	-26139.0000	-25687.0000	-25239.0000	-24821.0000	-24454.0000	-24184.0000
-24039.0000	-24017.0000	-24056.0000	-24086.0000	-24076.0000	-24046.0000	-24041.0000	-24059.0000
-24079.0000	-23839.0000	-23721.0000	-23667.0000	-23751.0000	-23971.0000	-24231.0000	-24434.0000
-24549.0000	-24617.0000	-24696.0000	-24814.0000	-24934.0000	-24994.0000	-24971.0000	-24894.0000
-24836.0000	-24839.0000	-24907.0000	-24971.0000	-24959.0000	-24851.0000	-24699.0000	-24606.0000
-24619.0000	-24709.0000	-24806.0000	-24864.0000	-24914.0000	-25009.0000	-25182.0000	-25409.0000
-25629.0000	-25809.0000	-25949.0000	-26109.0000	-26328.0000	-26581.0000	-26784.0000	-26819.0000
-26669.0000	-26434.0000	-26303.0000	-26394.0000	-26671.0000	-26931.0000	-27002.0000	-26884.0000
-26766.0000	-26826.0000	-27053.0000	-27219.0000	-27131.0000	-26841.0000	-26636.0000	-26751.0000
-27141.0000	-27511.0000	-27589.0000	-27353.0000	-27049.0000	-26909.0000	-26986.0000	-27131.0000
-27166.0000	-27021.0000	-26766.0000	-26503.0000	-26291.0000	-26136.0000	-26046.0000	-26051.0000
-26166.0000	-26331.0000	-26436.0000	-26369.0000	-26069.0000	-25596.0000	-25082.0000	-24661.0000
-24419.0000	-24329.0000	-24312.0000	-24301.0000	-24292.0000	-24306.0000	-24381.0000	-24489.0000
-24589.0000	-24669.0000	-24769.0000	-24929.0000	-25139.0000	-25349.0000	-25484.0000	-25539.0000
-25567.0000	-25634.0000	-25777.0000	-25989.0000	-26266.0000	-26591.0000	-26924.0000	-27194.0000
-27352.0000	-27381.0000	-27341.0000	-27284.0000	-27206.0000	-27077.0000	-26876.0000	-26666.0000
-26552.0000	-26569.0000	-26664.0000	-26706.0000	-26619.0000	-26434.0000	-26196.0000	-25896.0000
-25464.0000	-24901.0000	-24399.0000	-24256.0000	-24649.0000	-25421.0000	-26126.0000	-26346.0000
-25953.0000	-25186.0000	-24429.0000	-23931.0000	-23714.0000	-23651.0000	-23639.0000	-23659.0000
-23726.0000	-23829.0000	-23899.0000	-23896.0000	-23846.0000	-23819.0000	-23849.0000	-23907.0000
-23919.0000	-23646.0000	-23676.0000	-23894.0000	-24292.0000	-24709.0000	-24924.0000	-24841.0000
-24557.0000	-24284.0000	-24194.0000	-24319.0000	-24556.0000	-24789.0000	-24931.0000	-24956.0000
-24879.0000	-24761.0000	-24639.0000	-24546.0000	-24451.0000	-24349.0000	-24267.0000	-24249.0000
-24301.0000	-24369.0000	-24421.0000	-24481.0000	-24616.0000	-24879.0000	-25216.0000	-25546.0000
-25807.0000	-25984.0000	-26119.0000	-26244.0000	-26371.0000	-26524.0000	-26694.0000	-26861.0000
-26961.0000	-26944.0000	-26828.0000	-26739.0000	-26759.0000	-26856.0000	-26891.0000	-26799.0000
-26703.0000	-26786.0000	-27039.0000	-27216.0000	-27052.0000	-26624.0000	-26294.0000	-26374.0000
-26803.0000	-27201.0000	-27256.0000	-27006.0000	-26739.0000	-26651.0000	-26681.0000	-26614.0000
-26364.0000	-26053.0000	-25864.0000	-25881.0000	-26016.0000	-26131.0000	-26156.0000	-26111.0000
-26049.0000	-25978.0000	-25861.0000	-25639.0000	-25299.0000	-24884.0000	-24494.0000	-24254.0000
-24217.0000	-24336.0000	-24484.0000	-24539.0000	-24496.0000	-24459.0000	-24499.0000	-24592.0000
-24634.0000	-24574.0000	-24464.0000	-24404.0000	-24434.0000	-24476.0000	-24444.0000	-24351.0000
-24301.0000	-24386.0000	-24619.0000	-24949.0000	-25344.0000	-25821.0000	-26356.0000	-26844.0000
-27144.0000	-27203.0000	-27111.0000	-27021.0000	-27024.0000	-27081.0000	-27091.0000	-27034.0000
-26989.0000	-27053.0000	-27186.0000	-27246.0000	-27141.0000	-26941.0000	-26781.0000	-26671.0000
-26426.0000	-25891.0000	-25176.0000	-24661.0000	-24671.0000	-25124.0000	-25576.0000	-25584.0000
-25076.0000	-24379.0000	-23881.0000	-23742.0000	-23807.0000	-23864.0000	-23809.0000	-23701.0000
-23619.0000	-23566.0000	-23501.0000	-23421.0000	-23381.0000	-23431.0000	-23556.0000	-23667.0000
-23689.0000	-23607.0000	-23724.0000	-24032.0000	-24467.0000	-24824.0000	-24907.0000	-24669.0000
-24301.0000	-24084.0000	-24151.0000	-24424.0000	-24721.0000	-24929.0000	-25016.0000	-24959.0000
-24757.0000	-24457.0000	-24174.0000	-24016.0000	-23976.0000	-24001.0000	-24064.0000	-24146.0000
-24234.0000	-24276.0000	-24284.0000	-24379.0000	-24661.0000	-25096.0000	-25506.0000	-25739.0000
-25774.0000	-25719.0000	-25711.0000	-25819.0000	-26011.0000	-26236.0000	-26471.0000	-26734.0000
-26989.0000	-27109.0000	-26936.0000	-26524.0000	-26114.0000	-25936.0000	-25974.0000	-26061.0000
-26089.0000	-26159.0000	-26346.0000	-26569.0000	-26634.0000	-26503.0000	-26356.0000	-26366.0000
-26471.0000	-26466.0000	-26261.0000	-25994.0000	-25853.0000	-25849.0000	-25814.0000	-25607.0000
-25276.0000	-25001.0000	-24911.0000	-24989.0000	-25132.0000	-25242.0000	-25284.0000	-25259.0000
-25166.0000	-25014.0000	-24811.0000	-24606.0000	-24424.0000	-24276.0000	-24167.0000	-24124.0000
-24189.0000	-24334.0000	-24439.0000	-24381.0000	-24176.0000	-23961.0000	-23906.0000	-24021.0000
-24171.0000	-24236.0000	-24239.0000	-24284.0000	-24404.0000	-24484.0000	-24386.0000	-24131.0000
-23896.0000	-23851.0000	-24001.0000	-24251.0000	-24549.0000	-24919.0000	-25401.0000	-25949.0000
-26439.0000	-26746.0000	-26856.0000	-26856.0000	-26881.0000	-26994.0000	-27116.0000	-27149.0000
-27089.0000	-27036.0000	-27051.0000	-27061.0000	-26966.0000	-26816.0000	-26766.0000	-26859.0000
-26894.0000	-26596.0000	-25927.0000	-25191.0000	-24759.0000	-24709.0000	-24791.0000	-24709.0000
-24416.0000	-24119.0000	-24009.0000	-24064.0000	-24104.0000	-23994.0000	-23791.0000	-23606.0000
-23494.0000	-23411.0000	-23309.0000	-23206.0000	-23179.0000	-23264.0000	-23417.0000	-23539.0000
-23587.0000	-23594.0000	-23529.0000	-23561.0000	-23721.0000	-23936.0000	-24061.0000	-24034.0000
-23954.0000	-23996.0000	-24221.0000	-24496.0000	-24636.0000	-24601.0000	-24471.0000	-24312.0000
-24134.0000	-23964.0000	-23899.0000	-23982.0000	-24117.0000	-24201.0000	-24237.0000	-24299.0000
-24379.0000	-24404.0000	-24374.0000	-24421.0000	-24649.0000	-25009.0000	-25346.0000	-25569.0000
-25644.0000	-25571.0000	-25394.0000	-25264.0000	-25301.0000	-25484.0000	-25659.0000	-25791.0000
-25924.0000	-26049.0000	-26059.0000	-25919.0000	-25777.0000	-25781.0000	-25927.0000	-26039.0000
-26026.0000	-25971.0000	-26031.0000	-26249.0000	-26531.0000	-26724.0000	-26734.0000	-26544.0000
-26186.0000	-25789.0000	-25476.0000	-25304.0000	-25189.0000	-25021.0000	-24821.0000	-24711.0000
-24726.0000	-24767.0000	-24699.0000	-24506.0000	-24319.0000	-24226.0000	-24226.0000	-24249.0000
-24236.0000	-24161.0000	-24042.0000	-23919.0000	-23856.0000	-23861.0000	-23901.0000	-23939.0000
-23986.0000	-24041.0000	-24051.0000	-23961.0000	-23766.0000	-23561.0000	-23456.0000	-23476.0000
-23542.0000	-23579.0000	-23601.0000	-23739.0000	-24039.0000	-24374.0000	-24519.0000	-24382.0000
-24117.0000	-23919.0000	-23849.0000	-23879.0000	-23982.0000	-24182.0000	-24509.0000	-24971.0000
-25554.0000	-26166.0000	-26624.0000	-26794.0000	-26746.0000	-26726.0000	-26846.0000	-26996.0000
-27016.0000	-26919.0000	-26836.0000	-26806.0000	-26764.0000	-26666.0000	-26609.0000	-26652.0000
-26716.0000	-26603.0000	-26211.0000	-25641.0000	-25129.0000	-24814.0000	-24669.0000	-24561.0000
-24427.0000	-24304.0000	-24226.0000	-24157.0000	-24039.0000	-23879.0000	-23739.0000	-23657.0000
-23604.0000	-23516.0000	-23374.0000	-23226.0000	-23151.0000	-23211.0000	-23384.0000	-23561.0000
-23636.0000	-23644.0000	-23529.0000	-23504.0000	-23591.0000	-23734.0000	-23869.0000	-23967.0000
-24029.0000	-24126.0000	-24291.0000	-24424.0000	-24404.0000	-24234.0000	-24041.0000	-23911.0000
-23851.0000	-23874.0000	-23999.0000	-24194.0000	-24354.0000	-24424.0000	-24474.0000	-24586.0000
-24714.0000	-24716.0000	-24621.0000	-24604.0000	-24769.0000	-25046.0000	-25311.0000	-25564.0000
-25762.0000	-25747.0000	-25464.0000	-25141.0000	-25041.0000	-25149.0000	-25284.0000	-25376.0000
-25454.0000	-25464.0000	-25381.0000	-25354.0000	-25567.0000	-25944.0000	-26201.0000	-26211.0000
-26089.0000	-25977.0000	-25939.0000	-26009.0000	-26224.0000	-26486.0000	-26559.0000	-26278.0000
-25799.0000	-25467.0000	-25466.0000	-25571.0000	-25421.0000	-24957.0000	-24501.0000	-24386.0000
-24531.0000	-24599.0000	-24411.0000	-24129.0000	-23996.0000	-24026.0000	-24076.0000	-24042.0000
-23976.0000	-23926.0000	-23884.0000	-23821.0000	-23769.0000	-23771.0000	-23809.0000	-23829.0000
-23809.0000	-23781.0000	-23751.0000	-23729.0000	-23739.0000	-23769.0000	-23784.0000	-23757.0000
-23701.0000	-23616.0000	-23491.0000	-23421.0000	-23554.0000	-23874.0000	-24176.0000	-24284.0000
-24234.0000	-24154.0000	-24086.0000	-24006.0000	-23959.0000	-24026.0000	-24186.0000	-24394.0000
-24696.0000	-25164.0000	-25684.0000	-26006.0000	-26074.0000	-26101.0000	-26271.0000	-26474.0000
-26499.0000	-26349.0000	-26201.0000	-26171.0000	-26207.0000	-26241.0000	-26259.0000	-26269.0000
