C1	C2	C3
-1.1442	0.4383	*
1.1571	0.3617	1.0000
3.7625	0.3987	1.0000
-2.0640	0.3152	1.0000
-5.2167	0.1777	1.0000
-5.8167	0.0462	1.0000
-2.5750	0.1319	1.0000
-8.0955	0.2195	1.0000
-8.1375	0.0785	1.0000
-28.5200	0.2389	*
-17.0812	0.1641	1.0000
-18.0911	0.3209	1.0000
-15.0326	0.2507	1.0000
-12.9412	0.3818	1.0000
-10.8921	0.1326	1.0000
-12.2194	0.2849	1.0000
-3.7479	0.2065	1.0000
-14.9421	0.3696	*
-16.0626	0.3357	*
-16.0626	0.3357	*
