BUDAPEST	BARANYA	BACS	BEKES	BORSOD	CSONGRAD	FEJER	GYOR	HAJDU	HEVES	JASZ	KOMAROM	NOGRAD	PEST	SOMOGY	SZABOLCS	TOLNA	VAS	VESZPREM	ZALA
186	38	49	39	49	68	39	54	37	30	45	70	22	126	28	73	62	42	62	67
266	72	34	14	22	149	66	69	34	22	120	38	58	143	22	48	92	24	136	30
240	78	118	106	59	109	26	51	25	34	82	87	31	151	35	63	58	36	54	51
162	60	55	23	15	118	30	85	44	28	34	25	30	105	14	30	51	18	58	37
264	60	80	47	15	99	47	70	61	44	68	88	57	145	28	45	25	35	47	40
133	51	65	23	65	51	32	66	54	26	64	51	50	134	19	41	118	34	39	31
201	63	56	43	8	26	39	63	30	43	52	46	27	130	28	55	84	24	35	12
236	70	25	5	50	27	22	118	72	19	23	41	14	89	19	37	26	24	34	26
111	21	25	6	28	32	8	24	17	11	24	15	5	49	7	17	11	9	7	20
76	54	16	12	17	3	6	29	22	6	2	8	7	24	9	17	23	13	7	9
52	19	7	4	8	16	2	23	4	6	3	1	4	29	3	12	9	5	4	6
30	5	3	4	4	11	0	12	14	2	8	7	5	15	4	3	5	1	4	1
30	16	1	4	6	9	4	4	13	3	6	12	3	4	6	2	5	3	1	0
74	1	4	4	5	1	1	2	1	4	1	2	1	6	1	9	0	1	2	0
45	5	0	8	3	2	2	2	2	1	1	4	0	4	2	1	0	0	0	0
41	1	0	2	2	6	2	2	2	4	0	0	2	17	2	2	0	0	3	2
20	5	2	4	1	5	2	1	1	3	1	4	2	1	4	3	1	2	2	0
15	3	1	5	4	0	0	1	3	4	2	6	2	4	1	5	0	1	2	2
11	7	0	1	3	3	6	3	3	2	7	4	2	7	1	6	1	1	5	1
10	3	4	5	12	1	2	7	8	9	10	8	9	12	6	10	3	2	1	3
9	6	3	11	11	9	6	5	7	2	12	3	12	8	3	7	2	0	3	10
35	1	2	3	16	4	0	9	16	11	15	13	19	29	6	6	5	7	7	10
20	4	9	6	24	11	7	7	16	13	27	4	4	29	8	24	2	1	4	4
19	3	10	7	16	19	25	8	31	7	17	5	17	23	4	13	0	4	10	12
51	9	18	8	6	7	20	11	46	25	33	9	7	46	5	14	1	5	1	6
53	16	19	21	39	20	37	9	22	28	53	11	15	47	7	42	1	4	15	18
77	15	39	18	33	17	24	12	42	36	44	4	18	71	38	14	4	9	13	13
62	24	14	20	39	18	50	13	16	56	41	7	62	94	15	7	8	29	10	16
93	17	26	25	10	7	61	31	57	54	55	14	41	127	55	46	10	12	19	11
78	24	28	24	37	39	101	31	33	50	59	6	59	99	49	21	7	23	29	32
82	52	10	34	22	31	79	35	44	68	42	22	8	103	51	16	11	30	32	35
84	53	44	33	31	11	40	41	36	105	59	11	46	125	87	5	18	9	43	32
58	21	24	46	15	30	43	35	32	82	20	4	1	68	25	1	13	1	48	24
114	39	24	76	25	28	97	65	71	138	65	13	30	179	82	1	17	13	47	42
145	63	56	35	61	98	66	59	65	210	72	42	106	205	84	53	17	59	59	63
93	38	46	93	160	21	26	56	55	103	36	10	56	118	37	38	12	34	29	36
129	50	46	125	44	38	116	67	40	151	50	24	64	155	56	46	36	5	48	67
114	55	55	155	71	48	54	66	45	110	45	34	46	175	66	61	14	21	73	54
86	49	39	75	125	22	36	58	63	126	78	34	36	135	65	125	37	15	118	70
127	58	73	114	52	26	36	74	26	116	126	28	60	86	60	33	29	36	64	35
106	62	37	117	144	89	90	87	85	147	81	29	96	224	71	57	39	56	122	45
211	79	40	87	96	40	49	71	50	150	93	59	38	211	63	37	23	60	59	29
229	53	77	86	107	67	93	116	39	173	111	48	112	214	49	46	36	36	85	42
145	65	22	64	110	25	31	63	56	74	56	25	47	136	22	26	28	7	92	24
210	109	89	140	72	105	88	128	66	184	109	35	108	279	55	74	6	55	101	39
267	90	61	163	96	89	85	107	94	111	80	90	77	255	54	37	38	59	76	64
166	68	69	66	138	21	66	90	83	86	54	70	30	209	37	26	21	39	107	27
168	89	59	58	114	77	57	92	44	111	58	74	43	160	31	30	12	21	76	42
350	121	63	84	284	86	78	106	80	146	53	32	71	290	63	80	73	54	98	44
224	41	60	111	157	29	72	94	69	85	27	50	106	204	19	43	59	22	75	51
136	60	66	23	88	46	20	60	15	18	12	18	76	105	22	70	10	11	42	37
278	137	91	53	23	70	59	110	129	142	83	46	107	257	30	65	79	29	90	45
161	118	145	61	93	103	46	123	76	67	54	75	88	210	30	72	35	21	69	54
385	141	75	87	174	90	63	108	119	101	65	59	73	198	47	39	73	10	84	49
230	38	91	76	82	30	36	113	113	40	26	55	68	149	26	76	56	8	54	32
284	116	79	62	161	58	61	56	150	92	45	54	100	220	29	113	51	17	55	32
210	75	65	80	129	47	13	57	120	40	11	56	59	125	25	14	22	7	32	16
125	73	47	18	34	61	13	61	75	25	9	21	25	131	29	28	20	8	71	11
104	34	67	16	68	39	29	49	73	15	20	26	21	101	15	24	13	4	18	12
140	25	23	29	80	21	10	24	47	15	6	11	18	65	14	10	11	3	15	9
99	21	16	27	33	3	6	27	33	14	8	10	11	30	9	14	11	3	19	0
35	8	19	90	33	5	5	7	14	2	7	11	6	29	8	1	10	1	6	0
14	17	19	2	30	15	3	5	9	9	12	18	8	19	2	14	4	2	6	0
34	9	6	3	14	14	0	4	13	2	8	2	3	9	2	4	5	1	5	2
7	4	5	2	7	3	0	33	2	1	2	2	1	7	1	9	2	0	5	0
7	1	6	0	21	2	2	7	4	6	3	1	1	5	2	0	0	1	4	0
4	1	1	3	4	1	0	4	4	0	3	0	0	3	5	1	0	0	2	3
4	1	2	1	8	1	2	6	4	0	4	2	0	19	1	1	4	3	0	0
10	4	4	2	14	0	3	2	1	3	2	3	0	1	2	1	4	0	0	0
6	1	2	2	3	0	3	3	1	3	0	1	4	2	0	0	0	1	4	1
6	4	2	1	5	0	5	3	3	3	0	2	3	6	0	1	4	0	0	1
12	11	4	2	8	6	9	5	6	1	1	13	2	10	3	3	7	1	5	0
20	5	6	11	11	2	12	4	11	2	4	2	0	31	1	5	13	1	5	0
14	13	12	12	38	6	16	13	15	1	3	15	7	34	2	55	8	2	3	6
33	10	20	19	50	6	13	22	33	3	6	16	12	32	3	17	8	3	12	8
20	14	34	13	20	7	6	12	42	1	5	10	9	33	7	4	13	0	18	4
25	9	9	20	25	0	4	6	37	4	1	2	19	28	2	44	8	0	18	7
93	20	48	37	63	9	26	30	58	1	2	11	29	91	15	31	19	7	25	21
72	22	34	41	49	10	25	22	63	1	6	4	27	95	20	35	38	3	38	20
54	21	29	37	70	1	17	32	34	7	6	24	11	83	7	64	14	2	15	10
175	50	40	37	74	24	44	27	67	37	14	15	32	99	40	47	24	5	29	13
126	34	36	33	54	10	46	35	82	23	14	55	33	78	28	17	14	3	39	18
60	27	52	30	51	2	71	42	155	27	26	22	25	108	66	77	10	0	27	15
193	36	38	60	82	4	40	86	96	12	19	48	14	82	44	28	8	5	51	11
68	15	31	3	34	2	59	43	106	23	35	15	0	46	6	170	9	3	38	13
183	41	57	138	126	7	42	32	22	11	35	78	21	167	50	69	10	3	37	12
156	68	34	86	143	15	124	68	22	46	38	70	39	197	45	110	10	1	29	13
479	76	95	57	202	31	76	137	214	73	38	160	74	431	113	203	27	8	131	21
143	50	71	94	209	11	37	33	80	15	57	28	34	87	24	82	4	0	37	11
193	20	48	129	61	15	55	43	73	16	26	34	8	143	26	71	6	7	48	13
105	24	18	50	104	27	43	47	38	7	31	47	25	114	33	93	12	0	32	1
136	33	17	12	62	20	73	41	39	35	30	27	4	90	24	58	11	6	27	5
91	39	52	9	66	15	102	49	114	37	38	27	21	109	42	70	11	7	26	5
150	46	26	8	76	26	105	35	48	37	50	15	26	146	40	73	10	14	25	22
82	42	70	21	85	26	73	69	71	18	45	26	49	95	40	51	9	3	53	11
64	50	32	105	78	18	84	53	40	20	56	39	25	98	24	69	15	5	50	18
100	31	50	34	55	31	84	150	85	17	31	47	69	108	12	78	8	6	52	18
95	78	18	18	127	15	104	87	52	27	51	26	19	123	42	49	10	3	48	10
136	64	44	71	64	48	130	160	93	44	86	60	55	114	30	55	24	2	52	21
80	78	65	37	42	8	122	102	47	51	39	28	26	76	32	66	12	10	38	4
122	42	51	58	119	41	101	73	75	23	104	31	37	156	10	60	15	7	47	22
117	60	134	47	101	90	164	106	62	55	80	14	39	115	57	46	52	10	54	14
84	19	18	31	36	14	49	40	49	20	9	82	4	45	11	14	24	10	16	1
133	93	69	57	108	41	123	97	69	97	114	23	33	70	39	115	28	31	65	11
62	63	111	35	64	4	55	49	59	26	69	31	17	50	32	43	34	1	21	19
211	103	70	59	91	109	98	98	86	110	58	72	42	85	97	23	34	9	82	14
143	77	81	24	55	89	134	68	130	76	50	60	11	71	46	50	40	42	33	7
128	145	34	66	127	53	63	74	92	49	83	30	23	129	19	63	37	10	40	12
105	96	51	12	70	23	78	85	112	24	39	65	15	70	63	15	90	41	29	7
140	69	31	30	56	43	43	40	68	21	46	55	7	50	21	30	25	18	29	2
51	35	34	11	69	43	45	43	53	29	43	58	8	93	28	13	31	20	25	10
70	68	15	0	21	32	30	28	51	5	19	34	10	47	14	4	7	18	15	5
46	14	17	18	13	11	16	16	53	14	46	23	13	50	14	14	22	18	23	1
17	8	9	13	36	16	8	23	41	8	17	18	3	18	9	33	29	8	6	13
21	17	10	7	18	11	3	12	4	7	91	18	11	3	9	10	6	12	11	1
51	4	5	0	8	9	14	17	5	7	10	8	4	15	6	1	13	7	4	3
22	2	7	2	11	1	4	12	4	3	5	10	3	11	3	18	1	9	5	3
11	1	5	6	13	1	5	8	5	2	4	2	4	4	8	18	7	2	4	1
3	0	1	1	4	1	1	4	1	2	1	4	0	4	1	1	1	3	2	0
10	2	2	1	6	1	0	5	0	1	1	2	0	3	0	0	2	2	8	3
4	1	2	4	2	1	2	1	2	2	3	2	0	3	0	1	5	0	4	2
3	0	8	2	4	0	1	0	3	0	1	0	0	4	3	1	0	9	3	5
9	0	5	1	6	6	1	6	1	1	0	3	1	15	1	1	8	0	13	1
14	1	9	3	7	3	2	0	5	1	4	7	2	6	3	1	5	3	16	9
12	4	9	0	21	5	1	2	1	4	6	6	4	12	1	1	4	6	19	5
22	2	34	10	33	25	4	9	8	9	9	12	6	15	3	7	3	24	45	0
43	4	20	16	53	17	15	13	9	14	18	14	9	27	8	3	4	14	47	5
27	3	0	3	3	17	6	17	5	9	16	2	14	34	7	4	5	32	30	25
67	7	72	11	41	17	8	19	13	6	23	1	15	23	10	9	1	15	45	4
78	9	25	4	45	16	5	33	15	9	35	24	19	30	10	8	18	3	50	30
61	13	19	24	52	22	4	22	24	6	31	12	17	45	10	5	10	15	44	2
62	8	35	4	39	32	8	35	16	3	24	6	60	15	12	15	25	1	37	22
40	29	17	34	56	27	6	41	14	38	39	11	44	48	15	11	17	41	36	5
98	17	23	19	34	19	9	55	28	13	18	23	34	41	15	23	16	13	42	4
110	20	14	42	108	14	17	54	26	29	94	12	52	35	69	41	12	8	35	49
142	42	20	37	65	49	14	78	40	27	65	52	53	70	40	73	16	40	71	17
53	20	3	20	14	13	2	29	14	13	35	9	3	13	19	12	3	36	53	13
39	18	1	8	32	0	2	67	28	13	55	9	44	65	12	48	16	0	27	10
304	42	58	57	69	57	18	136	81	36	144	63	86	125	103	17	56	141	123	24
300	23	66	44	355	79	18	68	62	36	97	26	35	143	77	74	14	65	26	10
115	49	40	9	112	31	13	51	21	22	51	50	58	75	42	13	13	52	37	8
176	62	44	53	100	46	5	56	67	48	65	27	65	107	54	74	13	42	61	23
176	41	25	23	71	70	14	44	83	30	42	19	49	102	102	26	29	77	45	15
157	57	42	25	64	67	11	73	78	51	91	39	43	103	57	86	44	31	103	13
188	47	64	57	74	77	8	45	97	49	86	46	45	142	87	39	44	45	43	6
128	94	55	75	71	42	34	79	117	79	89	53	59	125	60	88	66	135	65	55
165	73	46	35	97	65	3	50	119	52	85	58	58	124	66	32	43	99	49	22
129	59	51	64	125	45	13	68	50	51	104	48	38	161	26	162	70	75	57	17
197	52	38	65	67	87	16	68	92	49	67	24	87	173	31	47	105	54	59	5
129	22	46	34	65	148	34	85	102	49	72	55	34	155	40	62	21	87	69	5
217	113	41	29	55	199	31	35	88	95	76	75	64	168	65	75	50	108	37	51
109	45	53	16	74	102	54	124	89	19	107	28	40	35	38	44	39	54	32	14
212	68	42	39	219	111	37	34	71	53	43	32	23	120	58	93	51	53	41	17
265	25	152	74	156	173	61	129	127	119	92	50	69	193	47	33	40	78	45	25
149	46	30	38	73	52	22	42	40	53	44	31	52	159	53	61	81	81	31	82
143	70	37	59	96	108	45	90	135	54	51	36	30	176	59	27	35	78	12	9
165	39	72	56	114	146	35	69	118	69	42	55	20	117	68	13	71	100	76	2
198	47	46	68	69	38	49	48	149	32	109	42	21	100	34	43	21	135	18	43
197	20	70	47	123	93	48	51	162	38	68	65	17	138	20	47	52	29	22	52
211	45	50	46	99	48	57	53	148	7	48	19	16	115	42	38	56	21	24	5
177	22	40	55	76	115	28	42	262	86	67	59	25	105	18	31	49	55	13	42
168	55	52	59	69	42	21	57	127	53	48	33	25	135	21	16	21	72	9	13
110	41	20	39	36	62	36	48	146	46	23	38	50	182	14	8	34	53	8	4
65	17	42	15	20	36	12	52	84	53	42	21	21	72	17	16	12	40	7	51
104	26	0	14	87	62	11	17	117	36	30	22	12	72	6	29	9	17	8	18
85	6	25	21	35	54	12	11	86	13	23	13	22	55	11	5	15	16	13	1
54	3	23	4	6	34	3	12	17	21	7	6	7	41	9	6	4	5	3	21
18	24	4	19	21	4	13	7	12	8	6	6	2	29	2	1	14	4	5	4
16	10	5	3	6	4	0	5	6	9	3	1	1	32	4	2	4	3	3	8
14	2	0	4	13	3	5	0	32	3	3	9	2	11	3	0	4	1	4	1
7	1	0	3	4	3	0	6	0	4	0	1	1	1	1	1	0	0	1	4
27	1	4	3	2	1	1	1	0	5	1	0	0	19	4	2	0	2	8	2
16	1	0	5	2	6	1	3	0	1	3	3	2	6	0	0	0	0	2	0
11	2	0	1	6	3	3	0	0	4	6	0	3	4	0	4	0	0	2	1
2	0	2	2	6	1	3	4	1	1	1	2	0	13	2	2	1	0	2	1
4	0	1	1	6	4	6	5	3	2	1	2	9	8	1	8	0	3	3	2
7	2	6	0	1	15	4	6	3	0	4	4	2	5	5	5	3	3	4	0
15	5	9	1	10	7	10	9	6	3	2	3	1	12	1	4	4	5	2	0
30	6	3	3	3	33	10	6	10	0	6	7	4	20	6	5	9	4	6	3
31	10	10	3	11	31	10	6	8	6	3	5	2	36	7	9	8	25	2	15
25	4	12	13	9	11	10	14	32	12	15	6	0	30	2	5	10	4	8	3
50	1	22	24	31	36	23	8	40	11	13	21	1	27	7	8	8	12	3	31
37	3	4	10	22	10	17	10	43	16	16	24	1	30	5	1	15	16	3	13
59	8	9	13	16	44	15	16	21	2	35	6	1	30	8	2	6	6	14	25
58	9	25	14	37	21	46	28	26	43	33	50	4	46	22	9	19	18	10	18
42	31	17	20	34	8	19	40	48	10	25	11	12	126	13	10	14	16	2	27
91	38	43	11	69	21	38	33	39	26	36	35	17	96	20	19	24	13	4	55
86	46	39	12	17	17	21	28	64	10	24	27	9	102	17	20	10	15	4	24
41	50	3	11	28	4	15	6	19	8	32	16	6	55	8	3	21	1	0	8
47	28	19	13	55	8	34	18	38	31	16	22	4	48	13	16	0	10	4	11
166	37	50	6	43	53	83	31	95	30	69	26	16	88	23	1	42	20	32	26
113	23	52	11	28	23	33	21	44	24	29	30	14	62	18	14	21	5	13	12
62	56	20	11	33	29	40	21	46	18	27	23	13	81	9	13	8	13	11	8
82	103	52	3	42	29	48	38	77	33	54	33	23	96	41	14	9	40	35	15
56	50	26	12	59	4	46	43	31	40	54	22	12	99	59	22	15	35	43	2
46	47	82	12	42	17	34	31	46	35	67	22	38	129	25	3	21	10	75	7
48	127	87	9	93	24	31	46	63	47	112	34	11	104	39	42	38	26	29	5
124	83	102	13	63	32	37	62	76	20	83	61	20	113	39	44	18	11	42	2
74	101	118	15	35	12	24	38	40	41	59	22	9	128	18	77	29	4	41	7
116	68	86	13	54	17	61	95	109	26	98	83	13	124	25	89	13	10	36	5
120	135	96	17	37	52	51	64	113	28	68	43	11	137	1	2	14	3	41	4
101	123	110	16	145	41	72	72	86	25	92	85	29	190	34	34	26	14	83	2
121	112	88	11	85	55	63	93	108	24	58	55	26	148	36	30	59	13	57	16
160	80	108	17	52	11	34	75	54	15	52	52	11	143	23	22	35	17	39	6
199	140	96	28	105	61	101	78	94	17	53	39	26	272	23	39	73	32	118	25
147	106	238	17	79	39	75	84	81	12	47	81	16	214	33	63	26	18	71	13
130	116	117	18	40	19	55	70	74	5	43	49	19	191	37	22	55	18	105	15
175	96	167	4	82	28	78	81	71	42	34	52	37	243	33	32	17	14	101	20
156	115	62	27	78	58	56	59	93	11	28	43	20	151	23	12	47	9	133	14
185	102	160	25	65	17	65	85	68	42	37	95	20	216	27	3	15	29	99	11
123	17	83	17	54	2	33	59	46	18	87	37	26	145	18	3	42	7	141	30
151	84	135	11	68	49	99	97	68	35	78	52	41	221	36	8	46	8	126	31
150	74	94	8	48	36	46	70	49	28	120	52	17	205	55	3	39	9	102	13
169	66	57	25	44	33	77	104	21	24	84	80	21	168	35	9	61	4	97	26
154	42	31	17	70	32	72	42	61	50	103	54	8	253	48	61	39	5	120	50
68	25	43	12	24	29	36	35	23	7	44	20	15	97	26	8	19	7	43	11
93	44	48	21	51	13	29	54	21	20	71	20	8	70	37	40	23	7	50	24
74	34	16	8	26	11	49	48	7	12	19	18	3	56	31	10	4	4	33	6
56	16	6	4	8	3	13	24	12	1	16	2	4	37	12	9	17	10	40	9
35	19	6	2	12	16	3	21	9	4	10	1	2	26	19	9	7	2	33	5
24	3	3	2	6	6	3	10	4	0	7	3	3	7	2	1	7	0	5	6
11	2	4	0	7	4	10	5	3	0	8	2	7	8	12	1	0	0	12	3
35	7	4	2	5	15	4	1	3	1	5	2	1	4	6	0	0	1	4	4
11	1	0	5	13	0	1	0	0	2	8	3	1	1	1	1	2	0	4	6
22	0	2	1	6	1	2	1	1	0	3	0	2	8	4	1	3	2	0	3
8	1	1	1	1	0	1	0	3	0	2	2	2	6	4	0	4	0	2	4
5	2	1	1	4	2	3	0	3	2	2	0	2	3	3	4	0	6	0	0
23	0	13	2	2	1	2	2	0	1	6	1	1	12	5	2	2	2	3	18
27	10	4	3	1	8	0	2	2	2	16	3	0	18	7	0	0	15	4	1
33	5	10	5	4	4	2	1	3	8	6	6	2	46	14	1	8	10	8	24
74	9	31	5	8	10	1	2	1	10	42	4	3	36	29	12	14	3	12	11
57	23	3	18	9	5	5	4	1	3	53	19	9	36	24	9	0	12	8	35
95	43	30	45	22	8	4	0	3	2	45	11	1	56	63	5	16	9	15	60
73	16	2	12	7	8	7	3	15	20	43	18	8	58	20	3	3	23	8	29
171	44	25	36	32	20	5	3	36	26	65	23	22	108	67	6	3	9	20	33
206	28	24	30	25	3	17	5	28	12	65	23	5	75	33	6	55	51	39	75
144	29	14	61	35	31	12	8	10	32	79	8	13	118	26	2	13	20	25	31
155	18	49	86	15	37	24	4	26	10	55	27	12	85	38	26	39	30	43	22
191	52	49	24	25	26	6	17	20	18	98	30	16	115	15	15	12	41	91	49
125	45	54	46	20	44	10	26	45	13	97	23	17	114	12	28	17	20	63	35
157	36	24	78	53	28	24	8	15	10	94	19	11	74	20	18	34	7	45	58
121	41	20	28	36	13	35	20	26	10	105	42	8	93	11	42	9	7	104	71
59	35	35	26	25	16	30	38	25	7	68	18	29	155	4	17	1	27	68	16
333	38	41	149	93	72	26	52	35	22	90	63	13	240	27	14	32	115	55	86
145	18	15	95	66	24	29	27	25	5	152	55	19	86	13	67	7	3	38	56
208	51	28	34	65	65	22	86	34	6	107	39	9	93	22	52	38	50	70	41
174	31	23	76	61	24	20	57	28	17	67	24	11	108	15	40	8	27	60	43
128	28	31	47	79	42	64	76	43	8	101	34	18	145	28	62	41	44	69	21
190	53	17	76	63	58	41	42	46	41	136	41	5	77	16	38	43	9	88	46
228	46	32	102	164	72	54	67	55	22	82	61	14	189	24	102	43	30	98	35
149	37	46	44	93	53	69	41	24	30	135	28	4	142	26	48	47	10	42	46
181	43	45	55	173	10	57	63	47	38	161	51	6	140	41	125	39	34	132	35
131	51	24	37	95	36	61	51	59	25	112	55	6	120	43	56	11	31	153	42
227	58	29	43	192	22	73	48	56	82	106	74	29	312	82	184	53	17	90	43
158	38	19	54	144	150	96	38	58	57	89	28	2	199	37	97	36	25	75	49
168	37	34	42	171	133	67	60	62	63	87	52	7	143	45	66	14	14	116	41
181	53	48	38	109	78	114	55	83	57	79	39	10	145	57	88	13	27	74	54
138	41	28	37	72	14	54	60	92	30	58	37	2	106	41	40	33	2	73	22
129	28	45	73	75	25	51	50	49	38	47	20	3	195	31	33	8	11	74	18
161	49	87	33	158	54	92	51	153	47	79	52	2	149	46	167	15	11	85	65
121	17	71	53	101	71	58	60	119	90	62	18	9	172	21	128	22	14	102	32
128	55	101	31	109	95	71	52	69	60	57	47	35	152	31	100	7	2	100	40
150	8	71	49	132	74	42	50	138	95	42	64	3	152	23	72	21	5	104	44
146	62	86	33	127	39	73	34	124	120	41	42	44	141	44	54	44	6	85	45
115	29	64	45	118	48	56	25	108	97	46	38	27	93	23	52	39	8	72	26
120	38	46	47	64	52	42	19	38	82	43	23	20	68	16	48	34	9	60	19
140	21	46	37	89	24	53	23	92	57	57	33	4	95	16	40	12	10	50	28
73	23	51	7	36	95	22	21	36	37	12	21	12	61	18	19	5	3	39	37
91	10	42	7	31	27	35	28	21	39	11	14	3	103	23	67	26	24	37	6
71	3	16	5	35	17	21	23	24	21	8	14	5	65	7	11	0	0	16	15
61	1	10	2	27	8	15	14	20	43	9	11	4	16	14	4	5	4	33	9
19	11	8	0	26	1	6	4	6	24	14	6	3	21	10	5	0	1	9	15
16	2	5	0	8	4	4	6	15	12	1	2	2	6	4	4	1	1	13	5
