Elevation	Aspect	Slope	Horiz-hydr	Vert-hydr	Horiz-road	Shade9	Shade12	Shade3	Horiz-Fire	Type
2778	197	19	300	42	1158	212	252	168	631	2
2501	327	25	124	26	792	152	204	187	666	6
2546	69	14	295	9	1211	234	211	106	4146	2
3141	320	16	541	2	2064	177	223	186	481	1
3039	343	13	124	28	4734	192	219	165	514	1
2651	206	27	365	-2	437	193	252	180	759	2
2801	293	14	150	52	2402	179	236	197	659	1
2290	76	15	30	9	216	237	211	101	450	3
3114	323	2	30	0	953	213	236	161	1749	1
3059	15	5	108	11	2922	216	230	152	1530	2
2629	357	23	30	11	1507	177	191	146	1061	1
2928	242	21	391	108	1189	174	252	210	153	2
3195	160	5	60	0	2553	225	241	150	977	1
3083	149	11	420	-25	6524	235	239	134	2982	2
2658	38	9	0	0	2154	221	221	135	4657	2
2621	10	11	297	58	466	209	219	147	1753	2
2758	34	14	42	12	2979	217	209	124	2274	2
2727	23	7	408	28	60	216	225	145	741	5
2388	77	22	150	62	947	241	194	72	1302	6
2755	315	14	42	7	2164	182	228	185	685	2
3243	16	6	216	14	5911	215	227	149	977	1
2952	118	11	95	15	5500	239	230	119	1816	1
2952	206	7	0	0	4554	216	247	166	5464	2
3161	291	21	300	101	1505	155	231	214	2343	2
2979	168	19	60	10	4756	231	244	136	3336	1
3172	200	18	661	82	272	210	253	171	2697	2
2787	155	17	67	0	3029	238	239	126	2400	2
3047	0	1	60	0	3193	217	236	156	532	2
2917	219	23	210	92	2363	187	254	195	1991	2
3066	298	10	446	-2	2100	191	236	186	2477	2
2758	104	6	108	5	997	230	233	136	2313	2
3271	297	14	60	19	4607	181	235	194	805	1
3016	285	25	594	202	1900	144	231	223	785	2
2694	159	11	67	12	1800	231	242	141	1044	2
2815	72	24	162	30	228	239	187	67	1500	2
3266	332	21	60	22	2106	165	208	180	1972	2
2988	262	5	607	92	5543	207	242	173	4246	2
2979	314	19	108	8	2297	164	221	195	949	2
3466	127	7	702	181	2305	233	235	135	1318	1
2929	292	4	319	50	3744	207	239	170	5313	2
3128	324	6	60	9	2308	204	233	168	2131	2
3033	241	15	300	125	2618	190	251	198	1605	2
3073	314	25	543	276	2510	146	212	202	1448	1
3218	300	17	607	122	1382	172	231	199	2318	1
2915	358	6	430	7	3314	211	229	156	3828	2
2853	240	35	228	144	2307	133	243	229	912	2
3156	264	2	256	12	5924	214	240	164	942	1
2699	10	14	297	98	933	204	212	143	1890	2
2878	357	19	210	72	808	187	202	150	1973	2
2358	313	12	42	5	1235	189	231	182	631	6
3170	106	26	170	64	1369	253	199	57	2329	1
3117	19	11	553	-27	420	212	217	141	1847	1
3133	326	5	120	9	4729	206	234	166	2643	2
3197	131	14	162	16	1863	242	232	116	1518	1
2979	256	17	361	53	5282	178	248	207	1614	2
3260	58	8	540	-1	4202	226	224	132	2539	1
3260	240	15	417	122	976	190	251	197	4597	2
2901	110	12	30	5	3264	241	226	112	1932	2
3112	306	17	60	11	1248	171	228	196	2257	1
3204	116	12	192	29	1683	241	228	115	1559	1
2900	66	6	60	3	2368	226	228	137	240	2
2954	202	7	0	0	1189	217	246	165	480	1
2975	102	15	42	10	4648	243	220	102	2533	2
2814	349	29	270	86	1082	153	178	154	1910	2
2825	164	10	234	24	2577	230	243	145	2574	2
3228	289	9	607	81	2524	196	239	183	350	1
2695	12	9	295	1	808	211	221	147	1082	2
2920	96	14	192	48	4383	242	218	103	3518	1
2883	118	11	466	36	4030	239	230	119	5815	2
3124	231	12	256	10	2481	201	251	186	484	2
2920	38	17	474	101	1473	218	202	114	2783	2
3029	260	13	180	-5	2630	188	247	197	1370	2
2391	315	2	60	8	553	213	237	162	677	6
2662	24	9	228	43	1908	216	222	142	2248	6
3326	27	25	323	111	1992	201	178	102	2128	1
3010	122	7	67	9	2761	233	234	134	573	1
2888	54	18	618	109	1172	227	200	100	2585	2
2860	95	27	120	33	5455	251	189	49	4468	2
3019	57	20	390	-5	2356	230	195	90	1842	1
3027	60	11	458	49	5332	229	216	119	6193	1
3579	40	29	997	355	2472	208	162	72	1423	1
3190	64	11	365	-16	1928	230	217	118	2924	2
3242	138	14	190	30	1692	240	235	121	1897	1
2885	24	11	379	43	2583	214	216	137	1095	1
2882	157	6	60	2	3787	227	241	148	3822	2
2651	42	6	30	3	1804	221	227	141	277	2
2721	335	26	180	102	1316	154	196	176	1911	6
2904	67	14	192	-23	666	233	211	106	2096	2
3077	69	14	509	75	900	234	211	106	1144	2
2846	73	16	277	9	360	237	209	99	1654	2
3221	347	22	391	55	721	174	200	161	1873	1
2885	11	8	30	5	5047	211	223	148	1249	2
3325	46	17	514	160	3507	223	201	107	1879	7
2801	138	31	85	49	3730	248	212	67	5675	2
3029	50	4	618	186	2142	222	231	145	2800	2
2933	154	16	192	18	1875	237	239	127	1535	1
2919	157	4	240	-19	5678	224	240	151	3636	2
3044	69	19	577	234	900	236	200	88	1024	2
3098	139	13	108	22	4544	240	235	123	1107	1
3027	29	16	90	6	3944	213	204	123	2499	1
3014	100	30	350	147	6313	252	185	38	3984	2
3126	29	12	607	-38	4186	216	213	131	4420	1
2742	334	6	170	19	2496	206	232	164	6887	1
3292	264	15	824	141	3268	182	246	202	933	1
3254	73	9	769	53	3976	231	223	124	2721	1
2895	79	12	488	147	1168	236	217	110	1362	2
2999	25	11	309	-8	2597	215	217	138	1312	1
3086	250	5	85	9	6004	209	243	172	2508	1
3283	90	1	564	49	518	220	237	153	816	1
2907	191	20	90	43	1120	215	251	161	474	2
3249	55	4	433	154	5092	222	231	145	1860	1
3153	0	9	30	5	1414	207	223	154	696	1
3217	72	9	624	196	2650	231	222	123	3013	1
2827	52	24	60	-2	285	224	180	76	1631	2
2598	155	15	218	60	1148	236	240	130	1121	3
3160	61	12	390	42	2922	230	215	117	930	1
3083	313	22	240	42	1982	154	216	199	1786	2
2657	4	18	192	50	930	194	202	143	3036	2
3004	92	6	313	52	4311	230	231	135	2008	2
3262	152	26	573	163	469	241	230	100	4325	2
2824	19	12	95	21	3137	211	214	138	4831	2
3109	126	12	60	1	2094	241	231	118	2512	1
2949	344	10	459	108	977	201	225	163	2060	2
3247	180	1	175	20	4198	219	239	157	2388	7
3143	135	4	228	9	4265	226	238	147	1826	2
3226	113	29	417	187	3600	254	196	47	2132	1
3213	275	18	228	41	4070	168	241	211	1477	1
3414	170	14	633	85	1266	230	245	143	3977	1
2906	99	14	242	26	3245	242	220	104	4436	2
2971	179	11	30	-2	1452	225	247	153	591	2
2705	87	4	134	25	1575	226	233	142	3439	2
3157	337	10	685	111	5324	199	227	167	990	2
2897	183	14	510	97	2403	223	249	155	1798	2
3014	162	10	789	105	5908	230	243	144	5514	2
3247	110	13	210	26	3669	242	225	109	3449	1
3052	6	5	60	13	1740	214	230	154	3266	2
2696	114	10	108	31	1892	238	230	122	6584	2
3189	113	9	421	73	2329	236	231	126	2823	1
2951	44	15	418	101	2581	222	205	113	2462	2
2365	125	13	150	34	212	241	230	116	700	3
3357	96	6	564	66	2026	231	231	133	2835	2
3019	183	22	330	98	1365	220	248	151	957	2
3151	120	28	408	134	3395	254	204	57	1984	1
3181	28	19	660	-5	1812	209	195	116	2028	1
2618	198	5	319	73	1678	218	244	161	1869	3
3269	294	17	95	17	4529	172	234	202	741	1
3013	0	6	270	28	1958	212	229	155	1348	2
2795	133	9	0	0	469	235	236	131	2477	2
2410	214	29	216	140	1224	180	252	193	524	6
2740	78	7	190	40	2296	229	228	132	6664	2
2966	140	8	134	13	1050	233	238	137	153	2
2403	37	23	170	57	488	212	183	96	659	2
3319	53	32	120	66	4051	219	155	46	4147	7
2646	265	8	30	0	679	200	244	182	1595	2
2854	108	20	0	0	1158	250	213	82	1465	1
2520	70	5	95	2	594	225	230	140	5588	5
3298	34	17	636	192	3221	215	201	117	649	1
3515	158	27	120	-37	3221	237	232	106	1140	7
3202	270	8	42	5	3046	199	243	183	474	1
3123	90	8	270	80	5161	232	228	129	573	1
2028	289	34	30	24	210	109	215	235	516	3
2944	313	22	361	125	4840	156	217	199	331	2
2715	97	11	85	10	1249	239	224	114	743	1
3266	167	17	67	7	1181	232	244	137	1134	1
2210	2	16	384	151	469	195	207	147	391	3
3034	128	8	582	69	5522	233	235	134	6028	1
2955	31	13	319	13	4578	216	212	129	3401	1
3026	72	6	60	8	1292	227	228	136	2613	1
3093	58	9	175	46	2930	227	221	128	5948	1
3142	88	15	175	36	3569	241	214	99	4263	1
2906	143	7	124	13	4723	231	239	140	1565	2
2855	145	6	330	54	2724	228	239	144	2624	2
3234	240	18	812	125	541	183	252	203	2910	2
3101	225	13	255	13	2401	201	252	185	446	2
2979	83	15	85	7	904	239	213	101	2644	2
3374	112	11	706	45	1062	239	228	118	4250	1
2326	352	26	342	201	977	165	184	151	1293	3
2831	273	28	391	79	1809	137	235	231	2100	5
2643	279	11	60	14	1514	191	242	191	721	2
2648	309	29	150	35	1539	129	207	212	1638	6
2898	90	19	430	102	1008	245	207	83	674	2
3301	59	10	30	0	1132	228	219	124	1381	7
2753	83	9	218	14	1252	233	224	122	2207	2
2792	168	15	30	2	2416	231	245	141	1651	2
3147	113	2	190	13	4298	222	237	151	1756	1
2746	54	18	175	44	1782	228	198	97	270	1
2707	82	12	30	0	1382	236	219	113	2016	2
3155	140	14	295	77	234	240	235	121	2242	1
3221	207	4	90	18	4992	217	244	163	384	1
3013	50	7	0	0	732	224	225	136	1443	1
2962	97	18	319	69	5666	246	211	88	3894	2
2650	353	39	30	29	2490	128	145	136	6811	2
3044	59	13	180	53	5596	230	211	112	4656	2
2423	185	17	351	153	1077	221	250	156	484	6
2713	125	17	153	23	1736	246	226	103	2372	2
3236	337	20	95	47	153	173	209	172	1503	1
3076	358	26	765	39	2652	171	183	142	2340	2
3236	106	12	319	43	2451	241	225	112	1410	1
3217	99	10	324	65	2402	237	226	119	1398	1
3190	28	4	180	16	3931	218	232	150	1415	1
2821	344	18	170	51	1909	182	210	165	2850	2
3239	211	21	849	148	3997	198	254	184	932	2
2959	259	24	150	73	6185	155	245	224	4849	2
3282	300	17	849	147	872	172	231	199	2568	2
3234	182	8	400	101	2741	223	246	156	1140	2
3021	172	13	1092	221	2746	228	246	147	1253	2
3234	82	3	492	213	2750	224	233	144	2925	1
2742	103	11	240	12	2461	238	226	118	2315	2
3257	340	7	510	99	5192	205	230	163	1869	1
3271	324	13	30	5	3616	187	226	179	1620	1
2995	162	2	631	69	5419	221	239	154	6315	2
3205	90	1	228	6	218	220	237	153	1233	1
2971	108	12	192	25	5254	240	226	115	2047	1
2853	63	15	90	-5	417	232	209	106	1613	2
3037	148	9	170	35	3065	232	240	139	547	1
2075	207	8	0	0	1266	215	247	168	560	4
3279	217	11	674	144	495	208	251	178	2202	2
3212	31	6	30	0	5394	219	228	145	700	1
2823	62	11	787	139	570	230	217	119	1248	2
2998	346	9	108	3	2648	203	226	161	2097	1
3346	34	28	228	82	2293	203	167	83	1201	7
3256	345	5	182	10	4353	211	232	160	658	1
2856	53	14	541	68	1020	227	209	112	1590	2
2860	14	12	201	32	900	208	214	141	2614	1
3242	203	19	218	74	2214	207	253	174	1301	1
3144	53	9	95	7	1019	226	220	128	4963	1
2393	315	25	95	51	1090	145	210	201	1140	3
2966	6	17	666	194	726	196	204	142	1315	2
2989	282	6	268	43	2787	204	240	175	607	2
3061	67	22	390	94	924	236	192	77	819	1
3221	256	10	426	5	485	197	246	187	1848	1
3002	5	3	127	12	4103	216	234	155	720	2
3037	68	17	270	46	5582	235	205	96	4884	1
3236	339	16	108	36	1559	184	215	169	430	1
2927	148	11	371	36	2618	234	239	135	2372	2
3259	208	17	537	165	3294	206	254	178	722	1
2618	129	16	60	-3	1387	244	229	109	5142	2
2823	112	9	391	50	2436	235	231	127	2742	2
2874	298	25	150	35	1266	141	222	217	1307	1
2959	224	17	150	30	5370	195	254	191	2911	1
3025	229	18	247	104	2797	190	254	197	2364	2
2953	33	7	872	187	2525	219	226	143	751	2
3145	81	3	162	-1	4727	223	234	146	2007	1
2526	161	17	212	71	752	235	242	131	892	3
2954	13	14	604	135	1380	206	211	141	2681	2
3194	6	16	849	97	2982	199	208	144	2561	2
2949	84	17	270	9	685	242	209	92	2097	2
3357	345	10	443	91	1020	200	224	163	2713	1
2699	44	15	319	-9	808	222	207	116	201	2
2917	173	8	361	54	2493	225	244	152	2143	2
2900	7	20	120	3	1832	192	197	138	1848	2
2799	170	7	30	0	3759	225	243	152	3167	1
3238	344	14	67	12	3615	192	218	164	4113	1
3249	212	12	0	0	3532	209	251	176	1500	1
2947	326	18	212	41	3516	174	218	183	1572	2
3180	30	15	90	2	690	214	205	123	1507	1
3189	111	15	382	73	2554	244	223	104	2920	1
2676	158	20	175	47	2430	237	239	123	2335	3
2929	17	13	162	33	793	208	212	139	1972	2
2551	135	3	212	6	430	225	238	148	1396	2
2958	48	6	124	25	1947	223	226	139	2664	2
3181	13	36	95	64	1226	162	143	97	2722	1
3078	277	19	85	23	1764	167	240	212	277	1
2906	8	7	408	51	3912	212	226	152	5528	2
3211	336	14	636	72	2047	187	220	171	323	1
2959	25	11	351	39	5155	215	216	137	1965	2
3278	209	7	285	31	3225	215	247	168	834	2
3293	110	34	30	25	4026	254	181	24	1101	1
2792	76	7	313	19	2100	229	227	131	2440	2
2758	135	17	30	7	524	244	231	110	2766	1
3082	356	15	234	34	1355	195	212	154	1500	2
3137	108	18	511	201	1506	248	215	88	2618	2
2850	141	22	67	25	1015	246	228	98	1921	2
2442	98	9	335	170	1294	235	228	124	674	3
2731	63	11	216	14	886	230	218	121	319	2
2625	105	25	268	74	1260	252	200	60	497	2
3173	302	16	420	26	2623	173	231	197	272	1
2961	111	3	323	1	1265	225	236	145	1950	1
2805	74	15	458	55	1805	237	211	102	1783	2
3216	5	21	443	49	3231	188	194	139	3042	2
2965	150	21	277	45	1919	241	234	112	1448	1
2871	91	9	301	92	3301	235	226	122	636	2
2513	255	17	150	30	446	179	248	207	607	2
3157	283	20	339	78	3263	161	236	213	1706	2
2273	9	19	90	11	424	195	199	137	488	3
2959	206	8	450	73	5643	215	248	168	4476	2
3006	57	8	301	29	4736	226	223	132	3561	2
3036	58	4	30	0	2897	223	230	143	895	1
3078	322	18	240	0	2281	172	219	186	1138	1
2325	89	15	85	35	1263	242	214	98	895	3
3050	138	7	90	10	638	231	238	139	1273	1
2560	40	31	182	117	752	205	156	66	1460	2
2829	45	10	420	58	1830	223	217	128	1207	2
2943	74	11	300	56	1981	233	219	116	3042	2
2941	114	13	297	63	1666	242	226	111	2831	2
3238	67	15	67	12	4592	234	208	102	1307	1
3115	287	13	242	83	560	184	239	195	1405	1
2968	114	18	42	10	420	248	219	92	1507	2
3196	155	17	594	-11	726	238	239	126	2044	2
2154	348	27	42	17	1398	160	186	158	365	6
3291	220	4	108	31	5726	215	243	165	778	1
2556	138	17	30	3	1560	244	232	111	4626	2
2880	79	16	30	10	6208	239	210	96	4381	2
3299	91	22	750	109	1826	248	198	68	2524	2
3378	7	8	108	9	3425	211	225	151	2316	7
2830	63	6	426	40	1921	226	227	135	1813	2
3335	59	12	335	128	2151	229	214	116	2047	1
3321	137	9	127	18	1533	234	237	134	3346	2
2208	27	31	391	-81	558	190	157	0	426	3
2871	300	25	339	81	2244	144	221	214	513	2
2470	2	23	150	42	811	181	189	140	1142	3
3188	200	6	330	56	1018	218	246	163	1842	2
2928	302	19	492	130	1718	165	228	202	1136	2
2949	305	23	845	574	930	149	220	208	2278	2
2326	338	19	0	0	1358	176	210	171	778	6
3218	0	12	787	50	3952	202	217	152	2220	1
2258	7	13	150	65	1604	204	214	146	324	6
2839	356	23	454	152	2574	175	191	148	2063	2
3268	314	17	268	66	5139	172	224	191	1455	2
2778	59	11	108	17	1319	228	216	119	1060	2
2955	143	18	60	-2	1600	243	233	111	1130	2
2597	2	16	420	110	781	195	207	148	1034	3
3001	30	18	720	236	1749	212	197	116	2140	1
2975	45	13	391	56	5028	223	210	119	5662	1
2827	34	7	95	-4	1597	219	225	142	2518	2
2836	90	9	395	70	2014	234	226	123	816	2
3260	270	4	492	42	661	210	241	170	1574	1
3004	147	10	30	0	361	233	239	137	997	1
3134	108	19	360	59	4298	249	214	85	3331	1
2833	207	20	240	55	1980	202	254	179	2135	2
2813	90	2	277	15	600	222	236	150	408	2
3461	345	3	552	122	1825	214	235	159	1209	7
2973	106	16	234	62	2375	246	219	97	1862	2
3264	92	6	534	73	5749	230	231	135	2821	2
3502	46	16	785	268	2283	223	204	110	1634	1
2966	21	4	268	12	5011	217	231	151	2455	1
2553	123	20	42	15	750	250	220	88	3329	2
2834	258	9	765	69	2161	198	246	186	1742	5
2859	25	12	30	2	1785	214	215	135	2448	2
3047	6	14	0	0	3122	202	213	146	5846	1
2858	120	16	60	2	4133	246	225	103	3270	1
3368	293	4	706	182	895	209	239	168	551	1
3024	333	24	573	136	3355	157	200	179	1767	1
3150	299	15	42	5	3686	178	233	195	1872	1
2683	169	10	182	30	1722	228	244	148	1131	2
2872	11	1	175	13	3439	217	236	156	3243	2
3100	0	1	283	55	4728	217	236	156	853	2
3074	81	7	30	-2	3308	230	227	129	1295	1
3046	112	12	120	25	819	240	227	115	1302	1
3228	119	11	684	30	3036	239	230	120	2995	2
3101	279	7	30	2	799	200	241	181	1924	2
2365	255	17	60	12	67	180	249	206	67	6
2522	214	31	365	148	878	176	251	194	1032	3
2449	317	12	30	5	1249	189	230	181	886	2
3324	202	19	418	167	2479	207	253	174	967	1
2013	31	16	90	28	216	214	203	120	384	6
2639	30	20	210	-28	1747	210	192	111	1561	2
3149	255	16	124	27	108	180	248	205	484	1
3135	244	12	218	54	1358	196	249	191	976	1
2264	99	29	180	67	658	252	186	40	1634	4
3149	21	6	361	7	3222	216	227	148	4573	1
2805	288	2	30	-4	2291	215	238	161	2481	2
2939	3	18	268	51	1731	193	203	145	1410	2
2714	209	9	95	-9	1786	214	248	170	4141	2
2710	135	1	234	1	1988	220	238	155	4243	2
3251	351	3	379	53	994	214	234	158	1489	1
3025	56	2	60	-1	3494	220	235	151	153	1
3000	115	12	541	198	543	240	228	117	1148	2
3084	88	22	819	279	819	246	198	70	1550	2
3008	214	18	636	108	5779	201	254	184	4019	2
2580	190	21	42	11	1380	215	251	160	1485	3
2946	148	31	85	0	450	243	220	81	1724	2
3098	225	1	60	7	2100	217	239	159	636	1
3028	144	14	210	13	1727	239	236	123	1206	1
3416	256	4	1100	210	1321	210	242	170	1865	1
3129	209	11	700	75	6079	212	250	172	1758	2
2932	322	10	297	39	4413	194	230	176	5862	2
3028	105	5	255	15	1082	229	233	138	2546	2
3257	30	10	120	2	780	217	217	135	1959	1
3100	51	13	150	10	1652	226	211	116	2236	2
2674	52	11	192	30	2395	226	215	122	1020	2
2951	244	34	865	189	4076	132	242	232	1370	2
2718	148	17	120	17	1652	241	236	118	2402	2
2952	5	5	190	7	4626	213	230	154	5941	2
2509	140	7	0	0	1800	231	238	139	1708	6
2843	106	23	576	210	2490	251	206	71	1956	3
3177	331	20	437	136	2155	169	211	179	2121	2
2808	37	12	90	34	912	219	212	126	1915	2
2873	10	24	201	18	2742	187	184	127	2163	2
3164	340	17	361	78	3180	182	213	169	2525	1
3326	52	6	514	-3	1549	223	227	140	2072	1
3300	206	12	90	18	2852	212	251	172	755	1
2582	77	11	306	-37	1048	234	219	115	283	2
2995	342	13	0	0	3368	193	221	166	1061	1
2769	81	13	85	9	2796	237	216	107	4635	2
2447	340	16	384	204	1087	184	214	169	942	3
2789	63	10	212	3	2780	229	220	123	2320	2
3132	260	12	212	28	5633	190	247	195	3025	2
2606	268	31	234	113	983	127	234	237	1503	2
2743	80	21	210	90	218	243	199	77	1772	5
2834	115	13	242	56	4020	242	227	113	5282	2
3124	294	26	42	29	4526	138	223	221	1406	1
2687	326	18	277	9	2037	174	218	183	1622	2
3605	94	25	977	320	2448	250	195	59	1302	1
3472	223	12	190	97	3168	204	251	183	1768	1
3357	229	23	170	102	3467	178	254	205	424	1
3285	78	7	421	78	1530	229	228	132	2769	1
2398	305	12	201	59	201	187	233	186	671	3
2982	145	19	95	27	4223	243	233	110	2033	2
2748	72	22	295	71	300	239	193	74	2067	5
3261	82	15	433	94	696	240	212	98	990	7
3136	23	7	240	31	2160	216	225	145	2177	1
3276	69	14	339	70	247	234	211	106	470	2
2391	259	22	361	186	404	161	246	220	716	3
3142	347	3	285	42	5412	213	234	159	350	1
2791	41	26	153	61	1172	213	175	83	1627	2
2537	99	14	127	37	1150	242	221	106	1052	3
3313	169	10	514	125	1213	228	244	148	2550	2
2867	80	35	201	66	295	241	156	14	1530	5
2970	26	21	212	69	2352	204	188	113	1864	1
2917	9	10	180	-3	2018	209	221	149	319	1
2611	51	17	242	-10	426	226	202	104	1379	2
3148	134	17	272	46	150	245	230	108	4484	2
2844	23	6	0	0	3874	216	227	147	6262	2
2962	298	5	150	17	4660	207	238	170	5882	2
2956	51	10	534	54	1084	225	219	127	800	2
3396	299	8	361	32	4857	197	237	180	3974	7
3134	176	7	0	0	1782	224	244	154	2071	1
3159	17	16	841	-15	4207	206	206	134	3894	1
2986	140	4	457	45	1982	225	238	148	2317	2
2965	114	16	42	7	450	246	222	99	1550	2
2948	61	11	319	35	4653	229	217	120	2854	2
2955	348	7	150	15	1604	207	229	160	612	1
2933	59	16	90	37	5643	231	205	102	1230	2
3291	179	36	420	88	2701	209	233	125	3046	2
3171	319	9	67	-8	1888	198	232	174	1802	1
3237	75	11	212	32	3042	234	219	116	4794	1
2956	272	12	150	27	5788	189	243	194	1476	2
3385	224	28	510	262	3142	170	252	206	2945	1
2826	187	10	127	16	2063	222	248	159	2507	2
3309	201	21	365	103	1962	207	253	173	1397	1
2687	298	32	201	107	1357	115	209	226	953	6
3032	76	2	446	-7	3061	222	235	150	1176	2
2761	144	19	295	113	2227	244	232	109	2280	3
3063	34	12	1266	265	2985	218	214	130	1127	2
2631	148	10	0	0	764	234	239	136	1718	2
3139	91	26	319	77	1731	249	189	51	2724	2
3206	14	16	285	20	1190	203	204	135	511	1
3263	162	15	466	172	3861	233	243	136	497	2
3343	67	13	108	27	3645	232	215	112	1752	1
3391	326	5	458	52	1506	207	234	166	1100	7
3141	159	11	466	-33	1080	231	242	141	1120	2
3302	84	12	268	43	2590	237	219	111	1521	7
2305	17	32	95	64	1403	177	158	101	1026	3
