Area	Perimeter	MajorAxisLength	MinorAxisLength	AspectRation	Eccentricity	ConvexArea	EquivDiameter	Extent	Solidity	roundness	Compactness	ShapeFactor1	ShapeFactor2	ShapeFactor3	ShapeFactor4	Class
31703	656.305	215.7089	187.2724	1.1518	0.4963	32093	200.9117	0.7771	0.9878	0.9249	0.9314	0.0068	0.0032	0.8675	0.9992	5
31748	641.826	219.7765	184.1151	1.1937	0.5461	32020	201.0542	0.7756	0.9915	0.9685	0.9148	0.0069	0.003	0.8369	0.999	5
31768	650.954	220.9595	183.2921	1.2055	0.5585	32173	201.1176	0.7777	0.9874	0.9421	0.9102	0.007	0.0029	0.8285	0.9987	5
31811	642.092	223.9847	180.9171	1.2381	0.5896	32052	201.2536	0.7739	0.9925	0.9696	0.8985	0.007	0.0028	0.8073	0.9995	5
31821	649.681	213.7356	189.9692	1.1251	0.4583	32168	201.2853	0.7724	0.9892	0.9474	0.9417	0.0067	0.0033	0.8869	0.9978	5
31823	662.532	222.8727	181.8947	1.2253	0.5779	32274	201.2916	0.7748	0.986	0.911	0.9032	0.007	0.0029	0.8157	0.9995	5
31837	656.404	224.9126	180.4394	1.2465	0.597	32238	201.3359	0.7852	0.9876	0.9285	0.8952	0.0071	0.0028	0.8013	0.9988	5
31915	640.718	216.3204	188.0653	1.1502	0.4941	32184	201.5823	0.7777	0.9916	0.9769	0.9319	0.0068	0.0032	0.8684	0.9988	5
31972	639.974	213.6875	190.6449	1.1209	0.4517	32246	201.7623	0.7723	0.9915	0.981	0.9442	0.0067	0.0033	0.8915	0.9993	5
31992	640.338	212.8874	191.4873	1.1118	0.437	32258	201.8254	0.7742	0.9918	0.9805	0.948	0.0067	0.0033	0.8988	0.9992	5
31994	654.535	212.1714	192.4225	1.1026	0.4213	32391	201.8317	0.7897	0.9877	0.9385	0.9513	0.0066	0.0033	0.9049	0.9978	5
32015	653.676	212.93	191.8101	1.1101	0.4342	32375	201.8979	0.7619	0.9889	0.9415	0.9482	0.0067	0.0033	0.8991	0.9981	5
32026	654.237	230.9791	176.9318	1.3055	0.6428	32349	201.9326	0.7794	0.99	0.9402	0.8742	0.0072	0.0026	0.7643	0.9978	5
32038	645.085	224.4823	181.9409	1.2338	0.5858	32308	201.9704	0.7705	0.9916	0.9675	0.8997	0.007	0.0028	0.8095	0.9988	5
32044	652.651	216.1471	188.9705	1.1438	0.4854	32395	201.9893	0.7781	0.9892	0.9454	0.9345	0.0067	0.0032	0.8733	0.9989	5
32057	642.082	215.9183	189.3034	1.1406	0.481	32301	202.0303	0.7798	0.9924	0.9771	0.9357	0.0067	0.0032	0.8755	0.9986	5
32066	669.313	236.4367	173.2309	1.3649	0.6806	32481	202.0587	0.7809	0.9872	0.8995	0.8546	0.0074	0.0024	0.7303	0.9968	5
32109	663.582	224.4724	182.3645	1.2309	0.5831	32567	202.1941	0.7676	0.9859	0.9163	0.9008	0.007	0.0028	0.8114	0.9987	5
32114	648.566	222.6575	183.829	1.2112	0.5642	32393	202.2098	0.7607	0.9914	0.9594	0.9082	0.0069	0.0029	0.8248	0.999	5
32167	654.893	217.9605	188.2047	1.1581	0.5044	32521	202.3766	0.7606	0.9891	0.9425	0.9285	0.0068	0.0031	0.8621	0.9984	5
32213	658.216	221.4811	185.2954	1.1953	0.5478	32585	202.5213	0.7629	0.9886	0.9343	0.9144	0.0069	0.003	0.8361	0.9994	5
32218	653.595	222.7561	184.4047	1.208	0.561	32566	202.537	0.7544	0.9893	0.9477	0.9092	0.0069	0.0029	0.8267	0.9986	5
32233	665.493	221.2337	185.5924	1.192	0.5443	32710	202.5841	0.7752	0.9854	0.9146	0.9157	0.0069	0.003	0.8385	0.9995	5
32251	644.051	220.981	186.0278	1.1879	0.5397	32514	202.6407	0.7641	0.9919	0.977	0.917	0.0069	0.003	0.8409	0.9989	5
32258	654.808	220.804	186.2778	1.1853	0.5369	32612	202.6627	0.7758	0.9891	0.9454	0.9178	0.0068	0.003	0.8424	0.9986	5
32262	652.419	222.6987	184.513	1.207	0.5599	32563	202.6752	0.7813	0.9908	0.9525	0.9101	0.0069	0.0029	0.8283	0.9997	5
32279	646.556	218.1816	188.5531	1.1571	0.5031	32623	202.7286	0.7902	0.9895	0.9703	0.9292	0.0068	0.0031	0.8634	0.999	5
32323	649.59	217.3715	189.5913	1.1465	0.4891	32615	202.8668	0.7848	0.991	0.9626	0.9333	0.0067	0.0031	0.871	0.9986	5
32338	653.602	221.4113	186.1363	1.1895	0.5415	32672	202.9138	0.7825	0.9898	0.9513	0.9165	0.0068	0.003	0.8399	0.9991	5
32355	657.166	221.2796	186.3604	1.1874	0.5392	32720	202.9672	0.7838	0.9888	0.9415	0.9172	0.0068	0.003	0.8413	0.999	5
32368	675.385	221.6581	186.1762	1.1906	0.5427	32806	203.0079	0.7591	0.9866	0.8917	0.9159	0.0068	0.003	0.8388	0.9987	5
32376	643.009	219.13	188.3004	1.1637	0.5115	32608	203.033	0.7843	0.9929	0.984	0.9265	0.0068	0.0031	0.8585	0.999	5
32433	653.76	219.8367	188.0092	1.1693	0.5183	32775	203.2117	0.7693	0.9896	0.9536	0.9244	0.0068	0.0031	0.8545	0.9991	5
32465	653.85	225.2024	183.6921	1.226	0.5785	32767	203.3119	0.765	0.9908	0.9543	0.9028	0.0069	0.0028	0.815	0.9992	5
32514	649.012	221.4455	187.1344	1.1833	0.5347	32843	203.4653	0.785	0.99	0.97	0.9188	0.0068	0.003	0.8442	0.999	5
32518	651.651	221.2628	187.2561	1.1816	0.5327	32811	203.4778	0.7589	0.9911	0.9623	0.9196	0.0068	0.003	0.8457	0.9993	5
32518	655.131	220.8212	187.6656	1.1767	0.527	32842	203.4778	0.794	0.9901	0.9521	0.9215	0.0068	0.003	0.8491	0.9991	5
32525	663.914	225.0779	184.2147	1.2218	0.5746	33000	203.4997	0.7691	0.9856	0.9273	0.9041	0.0069	0.0029	0.8175	0.9988	5
32578	657.571	227.0376	182.8423	1.2417	0.5928	32901	203.6654	0.7819	0.9902	0.9468	0.8971	0.007	0.0028	0.8047	0.9992	5
32581	649.583	224.4242	184.9235	1.2136	0.5666	32851	203.6748	0.7721	0.9918	0.9703	0.9075	0.0069	0.0029	0.8236	0.9996	5
32615	664.789	218.1467	191.0023	1.1421	0.4831	33016	203.781	0.8086	0.9879	0.9274	0.9341	0.0067	0.0031	0.8726	0.9966	5
32622	657.009	235.2709	177.1582	1.328	0.658	32902	203.8029	0.7793	0.9915	0.9497	0.8662	0.0072	0.0025	0.7504	0.9965	5
32698	653.049	225.0142	185.1437	1.2153	0.5683	32994	204.0402	0.7677	0.991	0.9635	0.9068	0.0069	0.0029	0.8223	0.9993	5
32705	654.454	223.8759	186.1499	1.2027	0.5555	33021	204.062	0.7795	0.9904	0.9595	0.9115	0.0068	0.0029	0.8308	0.9992	5
32713	660.043	215.4163	193.4865	1.1133	0.4396	33020	204.087	0.7995	0.9907	0.9436	0.9474	0.0066	0.0033	0.8976	0.9993	5
32729	656.679	214.2657	194.7938	1.1	0.4165	33066	204.1369	0.7692	0.9898	0.9538	0.9527	0.0065	0.0033	0.9077	0.9984	5
32774	660.614	222.8701	187.4792	1.1888	0.5407	33120	204.2771	0.7902	0.9896	0.9437	0.9166	0.0068	0.003	0.8401	0.9987	5
32775	649.807	220.0251	189.8094	1.1592	0.5058	33062	204.2803	0.7726	0.9913	0.9754	0.9284	0.0067	0.0031	0.862	0.9992	5
32795	651.03	225.2103	185.6002	1.2134	0.5664	33091	204.3426	0.776	0.9911	0.9723	0.9073	0.0069	0.0029	0.8233	0.999	5
32796	654.824	223.1454	187.4193	1.1906	0.5427	33111	204.3457	0.8008	0.9905	0.9611	0.9158	0.0068	0.003	0.8386	0.9985	5
32799	653.729	219.9055	190.1123	1.1567	0.5026	33087	204.355	0.7462	0.9913	0.9644	0.9293	0.0067	0.0031	0.8636	0.9989	5
32829	658.101	221.5995	189.0026	1.1725	0.5221	33154	204.4485	0.7898	0.9902	0.9525	0.9226	0.0068	0.003	0.8512	0.998	5
32836	669.19	218.406	191.7588	1.139	0.4787	33225	204.4703	0.8029	0.9883	0.9214	0.9362	0.0067	0.0032	0.8765	0.9983	5
32849	664.105	230.7223	181.7437	1.2695	0.616	33245	204.5107	0.7466	0.9881	0.936	0.8864	0.007	0.0027	0.7857	0.9974	5
32870	655.512	220.3582	190.0207	1.1597	0.5064	33198	204.5761	0.7812	0.9901	0.9613	0.9284	0.0067	0.0031	0.8619	0.9995	5
32885	659.728	227.0674	184.5597	1.2303	0.5825	33225	204.6228	0.7857	0.9898	0.9495	0.9012	0.0069	0.0028	0.8121	0.9991	5
32920	671.612	219.0931	191.4622	1.1443	0.4861	33376	204.7316	0.778	0.9863	0.9171	0.9345	0.0067	0.0031	0.8732	0.9992	5
32925	656.646	225.1282	186.4615	1.2074	0.5604	33252	204.7472	0.7687	0.9902	0.9596	0.9095	0.0068	0.0029	0.8271	0.9987	5
32934	668.197	221.4087	189.6018	1.1678	0.5164	33401	204.7752	0.7767	0.986	0.9269	0.9249	0.0067	0.003	0.8554	0.9989	5
32947	668.231	209.6933	200.2496	1.0472	0.2967	33336	204.8156	0.7653	0.9883	0.9272	0.9767	0.0064	0.0036	0.954	0.999	5
32951	688.26	226.649	185.5216	1.2217	0.5744	33524	204.828	0.7708	0.9829	0.8741	0.9037	0.0069	0.0028	0.8167	0.9978	5
32988	676.797	224.7517	187.1773	1.2007	0.5535	33461	204.943	0.7667	0.9859	0.905	0.9119	0.0068	0.0029	0.8315	0.9984	5
33006	669.769	223.5277	188.2429	1.1874	0.5392	33458	204.9989	0.757	0.9865	0.9246	0.9171	0.0068	0.003	0.8411	0.9987	5
33010	665.85	224.9713	186.8901	1.2038	0.5567	33374	205.0113	0.7916	0.9891	0.9356	0.9113	0.0068	0.0029	0.8304	0.9996	5
33013	652.684	223.7819	188.0291	1.1901	0.5422	33289	205.0206	0.7898	0.9917	0.9738	0.9162	0.0068	0.0029	0.8394	0.999	5
33019	655.703	224.4502	187.5026	1.1971	0.5497	33340	205.0393	0.7643	0.9904	0.9651	0.9135	0.0068	0.0029	0.8345	0.999	5
33051	663.071	218.9514	192.4739	1.1376	0.4767	33423	205.1386	0.7779	0.9889	0.9447	0.9369	0.0066	0.0031	0.8778	0.9986	5
33058	655.511	224.4459	187.8782	1.1946	0.5471	33320	205.1603	0.7993	0.9921	0.9668	0.9141	0.0068	0.0029	0.8355	0.9982	5
33062	667.966	222.0391	189.7813	1.17	0.5191	33439	205.1727	0.7787	0.9887	0.9312	0.924	0.0067	0.003	0.8538	0.999	5
33078	659.456	235.5601	178.9312	1.3165	0.6504	33333	205.2224	0.7877	0.9923	0.9558	0.8712	0.0071	0.0025	0.759	0.9992	5
33078	652.214	221.3869	190.3548	1.163	0.5106	33327	205.2224	0.7724	0.9925	0.9772	0.927	0.0067	0.003	0.8593	0.9994	5
33089	663.915	217.3358	194.207	1.1191	0.4489	33466	205.2565	0.7744	0.9887	0.9433	0.9444	0.0066	0.0032	0.8919	0.9982	5
33090	653.809	228.4067	184.6886	1.2367	0.5884	33352	205.2596	0.7694	0.9921	0.9728	0.8987	0.0069	0.0028	0.8076	0.9988	5
33143	648.385	222.5263	189.7374	1.1728	0.5225	33377	205.4239	0.77	0.993	0.9907	0.9231	0.0067	0.003	0.8522	0.9995	5
33159	653.801	222.444	189.9804	1.1709	0.5202	33415	205.4735	0.7881	0.9923	0.9748	0.9237	0.0067	0.003	0.8532	0.999	5
33168	680.621	234.3155	180.5828	1.2976	0.6372	33542	205.5014	0.7612	0.9888	0.8997	0.877	0.0071	0.0026	0.7692	0.998	5
33171	654.338	222.2536	190.3615	1.1675	0.5161	33429	205.5107	0.7902	0.9923	0.9736	0.9247	0.0067	0.003	0.855	0.9983	5
33194	664.658	232.3085	182.0856	1.2758	0.621	33520	205.5819	0.7737	0.9903	0.9442	0.885	0.007	0.0026	0.7831	0.9991	5
33236	660.788	210.858	200.9274	1.0494	0.3033	33611	205.7119	0.7683	0.9888	0.9565	0.9756	0.0063	0.0035	0.9518	0.9988	5
33248	660.068	230.9698	183.4292	1.2592	0.6077	33511	205.749	0.7877	0.9922	0.959	0.8908	0.0069	0.0027	0.7935	0.9992	5
33251	658.962	217.4522	194.9835	1.1152	0.4427	33565	205.7583	0.7579	0.9906	0.9623	0.9462	0.0065	0.0032	0.8953	0.9985	5
33276	704.493	234.7881	180.7055	1.2993	0.6385	33857	205.8357	0.7597	0.9828	0.8425	0.8767	0.0071	0.0026	0.7686	0.9986	5
33316	670.587	229.2181	185.2794	1.2371	0.5888	33699	205.9593	0.7826	0.9886	0.931	0.8985	0.0069	0.0028	0.8074	0.9988	5
33319	668.601	225.0172	188.8365	1.1916	0.5438	33732	205.9686	0.796	0.9878	0.9366	0.9153	0.0068	0.0029	0.8379	0.9984	5
33325	674.433	223.8255	189.7357	1.1797	0.5305	33701	205.9872	0.799	0.9888	0.9207	0.9203	0.0067	0.003	0.847	0.9991	5
33330	653.776	224.3602	189.4314	1.1844	0.5358	33580	206.0026	0.7902	0.9926	0.9799	0.9182	0.0067	0.003	0.8431	0.9985	5
33333	679.262	220.5313	192.7167	1.1443	0.4862	33834	206.0119	0.7722	0.9852	0.9078	0.9342	0.0066	0.0031	0.8727	0.9986	5
33338	659.103	232.2638	182.9185	1.2698	0.6163	33639	206.0273	0.7767	0.9911	0.9644	0.887	0.007	0.0027	0.7868	0.9991	5
33344	661.508	225.3181	188.6685	1.1943	0.5467	33692	206.0459	0.7634	0.9897	0.9575	0.9145	0.0068	0.0029	0.8362	0.9987	5
33382	659.434	222.8701	190.9202	1.1673	0.5159	33730	206.1632	0.7817	0.9897	0.9647	0.925	0.0067	0.003	0.8557	0.9989	5
33399	664.701	221.5599	192.0899	1.1534	0.4983	33752	206.2157	0.7615	0.9895	0.9499	0.9307	0.0066	0.0031	0.8663	0.9992	5
33421	654.804	219.5441	194.0254	1.1315	0.4679	33691	206.2836	0.7634	0.992	0.9795	0.9396	0.0066	0.0032	0.8828	0.999	5
33423	659.036	224.1681	189.9811	1.1799	0.5308	33707	206.2898	0.773	0.9916	0.967	0.9202	0.0067	0.003	0.8469	0.9992	5
33427	665.61	228.2232	186.6259	1.2229	0.5756	33789	206.3022	0.7545	0.9893	0.9481	0.9039	0.0068	0.0028	0.8171	0.9993	5
33429	658.605	229.4461	185.6981	1.2356	0.5874	33713	206.3083	0.7917	0.9916	0.9685	0.8992	0.0069	0.0028	0.8085	0.999	5
33431	666.841	219.9074	193.6805	1.1354	0.4736	33788	206.3145	0.7887	0.9894	0.9447	0.9382	0.0066	0.0031	0.8802	0.9994	5
33433	657.349	225.0025	189.566	1.1869	0.5387	33708	206.3207	0.7768	0.9918	0.9723	0.917	0.0067	0.0029	0.8408	0.998	5
33446	656.077	224.2339	190.2566	1.1786	0.5292	33713	206.3608	0.7678	0.9921	0.9764	0.9203	0.0067	0.003	0.8469	0.9982	5
33447	664.412	226.1186	188.7406	1.198	0.5507	33791	206.3639	0.7702	0.9898	0.9521	0.9126	0.0068	0.0029	0.8329	0.9979	5
33459	655.414	219.1299	194.5431	1.1264	0.4602	33765	206.4009	0.7863	0.9909	0.9788	0.9419	0.0065	0.0032	0.8872	0.9993	5
33468	659.987	224.4599	189.9543	1.1817	0.5327	33748	206.4286	0.7923	0.9917	0.9655	0.9197	0.0067	0.003	0.8458	0.9994	5
33498	657.523	227.9381	187.3161	1.2169	0.5698	33745	206.5211	0.7815	0.9927	0.9737	0.906	0.0068	0.0028	0.8209	0.9989	5
33534	657.067	218.8448	195.1929	1.1212	0.4522	33793	206.6321	0.7835	0.9923	0.9761	0.9442	0.0065	0.0032	0.8915	0.9995	5
33538	658.284	227.5187	187.9441	1.2106	0.5636	33800	206.6444	0.7605	0.9922	0.9726	0.9083	0.0068	0.0028	0.8249	0.9986	5
33539	662.418	223.6835	191.2006	1.1699	0.519	33915	206.6475	0.7643	0.9889	0.9605	0.9238	0.0067	0.003	0.8535	0.9985	5
33547	653.512	213.7541	199.9257	1.0692	0.3538	33832	206.6721	0.7836	0.9916	0.9871	0.9669	0.0064	0.0034	0.9348	0.9995	5
33560	669.259	227.9362	187.8566	1.2134	0.5664	33897	206.7122	0.7399	0.9901	0.9415	0.9069	0.0068	0.0028	0.8224	0.9979	5
33576	666.339	224.5887	190.463	1.1792	0.5299	33927	206.7614	0.7618	0.9897	0.9503	0.9206	0.0067	0.003	0.8475	0.9994	5
33583	657.754	221.7111	192.9504	1.1491	0.4926	33868	206.783	0.7753	0.9916	0.9754	0.9327	0.0066	0.0031	0.8699	0.9995	5
33584	658.848	223.7352	191.3545	1.1692	0.5182	33884	206.7861	0.7481	0.9911	0.9722	0.9242	0.0067	0.003	0.8542	0.9988	5
33607	690.171	214.7653	199.5241	1.0764	0.37	34162	206.8569	0.7708	0.9838	0.8866	0.9632	0.0064	0.0034	0.9277	0.9986	5
33620	670.224	222.7761	192.226	1.1589	0.5054	34012	206.8969	0.7832	0.9885	0.9405	0.9287	0.0066	0.003	0.8625	0.9996	5
33623	659.408	217.3719	197.0838	1.1029	0.4218	33918	206.9061	0.7932	0.9913	0.9717	0.9519	0.0065	0.0033	0.906	0.9993	5
33631	669.076	224.8894	190.7534	1.179	0.5297	34009	206.9307	0.7629	0.9889	0.9441	0.9201	0.0067	0.003	0.8467	0.9982	5
33639	663.03	224.6629	190.8531	1.1772	0.5276	33919	206.9553	0.7863	0.9917	0.9616	0.9212	0.0067	0.003	0.8486	0.9989	5
33717	664.363	231.6225	185.6531	1.2476	0.598	33985	207.1951	0.7662	0.9921	0.9599	0.8945	0.0069	0.0027	0.8002	0.9983	5
33731	671.696	231.172	186.1265	1.242	0.5931	34073	207.2381	0.8032	0.99	0.9395	0.8965	0.0069	0.0027	0.8037	0.9982	5
33736	655.729	221.3903	194.136	1.1404	0.4807	33988	207.2535	0.7869	0.9926	0.9859	0.9361	0.0066	0.0031	0.8764	0.9994	5
33794	665.826	218.9999	196.5777	1.1141	0.4408	34127	207.4316	0.7777	0.9902	0.9579	0.9472	0.0065	0.0032	0.8971	0.9995	5
33809	669.341	230.2475	187.1643	1.2302	0.5824	34143	207.4776	0.7841	0.9902	0.9483	0.9011	0.0068	0.0028	0.812	0.9989	5
33824	656.339	220.7539	195.2815	1.1304	0.4663	34079	207.5236	0.7884	0.9925	0.9867	0.9401	0.0065	0.0031	0.8837	0.999	5
33838	661.029	222.9735	193.4836	1.1524	0.497	34146	207.5666	0.7821	0.991	0.9731	0.9309	0.0066	0.0031	0.8666	0.9987	5
33845	670.945	226.3816	190.5214	1.1882	0.5401	34159	207.588	0.7639	0.9908	0.9448	0.917	0.0067	0.0029	0.8409	0.9991	5
33849	669.571	221.6105	194.6713	1.1384	0.4779	34239	207.6003	0.7863	0.9886	0.9488	0.9368	0.0065	0.0031	0.8776	0.999	5
33858	664.46	234.335	184.1393	1.2726	0.6185	34142	207.6279	0.7813	0.9917	0.9637	0.886	0.0069	0.0026	0.785	0.9991	5
33860	683.315	225.535	191.5212	1.1776	0.5281	34319	207.634	0.7752	0.9866	0.9113	0.9206	0.0067	0.003	0.8476	0.9981	5
33864	662.898	221.2164	195.0635	1.1341	0.4717	34167	207.6463	0.7716	0.9911	0.9684	0.9387	0.0065	0.0031	0.8811	0.9992	5
33866	668.421	230.9312	186.8609	1.2358	0.5876	34171	207.6524	0.7999	0.9911	0.9525	0.8992	0.0068	0.0027	0.8086	0.9992	5
33876	666.966	228.1492	189.1648	1.2061	0.5591	34211	207.6831	0.7883	0.9902	0.957	0.9103	0.0067	0.0029	0.8286	0.9994	5
33930	666.214	224.151	192.8606	1.1622	0.5096	34251	207.8485	0.7627	0.9906	0.9607	0.9273	0.0066	0.003	0.8598	0.9993	5
33946	667.313	231.5425	187.029	1.238	0.5895	34246	207.8975	0.7912	0.9912	0.9579	0.8979	0.0068	0.0027	0.8062	0.9981	5
33946	668.564	234.7548	184.2937	1.2738	0.6194	34280	207.8975	0.7615	0.9903	0.9544	0.8856	0.0069	0.0026	0.7843	0.999	5
33961	690.353	238.1925	181.6543	1.3112	0.6468	34379	207.9435	0.7704	0.9878	0.8955	0.873	0.007	0.0025	0.7621	0.9993	5
33961	667.497	233.1138	185.7333	1.2551	0.6043	34279	207.9435	0.7712	0.9907	0.9578	0.892	0.0069	0.0027	0.7957	0.9987	5
33969	666.389	222.3618	194.769	1.1417	0.4825	34260	207.968	0.7647	0.9915	0.9613	0.9353	0.0065	0.0031	0.8747	0.9986	5
33972	672.812	232.9883	185.9156	1.2532	0.6027	34349	207.9771	0.7857	0.989	0.9431	0.8927	0.0069	0.0027	0.7968	0.9986	5
33993	669.092	219.7506	197.0923	1.115	0.4423	34299	208.0414	0.7782	0.9911	0.9542	0.9467	0.0065	0.0032	0.8963	0.9993	5
33996	663.743	223.0964	194.3809	1.1477	0.4908	34285	208.0506	0.7647	0.9916	0.9697	0.9326	0.0066	0.0031	0.8697	0.9981	5
34004	659.963	229.0598	189.165	1.2109	0.5639	34277	208.0751	0.782	0.992	0.9811	0.9084	0.0067	0.0028	0.8252	0.9992	5
34027	670.16	231.6577	187.4124	1.2361	0.5878	34334	208.1454	0.7785	0.9911	0.9521	0.8985	0.0068	0.0027	0.8073	0.9979	5
34036	666.067	226.928	191.1105	1.1874	0.5392	34369	208.173	0.7538	0.9903	0.9641	0.9174	0.0067	0.0029	0.8415	0.9993	5
34051	677.272	227.6209	190.664	1.1938	0.5462	34502	208.2188	0.7579	0.9869	0.9329	0.9148	0.0067	0.0029	0.8368	0.999	5
34053	671.582	232.4361	186.7914	1.2444	0.5951	34362	208.2249	0.744	0.991	0.9488	0.8958	0.0068	0.0027	0.8025	0.9986	5
34060	662.146	220.4384	196.8822	1.1196	0.4498	34367	208.2463	0.7891	0.9911	0.9762	0.9447	0.0065	0.0032	0.8924	0.9992	5
34082	668.346	230.6269	188.3913	1.2242	0.5768	34364	208.3136	0.8017	0.9918	0.9588	0.9032	0.0068	0.0028	0.8159	0.9988	5
34097	680.595	227.8191	190.8102	1.194	0.5464	34502	208.3594	0.7623	0.9883	0.925	0.9146	0.0067	0.0029	0.8365	0.9987	5
34104	667.289	229.4787	189.544	1.2107	0.5637	34421	208.3808	0.7984	0.9908	0.9625	0.9081	0.0067	0.0028	0.8246	0.9983	5
34113	673.914	221.2424	196.5104	1.1259	0.4594	34492	208.4083	0.7747	0.989	0.9439	0.942	0.0065	0.0032	0.8873	0.999	5
34130	666.585	235.5413	184.778	1.2747	0.6202	34392	208.4602	0.7955	0.9924	0.9652	0.885	0.0069	0.0026	0.7833	0.9985	5
34131	668.091	224.338	193.8042	1.1575	0.5037	34473	208.4633	0.7706	0.9901	0.9609	0.9292	0.0066	0.003	0.8635	0.9995	5
34151	674.271	231.5136	188.0356	1.2312	0.5834	34580	208.5243	0.7505	0.9876	0.9439	0.9007	0.0068	0.0028	0.8113	0.9988	5
34151	662.129	226.5248	192.2363	1.1784	0.529	34389	208.5243	0.7782	0.9931	0.9789	0.9205	0.0066	0.0029	0.8474	0.9985	5
34179	677.064	225.0605	193.5929	1.1625	0.51	34576	208.6098	0.778	0.9885	0.9369	0.9269	0.0066	0.003	0.8592	0.9988	5
34191	661.403	223.9809	194.4747	1.1517	0.4961	34445	208.6464	0.772	0.9926	0.9822	0.9315	0.0066	0.003	0.8678	0.9994	5
34207	668.737	228.0325	191.4155	1.1913	0.5435	34515	208.6952	0.7577	0.9911	0.9612	0.9152	0.0067	0.0029	0.8376	0.9978	5
34207	661.138	226.8735	192.1947	1.1804	0.5314	34421	208.6952	0.7743	0.9938	0.9834	0.9199	0.0066	0.0029	0.8462	0.9988	5
